seed,lambda_c,recon_per_dim,tangent,combined
42,0.01,0.007412063804539767,0.632427,0.6398390409621325
42,0.05,0.008073740384795448,0.6466238,0.6546975306489251
42,0.1,0.03236212513663552,1.1980815,1.230443618514321
42,0.5,0.06452499194578691,1.8023373,1.8668622808022932
1042,0.01,0.006418192251162095,0.6792143,0.6856324909762903
1042,0.05,0.006536183032122525,0.68140996,0.6879461380568418
1042,0.1,0.006549449806863611,0.6817524,0.6883018335158174
1042,0.5,0.05910593271255493,1.8400576,1.899163544178009
2042,0.01,0.010287288237701763,0.65665036,0.666937652636658
2042,0.05,0.021055724133144726,0.6607386,0.6817943115126003
2042,0.1,0.014424268494952808,0.6609942,0.6754184405912053
2042,0.5,0.07010047002272173,1.555343,1.6254435019059614
