surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
paraboloid,baseline,42,0.00021246951920065013,0.01725357212126255,0.010853671468794346,1.223568320274353,6.638288497924805,7.369584083557129,0.11016327263585102,0.45468,0.32992,0.2743907803290226,0.836,0.9094,45468,32992,0.11647783241856471
paraboloid,T,42,5.8481930120086126e-05,0.0005840789526700974,0.00018748760339803994,1.0763425827026367,6.638288497924805,6.013124465942383,0.09417548396365334,0.45468,0.50621,0.11333245359373642,0.932,0.9094,45468,50621,0.10840870235744987
paraboloid,T+F,42,3.3807438078590415e-05,0.0010402300395071507,0.0002794508764054626,1.3142808675765991,6.638288497924805,6.498104095458984,0.021117551987932335,0.45468,0.43084,0.05243247998592411,0.8566,0.9094,45468,43084,0.059962898346589896
paraboloid,baseline,1042,0.00018578708510507238,0.012376613914966583,0.006530649960041046,1.2688599824905396,6.65547513961792,6.1085920333862305,0.08217040778595487,0.44535,0.51425,0.15470977882564266,0.9328,0.9048,44535,51425,0.11238406395770603
paraboloid,T,1042,0.0002188435544005849,0.0018396928207948804,0.0009964978089556098,1.0617321729660034,6.65547513961792,6.378623008728027,0.04159765081862904,0.44535,0.46062,0.03428763893566846,0.9036,0.9048,44535,46062,0.082829952632168
paraboloid,T+F,1042,2.053981138901277e-05,0.0006701578386127949,0.00022761625587008893,1.3385963439941406,6.65547513961792,6.4027180671691895,0.03797731448866036,0.44535,0.45502,0.021713259234309994,0.8764,0.9048,44535,45502,0.07090603504509789
paraboloid,baseline,2042,6.0181540902704e-05,0.014386232011020184,0.005778156220912933,1.268140196800232,6.613321781158447,6.650944232940674,0.005688888735070182,0.45153,0.4167,0.07713773171217854,0.8874,0.9068,45153,41670,0.08613597928062308
paraboloid,T,2042,0.00015432029877873984,0.001285891397856176,0.0005294790025800467,1.10529363155365,6.613321781158447,6.23024845123291,0.05792449582854482,0.45153,0.50167,0.11104467034305575,0.918,0.9068,45153,50167,0.08458805340405057
paraboloid,T+F,2042,0.0005513517270711335,0.007600646466016769,0.003296521259471774,1.3242743015289307,6.613321781158447,5.987512111663818,0.09462864354757082,0.45153,0.52535,0.16348858326135582,0.9492,0.9068,45153,52535,0.12440898296820196
paraboloid,baseline,3042,0.00020062675784257326,0.0121761504560709,0.0044122114777565,1.262839436531067,6.587738513946533,6.655254364013672,0.010248714323466943,0.45652,0.49986,0.09493559975466584,0.9062,0.911,45652,49986,0.12209987649809827
paraboloid,T,3042,0.0002764049621129578,0.0018596418667584658,0.0010132577735930681,1.1019426584243774,6.587738513946533,6.3893842697143555,0.030109611031502396,0.45652,0.51367,0.12518619118549018,0.913,0.911,45652,51367,0.0985967130865644
paraboloid,T+F,3042,0.0001244487939402461,0.0009831944480538368,0.0005340432981029153,1.3792963027954102,6.587738513946533,7.226396560668945,0.09694647797121043,0.45652,0.37933,0.169083501270481,0.8554,0.911,45652,37933,0.08140537078441201
paraboloid,baseline,4042,0.000167148272422227,0.014024840667843819,0.005843466147780418,1.2019884586334229,6.619726657867432,6.281617164611816,0.05107605052752109,0.44547,0.51663,0.15974139672705245,0.9226,0.8988,44547,51663,0.13003320902526974
paraboloid,T,4042,6.977672455832362e-05,0.001019023242406547,0.0002717871393542737,1.1066855192184448,6.619726657867432,6.5405120849609375,0.011966441667549668,0.44547,0.48224,0.08254203425595444,0.9178,0.8988,44547,48224,0.1229509492469063
paraboloid,T+F,4042,5.641302347860553e-05,0.0008123135194182396,0.0003737634979188442,1.3390558958053589,6.619726657867432,6.251889705657959,0.05556678866374411,0.44547,0.50552,0.13480144566413002,0.9268,0.8988,44547,50552,0.10278994118538967
paraboloid,baseline,5042,0.00010238202627409588,0.016706179827451706,0.004360641352832317,1.26078200340271,6.538393497467041,6.2748565673828125,0.040306067566340587,0.45329,0.49305,0.08771426680491509,0.9176,0.9064,45329,49305,0.10681627601033862
paraboloid,T,5042,5.784931338646195e-05,0.000492751831188798,0.00013940811913926154,1.1147544384002686,6.538393497467041,6.762022495269775,0.03420243793668395,0.45329,0.42984,0.05173288623177221,0.8998,0.9064,45329,42984,0.10415748694343761
paraboloid,T+F,5042,8.272224592722274e-05,0.0013509620912373066,0.00039045733865350485,1.2557487487792969,6.538393497467041,6.275422096252441,0.040219574015616245,0.45329,0.49237,0.08621412340885513,0.9252,0.9064,45329,49237,0.08163830687229728
