surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,gt_mfpt,lr_mfpt,mfpt_err,gt_rate,lr_rate,rate_err,transition_frac,gt_transition_frac,gt_transitions,lr_transitions,W2@1.0
paraboloid,baseline,42,2.0361285360150078e-05,0.051619887351989746,0.029481064528226852,1.2395259141921997,7.786612033843994,6.839906692504883,0.12158116228525566,0.3866,0.4497,0.16321779617175372,0.866,0.85,3866,4497,0.25228607935956954
paraboloid,T,42,7.193759361754603e-05,0.006699168123304844,0.0021913698874413967,1.0203481912612915,7.786612033843994,6.829153537750244,0.12296214219126624,0.3866,0.3599,0.06906363166063115,0.732,0.85,3866,3599,0.3014157478730536
paraboloid,F,42,0.004007160663604736,3.4745631217956543,1.4611631631851196,1.1066035032272339,7.786612033843994,0.009999998845160007,0.9987157445623724,0.3866,0.0,1.0,1.0,0.85,3866,0,0.9203720973719127
paraboloid,T+F,42,0.0001268097250467509,0.01234171912074089,0.008338804356753826,1.3611708879470825,7.786612033843994,7.316995620727539,0.0603107501793204,0.3866,0.48,0.24159337816864973,0.852,0.85,3866,4800,0.2119950125642929
paraboloid,baseline,1042,1.949647358104364e-05,0.05000875145196915,0.03101048618555069,1.218937873840332,7.525891304016113,6.901305198669434,0.0829916457886358,0.3541,0.4833,0.36486868116351306,0.904,0.842,3541,4833,0.13766589430799414
paraboloid,T,1042,3.7435613646732634e-05,0.005378584377467632,0.0006719900411553681,1.082898497581482,7.525891304016113,6.652663707733154,0.11602979115802141,0.3541,0.4318,0.219429539678057,0.856,0.842,3541,4318,0.24121748547025518
paraboloid,F,1042,0.003842638499701201,4.479908466339111,1.4804564714431763,0.9825529456138611,7.525891304016113,0.009999998845160007,0.9986712538832678,0.3541,0.0,1.0,1.0,0.842,3541,0,0.9093389142797756
paraboloid,T+F,1042,1.8820984390985907e-05,0.005727779120206833,0.0013361467281356454,1.25701904296875,7.525891304016113,7.333871364593506,0.025514577830819583,0.3541,0.4034,0.13922620728607724,0.842,0.842,3541,4034,0.13457465620186543
paraboloid,baseline,2042,3.495121801003295e-05,0.030315272510051727,0.01721557416021824,1.1677051782608032,7.477281093597412,6.725171089172363,0.10058602786366554,0.3913,0.4302,0.09941221569128558,0.878,0.846,3913,4302,0.19531101439864693
paraboloid,T,2042,7.577346109632236e-05,0.005363790318369865,0.0013984445249661803,1.0007550716400146,7.477281093597412,5.604715347290039,0.2504340445233227,0.3913,0.5025,0.28418093534372596,0.878,0.846,3913,5025,0.3906179763162493
paraboloid,F,2042,0.0038460175789410797,3.9951436519622803,1.3617377281188965,1.06941556930542,7.477281093597412,0.009999998845160007,0.9986626156326097,0.3913,0.0,1.0,1.0,0.846,3913,0,0.8766418700570142
paraboloid,T+F,2042,6.197674654016448e-05,0.006065124645829201,0.002820150228217244,1.237735629081726,7.477281093597412,7.291716575622559,0.024817111414167276,0.3913,0.3422,0.12547917199079983,0.804,0.846,3913,3422,0.17471116412388218
paraboloid,baseline,3042,3.298141052992783e-05,0.054290398955345154,0.018278636038303375,1.2162270545959473,7.008948802947998,6.913778781890869,0.013578358714376675,0.383,0.399,0.04177545691906009,0.868,0.818,3830,3990,0.202034076573542
paraboloid,T,3042,4.174875382760271e-05,0.006494749337434769,0.0008088022586889565,1.0243146419525146,7.008948802947998,4.734559535980225,0.3244979141538535,0.383,0.6276,0.6386422976501306,0.908,0.818,3830,6276,0.31604072688010554
paraboloid,F,3042,0.00388937387893449,2.9526498317718506,1.3563772439956665,1.0567593574523926,7.008948802947998,0.009999998845160007,0.9985732526907667,0.383,0.0,1.0,1.0,0.818,3830,0,0.9452707451039909
paraboloid,T+F,3042,1.9178346994875082e-05,0.0032084195408970118,0.0013931866269558668,1.239573359489441,7.008948802947998,6.855382919311523,0.021909973657088785,0.383,0.3708,0.03185378590078326,0.784,0.818,3830,3708,0.16895730460057967
