surface,condition,drift_mode,seed,E_mu,E_Sigma,R1,R2,kappa_g,recon,mfpt_err,its_t2_err,stat_l1,exit_frac
paraboloid,baseline,learned,42,0.0065003945492208,0.0005116386455483735,27330.9296875,2688973.5,1.38760244846344,3.1983201386703346e-06,0.14458556490200924,0.41708297636352704,0.07956667989492416,0.0
paraboloid,baseline,oracle_drift+learned_diff,42,0.0065003945492208,0.0005116386455483735,27330.9296875,2688973.5,1.38760244846344,3.1983201386703346e-06,0.1546979844867004,0.15624163675197827,0.01584499701857567,0.0
paraboloid,baseline,oracle_drift+oracle_diff,42,0.0065003945492208,0.0005116386455483735,27330.9296875,2688973.5,1.38760244846344,3.1983201386703346e-06,0.12353714172842628,0.11526646441887861,0.017535943537950516,0.0
paraboloid,T+F,learned,42,0.0001330431696260348,5.780849278380629e-06,174673.5625,44021108.0,1.8796292543411255,5.624746212230424e-08,0.07184615452310292,0.15732123808739473,0.07722346484661102,0.020000001415610313
paraboloid,T+F,oracle_drift+learned_diff,42,0.0001330431696260348,5.780849278380629e-06,174673.5625,44021108.0,1.8796292543411255,5.624746212230424e-08,0.08138439483210642,0.18718024323871182,0.004581950604915619,0.0
paraboloid,T+F,oracle_drift+oracle_diff,42,0.0001330431696260348,5.780849278380629e-06,174673.5625,44021108.0,1.8796292543411255,5.624746212230424e-08,0.07350767802431009,0.2030833025758985,0.005898963660001755,0.0
paraboloid,baseline,learned,1042,0.004413051996380091,0.00024832107010297477,7011.88916015625,405966.125,1.4373764991760254,1.403518994762139e-06,0.1650874790113611,0.00754281469697153,0.01580301858484745,0.01600000075995922
paraboloid,baseline,oracle_drift+learned_diff,1042,0.004413051996380091,0.00024832107010297477,7011.88916015625,405966.125,1.4373764991760254,1.403518994762139e-06,0.08737378186302512,0.19764431863505627,0.009868912398815155,0.0
paraboloid,baseline,oracle_drift+oracle_diff,1042,0.004413051996380091,0.00024832107010297477,7011.88916015625,405966.125,1.4373764991760254,1.403518994762139e-06,0.09011418437141609,0.14834766481408698,0.011434052139520645,0.0
paraboloid,T+F,learned,1042,0.00013666589802596718,7.502339485654375e-06,39400.54296875,1598885.75,1.779954195022583,5.146524079629506e-08,0.13325799581444808,0.054064492161133064,0.009980348870158195,0.004000000189989805
paraboloid,T+F,oracle_drift+learned_diff,1042,0.00013666589802596718,7.502339485654375e-06,39400.54296875,1598885.75,1.779954195022583,5.146524079629506e-08,0.11572318356743377,0.05773058790369002,0.016039390116930008,0.0
paraboloid,T+F,oracle_drift+oracle_diff,1042,0.00013666589802596718,7.502339485654375e-06,39400.54296875,1598885.75,1.779954195022583,5.146524079629506e-08,0.12242146727514185,0.06225041594532373,0.0157395601272583,0.0
paraboloid,baseline,learned,2042,0.01587476208806038,0.0008620542357675731,40089.39453125,1539973.625,1.499791145324707,6.545301320412281e-06,0.13891756275554548,0.7257461786540405,0.031892985105514526,0.004000000189989805
paraboloid,baseline,oracle_drift+learned_diff,2042,0.01587476208806038,0.0008620542357675731,40089.39453125,1539973.625,1.499791145324707,6.545301320412281e-06,0.10050227411668043,0.5213093417540363,0.027238629758358,0.0
paraboloid,baseline,oracle_drift+oracle_diff,2042,0.01587476208806038,0.0008620542357675731,40089.39453125,1539973.625,1.499791145324707,6.545301320412281e-06,0.08608336493707291,0.4241258861754916,0.017890039831399918,0.0
paraboloid,T+F,learned,2042,0.00012936553684994578,7.1714885052642785e-06,122791.5,23375998.0,1.7147639989852905,9.87951952166358e-08,0.09039628970865843,0.6708849064355078,0.06625048071146011,0.00800000037997961
