surface,D,N,seed,ae_condition,drift_method,E_mu,E_Sigma,rcMTE@0.1,rcMTE@0.5,rcMTE@1.0,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,201,20,42,baseline,enc-pull,5.5762553215026855,21.482192993164062,0.38479188084602356,0.7131074666976929,0.801828145980835,0.7446191868431584,1.1297788691699953,1.2563763209751675,1.190667921614972,0.44850763969828583,0.5083878768472756,0.7665576988144023,1.0573757191016393,0.36665159463882446,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,baseline,dec-side,5.5762553215026855,21.482192993164062,0.3873123526573181,0.8880758881568909,1.1717697381973267,0.752667195547397,1.3818806813175517,1.7709274291992188,1.4192609229518844,0.44214071248503206,0.4884831239741394,0.7776063772743689,1.1738457871481944,0.3362831175327301,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,T+F,enc-pull,1.97011399269104,7.46231746673584,0.7699180245399475,1.3262993097305298,1.5400595664978027,1.3284044839226057,2.032467031837406,2.3870511736188615,1.5353895810851161,0.7731457488979847,1.0097213275035961,1.386600956539627,2.0236626773472985,0.40893882513046265,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,T+F,dec-side,1.97011399269104,7.46231746673584,0.7840500473976135,1.4937260150909424,1.7677035331726074,1.3684828318572522,2.347784974521264,2.9563092912946427,2.2558875746135136,0.8483515545661814,1.190410131316486,1.8035082784536867,2.975335001430486,0.44216814637184143,0.2800000011920929,0.04200000315904617
paraboloid,201,20,1042,baseline,enc-pull,9.335455894470215,31.23298454284668,0.7959142327308655,1.3143107891082764,1.5048308372497559,1.1998630855025056,1.7778876208904508,1.9862142473259228,1.1323694963916904,0.5298108179287833,0.668840277399485,0.6743421442685887,0.9063315031341683,0.265913188457489,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,baseline,dec-side,9.335455894470215,31.23298454284668,0.8114580512046814,1.4992181062698364,1.7696807384490967,1.2335714837225082,2.0833256944847816,2.4098928566747064,1.4069091640193119,0.6236545526571947,0.8856555884758852,1.2133236362574769,1.4105039509960897,0.2953703999519348,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,T+F,enc-pull,1.475466012954712,2.542098045349121,0.5304909944534302,0.9690454006195068,1.1632550954818726,0.9350912183324054,1.516548695617449,1.7694827086173448,1.1864251280033995,0.6952298618133558,1.0661497676873275,1.1688815564796557,1.7696986883546115,0.20147593319416046,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,T+F,dec-side,1.475466012954712,2.542098045349121,0.5365978479385376,1.0852130651474,1.489043116569519,0.9588574110001392,1.7318440830840498,2.3558476595270554,2.019478013490272,0.7704501599216818,1.2368965837844863,1.5604785636193081,2.6828007489837766,0.3362242877483368,0.2980000078678131,0.06200000271201134
paraboloid,201,20,2042,baseline,enc-pull,4.922497749328613,13.575977325439453,0.40558290481567383,0.7502370476722717,0.8520214557647705,0.7243553295470121,1.1533028738839286,1.2958195048167294,1.0704457923507684,0.4498000274576593,0.4846999430316536,0.7112084685968717,1.0542355098723628,0.18345637619495392,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,baseline,dec-side,4.922497749328613,13.575977325439453,0.39727702736854553,0.7383391857147217,0.9693002700805664,0.7149412590160704,1.1411883641803076,1.5013393316053807,1.2283553796624747,0.44733357269780677,0.465921886054984,0.7421929888545131,1.0920945946176963,0.34935081005096436,0.26600000262260437,0.04800000041723251
