surface,ae_reg,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
sinusoidal,T,0.0008262149132196865,0.0001474741461967665,0.005246197633881358,0.2920942687988281,0.7088519386623217,1.0700575884650736,0.8830600147057084,0.15568171441555023,0.7649999856948853
sinusoidal,T+K,0.000499511198526422,0.00011550330037564327,0.004313796366904936,0.28973787307739257,0.6879562709642493,1.0151433009727329,0.8428160987031651,0.15083584189414978,0.7649999856948853
sinusoidal,T+F,0.00012878928256603622,0.00034656709370513755,0.0029136011365889793,0.2905812454223633,0.7335874308710513,1.148259081871681,1.2824052685238,0.1790062040090561,0.7649999856948853
sinusoidal,T+F+K,6.523582557011174e-05,6.136841888551967e-05,0.0009499394661924314,0.2905441856384277,0.7397464254628057,1.1395237741906659,1.1965586570982534,0.17172060906887054,0.7649999856948853
