surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,W2@1.0,pairwise_mfpt_err,gt_mfpt_01,gt_mfpt_02,gt_mfpt_10,gt_mfpt_12,gt_mfpt_20,gt_mfpt_21,lr_mfpt_01,lr_mfpt_02,lr_mfpt_10,lr_mfpt_12,lr_mfpt_20,lr_mfpt_21,its_t2_err,gt_t2,lr_t2,stat_l1_err,gt_stat_0,gt_stat_1,gt_stat_2,lr_stat_0,lr_stat_1,lr_stat_2,exit_frac
paraboloid,baseline,42,8.805611504436429e-07,0.021756093949079514,0.002355698263272643,0.9672574400901794,0.10219582736647703,0.11315882560538804,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,10.113762855529785,8.539798736572266,2.95440673828125,2.3445868492126465,1.374666690826416,1.110297441482544,0.09583617005415265,70.52450704885045,63.76570839833153,0.028423920273780823,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.8732946515083313,0.08436856418848038,0.04233677312731743,0.006
paraboloid,T,42,1.7326811617541484e-07,0.00023719409364275634,8.472212357446551e-06,0.9487083554267883,0.20407979018610692,0.2892999314523639,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,7.201613903045654,7.08400297164917,2.9822845458984375,1.813022255897522,1.9422684907913208,1.3179588317871094,0.47275270779225137,70.52450704885045,37.18385537579268,0.3448169231414795,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.7150981426239014,0.15146704018115997,0.13343480229377747,0.04
paraboloid,T+F,42,5.396892691948521e-08,0.0004715437535196543,2.2917451133253053e-05,1.1246910095214844,0.13908001392960168,0.10788600654106688,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,9.150644302368164,8.349331855773926,3.083644151687622,2.1475279331207275,1.4818121194839478,1.0473723411560059,0.04920191330868594,70.52450704885045,73.9944477308058,0.2452397495508194,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.764886736869812,0.15516917407512665,0.07994408160448074,0.03
paraboloid,baseline,1042,8.929189119664072e-07,0.0386563278734684,0.0035129827447235584,1.0321564674377441,0.10125291090183518,0.124133525936024,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,9.565054893493652,8.648202896118164,3.430833339691162,2.5594403743743896,1.2928571701049805,0.8653858304023743,0.8680715686520594,72.82376271630596,136.04000065259504,0.057538971304893494,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.851711094379425,0.111965611577034,0.03632328286767006,0.008
paraboloid,T,1042,7.047928740566977e-08,0.00016167067224159837,6.646837391599547e-06,0.9009003639221191,0.06742177881474885,0.16384261946056058,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,9.218646049499512,8.752713203430176,3.6932432651519775,3.104261875152588,1.239134669303894,0.8907383680343628,0.007044780155439844,72.82376271630596,72.31073531787767,0.04576511308550835,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.8613811731338501,0.11023765802383423,0.028381146490573883,0.004
paraboloid,T+F,1042,8.773978532108638e-09,0.0004931319272145629,2.5405199266970158e-05,0.9931054711341858,0.0688053012723934,0.11938249784739889,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,9.919191360473633,8.846868515014648,3.7298779487609863,2.6439850330352783,1.15910005569458,0.9348471760749817,0.021314823802962225,72.82376271630596,74.37598838727276,0.01824345998466015,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.8896023035049438,0.08331871032714844,0.027078961953520775,0.026
paraboloid,baseline,2042,2.700405967692886e-07,0.012615187093615532,0.0008380722720175982,1.1438100337982178,0.05617764587894041,0.07257541985796524,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,8.712911605834961,9.331864356994629,2.9265384674072266,2.421659469604492,1.4011486768722534,0.9510317444801331,0.5278802034003619,112.36287420872644,53.04873731677465,0.008080784231424332,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.8882217407226562,0.07849622517824173,0.03328200429677963,0.002
paraboloid,T,2042,7.86699613976751e-08,0.00013267714530229568,5.5711034292471595e-06,0.892978310585022,0.06170347193651573,0.04980710176368961,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,9.210763931274414,9.67950439453125,3.7043333053588867,2.4610605239868164,1.2819117307662964,0.9307944178581238,0.5579572999272939,112.36287420872644,49.66918830315526,0.03017299249768257,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.9030899405479431,0.0674501284956932,0.029459916055202484,0.006
paraboloid,T+F,2042,1.0370482794233292e-08,0.00035988149465993047,1.7160482457256876e-05,1.044862985610962,0.046801748897609345,0.08089085055196987,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,9.119375228881836,9.62943172454834,3.039210557937622,2.0664432048797607,1.1610416173934937,1.023489236831665,0.38102654410911646,112.36287420872644,69.54963656280803,0.018730465322732925,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.890381932258606,0.07317141443490982,0.03644668310880661,0.018
paraboloid,baseline,3042,6.321525729414243e-07,0.012686270289123058,0.0009489079238846898,1.0594804286956787,0.08063447053866162,0.1558893145941944,9.179830551147461,8.269000053405762,3.0096969604492188,2.337270736694336,1.3015151023864746,1.0086947679519653,9.198783874511719,8.52258586883545,2.2939999103546143,1.8171595335006714,1.5862621068954468,1.2341346740722656,0.5706849836254567,73.28307534534241,31.46152469186256,0.04050421714782715,0.8885259032249451,0.07988253980875015,0.03159155696630478,0.8935158848762512,0.05963043496012688,0.0468536876142025,0.004
paraboloid,T,3042,1.8794777694816206e-07,0.0001460491621401161,7.219805866043316e-06,0.8744828701019287,0.058283028255875405,0.15963019578090215,9.179830551147461,8.269000053405762,3.0096969604492188,2.337270736694336,1.3015151023864746,1.0086947679519653,8.600220680236816,9.241106986999512,2.170227289199829,1.780117154121399,1.4161499738693237,1.1818914413452148,0.3575241599563849,73.28307534534241,47.0826053934784,0.04629816114902496,0.8885259032249451,0.07988253980875015,0.03159155696630478,0.9017369151115417,0.05673346668481827,0.04152963310480118,0.016
paraboloid,T+F,3042,2.2625015537134043e-08,0.0007709098281338811,4.6372566430363804e-05,1.2491692304611206,0.04117986728178095,0.31122832823833196,9.179830551147461,8.269000053405762,3.0096969604492188,2.337270736694336,1.3015151023864746,1.0086947679519653,9.373043060302734,10.110796928405762,1.773194432258606,1.2590464353561401,1.8351647853851318,1.3530714511871338,0.5535453014795313,73.28307534534241,32.717573309957636,0.10149899125099182,0.8885259032249451,0.07988253980875015,0.03159155696630478,0.9297530651092529,0.02913304604589939,0.04111389070749283,0.016
