surface,config,seed,distance,reconstruction,tangent,curvature
half_torus,K,2042,0.0,0.19263169,0.51234496,0.23871647
half_torus,K,2042,0.1,0.5298229,0.78031844,0.2446728
half_torus,K,2042,0.2,0.6684732,0.76239705,0.2068466
half_torus,K,2042,0.3,0.82818294,0.7213182,0.2290027
half_torus,K,2042,0.4,1.1233957,0.67128617,0.24475233
half_torus,K,2042,0.5,1.2711961,0.6176049,0.22679076
half_torus,T+K,2042,0.0,0.33836627,0.2662829,0.47696644
half_torus,T+K,2042,0.1,0.64735055,0.41985402,0.3744364
half_torus,T+K,2042,0.2,0.82728755,0.47354424,0.2944132
half_torus,T+K,2042,0.3,1.1596452,0.5467357,0.3069056
half_torus,T+K,2042,0.4,1.7484399,0.631732,0.4362096
half_torus,T+K,2042,0.5,2.0937262,0.5453936,0.69104755
half_torus,T+F,2042,0.0,0.1977532,0.39173114,0.20959306
half_torus,T+F,2042,0.1,0.42094496,0.6477404,0.2200237
half_torus,T+F,2042,0.2,0.5631376,0.6538649,0.19356626
half_torus,T+F,2042,0.3,0.6728569,0.6477581,0.19905733
half_torus,T+F,2042,0.4,0.9946406,0.6584156,0.22012228
half_torus,T+F,2042,0.5,1.1217208,0.6459577,0.22169942
half_torus,T+F+K,2042,0.0,0.2478264,0.36280742,0.21244037
half_torus,T+F+K,2042,0.1,0.56946373,0.56333524,0.2158183
half_torus,T+F+K,2042,0.2,0.7615776,0.5963116,0.18936211
half_torus,T+F+K,2042,0.3,0.9089182,0.6253547,0.20901313
half_torus,T+F+K,2042,0.4,1.2574046,0.668562,0.23411258
half_torus,T+F+K,2042,0.5,1.4443866,0.67038363,0.24855581
half_torus,baseline,3042,0.0,0.27440265,0.5048798,0.24458343
half_torus,baseline,3042,0.1,0.54177886,0.7631364,0.21184796
half_torus,baseline,3042,0.2,0.7886061,0.75160474,0.21991336
half_torus,baseline,3042,0.3,1.0032425,0.7026491,0.23673241
half_torus,baseline,3042,0.4,1.252779,0.6598543,0.23398557
half_torus,baseline,3042,0.5,1.625961,0.62029797,0.22776702
half_torus,T,3042,0.0,0.5178774,0.33172196,6.831461
half_torus,T,3042,0.1,0.82174206,0.40971622,8.114655
half_torus,T,3042,0.2,1.1954316,0.5457772,24.704714
half_torus,T,3042,0.3,1.3107078,0.587618,40.128773
half_torus,T,3042,0.4,1.5755453,0.5955142,11.185415
