surface,condition,drift_mode,seed,E_mu,E_Sigma,R1,R2,kappa_g,recon,mfpt_err,its_t2_err,stat_l1,exit_frac
paraboloid,baseline,learned,42,0.021756093949079514,0.002355698263272643,147693.546875,61415908.0,1.8010140657424927,8.805611504436429e-07,0.11315882560538804,0.09583617005415265,0.028423920273780823,0.006000000052154064
paraboloid,baseline,oracle_drift+learned_diff,42,0.021756093949079514,0.002355698263272643,147693.546875,61415908.0,1.8010140657424927,8.805611504436429e-07,0.11636632674655713,0.08275713564964877,0.017459888011217117,0.0
paraboloid,baseline,oracle_drift+oracle_diff,42,0.021756093949079514,0.002355698263272643,147693.546875,61415908.0,1.8010140657424927,8.805611504436429e-07,0.08442723951170804,0.18605247204065414,0.026446502655744553,0.0
paraboloid,T+F,learned,42,0.0004715437535196543,2.2917451133253053e-05,247499.5,71104528.0,1.7660499811172485,5.396892691948521e-08,0.10788600654106688,0.04920191330868594,0.2452397495508194,0.030000001192092896
paraboloid,T+F,oracle_drift+learned_diff,42,0.0004715437535196543,2.2917451133253053e-05,247499.5,71104528.0,1.7660499811172485,5.396892691948521e-08,0.0786968246573465,0.1827128930140007,0.018637947738170624,0.0
paraboloid,T+F,oracle_drift+oracle_diff,42,0.0004715437535196543,2.2917451133253053e-05,247499.5,71104528.0,1.7660499811172485,5.396892691948521e-08,0.07028720788287234,0.13008042355097407,0.01441340520977974,0.0
paraboloid,baseline,learned,1042,0.0386563278734684,0.0035129827447235584,8254.4638671875,932386.6875,1.4222506284713745,8.929189119664072e-07,0.124133525936024,0.8680715686520594,0.057538971304893494,0.00800000037997961
paraboloid,baseline,oracle_drift+learned_diff,1042,0.0386563278734684,0.0035129827447235584,8254.4638671875,932386.6875,1.4222506284713745,8.929189119664072e-07,0.1187200336645882,0.4170543110400348,0.001322731375694275,0.0
paraboloid,baseline,oracle_drift+oracle_diff,1042,0.0386563278734684,0.0035129827447235584,8254.4638671875,932386.6875,1.4222506284713745,8.929189119664072e-07,0.13538285937807648,0.7038265923709609,0.027852199971675873,0.0
paraboloid,T+F,learned,1042,0.0004931319272145629,2.5405199266970158e-05,98330.0078125,10618749.0,1.847409725189209,8.773978532108638e-09,0.11938249784739889,0.021314823802962225,0.01824345998466015,0.026000000536441803
