surface,config,seed,distance,reconstruction,tangent,curvature
paraboloid,T+K,2042,0.1,0.3289027,0.01433945,0.013973615
paraboloid,T+K,2042,0.2,0.7550324,0.029773975,0.021002775
paraboloid,T+K,2042,0.3,1.4330382,0.05476081,0.030394558
paraboloid,T+K,2042,0.4,2.7630124,0.08502354,0.044199992
paraboloid,T+K,2042,0.5,4.421388,0.12452724,0.05133114
paraboloid,T+F,2042,0.0,0.0102322865,0.0079107415,0.015672415
paraboloid,T+F,2042,0.1,0.046688896,0.026741095,0.026091788
paraboloid,T+F,2042,0.2,0.13147968,0.03897221,0.028445845
paraboloid,T+F,2042,0.3,0.3332441,0.054801818,0.02800555
paraboloid,T+F,2042,0.4,0.8835129,0.06965092,0.026007297
paraboloid,T+F,2042,0.5,1.6213459,0.09002383,0.023359125
paraboloid,T+F+K,2042,0.0,0.0035761066,0.0056786276,0.012706038
paraboloid,T+F+K,2042,0.1,0.049369756,0.024038557,0.025034035
paraboloid,T+F+K,2042,0.2,0.14230303,0.03560415,0.026390413
paraboloid,T+F+K,2042,0.3,0.36019608,0.050272238,0.027160611
paraboloid,T+F+K,2042,0.4,0.9312769,0.063781716,0.025643086
paraboloid,T+F+K,2042,0.5,1.7218252,0.082512766,0.02271183
paraboloid,baseline,3042,0.0,0.09309332,0.041816805,0.13404758
paraboloid,baseline,3042,0.1,0.4112803,0.1110331,0.1298283
paraboloid,baseline,3042,0.2,0.7510435,0.14559321,0.15866628
paraboloid,baseline,3042,0.3,1.4979104,0.17135714,0.1686754
paraboloid,baseline,3042,0.4,2.4637747,0.19635577,0.13984859
paraboloid,baseline,3042,0.5,3.818732,0.2151945,0.11803079
paraboloid,T,3042,0.0,0.022624442,0.0065846937,0.012103148
paraboloid,T,3042,0.1,0.25050187,0.026189795,0.019451827
paraboloid,T,3042,0.2,0.7183774,0.053631093,0.033121385
paraboloid,T,3042,0.3,1.6811153,0.11785813,0.074685395
paraboloid,T,3042,0.4,3.0659702,0.22511607,0.09425224
paraboloid,T,3042,0.5,5.01061,0.3414872,0.11324823
paraboloid,K,3042,0.0,0.08480014,0.029323723,0.089015916
paraboloid,K,3042,0.1,0.34932917,0.05608134,0.058187734
paraboloid,K,3042,0.2,0.63529646,0.07803029,0.063123845
paraboloid,K,3042,0.3,1.3154995,0.10882699,0.06556873
paraboloid,K,3042,0.4,2.2321668,0.12789713,0.059617605
paraboloid,K,3042,0.5,3.582816,0.15197808,0.05910614
paraboloid,T+K,3042,0.0,0.025537979,0.0056435387,0.010364237
paraboloid,T+K,3042,0.1,0.2891816,0.024824085,0.016745526
paraboloid,T+K,3042,0.2,0.7985483,0.05325418,0.031706966
paraboloid,T+K,3042,0.3,1.8013597,0.12050583,0.073038585
paraboloid,T+K,3042,0.4,3.2058764,0.22783044,0.085761145
paraboloid,T+K,3042,0.5,5.170145,0.34615386,0.10746493
paraboloid,T+F,3042,0.0,0.012493887,0.004980715,0.015551253
paraboloid,T+F,3042,0.1,0.050968766,0.015640624,0.0066716503
paraboloid,T+F,3042,0.2,0.16498053,0.023999607,0.00670326
paraboloid,T+F,3042,0.3,0.5105515,0.04245509,0.00823636
paraboloid,T+F,3042,0.4,1.1652569,0.068851866,0.0103480965
paraboloid,T+F,3042,0.5,2.3592737,0.10945561,0.015549375
paraboloid,T+F+K,3042,0.0,0.011903118,0.004581702,0.012965553
paraboloid,T+F+K,3042,0.1,0.050236963,0.015351417,0.0060769464
paraboloid,T+F+K,3042,0.2,0.16347016,0.023892798,0.006155695
paraboloid,T+F+K,3042,0.3,0.5069423,0.042557072,0.007765887
paraboloid,T+F+K,3042,0.4,1.160752,0.06937417,0.009957922
paraboloid,T+F+K,3042,0.5,2.3501048,0.11036109,0.015070114
paraboloid,baseline,4042,0.0,0.0519412,0.10255233,0.12399264
paraboloid,baseline,4042,0.1,0.35424796,0.20043422,0.114787854
paraboloid,baseline,4042,0.2,0.8472455,0.22931132,0.11804204
paraboloid,baseline,4042,0.3,1.6547419,0.24756454,0.115303226
paraboloid,baseline,4042,0.4,2.8182986,0.2636976,0.105732776
paraboloid,baseline,4042,0.5,4.7690916,0.2995836,0.08733811
paraboloid,T,4042,0.0,0.049306747,0.00958498,0.01662739
paraboloid,T,4042,0.1,0.37813562,0.036592897,0.04548539
paraboloid,T,4042,0.2,0.9747393,0.07745646,0.05959778
paraboloid,T,4042,0.3,1.8046446,0.11371523,0.07249707
paraboloid,T,4042,0.4,2.9871624,0.15508288,0.090835676
paraboloid,T,4042,0.5,4.891513,0.19865644,0.11295267
paraboloid,K,4042,0.0,0.056346335,0.03768538,0.032995652
paraboloid,K,4042,0.1,0.42194915,0.09447619,0.047046054
paraboloid,K,4042,0.2,1.0886939,0.15123107,0.047506046
paraboloid,K,4042,0.3,2.0495648,0.20164652,0.051744398
paraboloid,K,4042,0.4,3.3475103,0.24878809,0.062032647
paraboloid,K,4042,0.5,5.4520106,0.30628285,0.084191725
paraboloid,T+K,4042,0.0,0.05126022,0.010765681,0.012439362
paraboloid,T+K,4042,0.1,0.38802522,0.039033484,0.031252593
paraboloid,T+K,4042,0.2,0.99730265,0.08022236,0.04475079
paraboloid,T+K,4042,0.3,1.837126,0.11678598,0.056100786
paraboloid,T+K,4042,0.4,3.0314388,0.15847163,0.07133271
paraboloid,T+K,4042,0.5,4.9518423,0.20229502,0.094767734
paraboloid,T+F,4042,0.0,0.026105808,0.011154371,0.024480259
paraboloid,T+F,4042,0.1,0.19971362,0.028628062,0.0143381655
paraboloid,T+F,4042,0.2,0.488839,0.040457748,0.014643684
paraboloid,T+F,4042,0.3,1.0807787,0.06196193,0.020800708
paraboloid,T+F,4042,0.4,2.0240417,0.09023352,0.03064965
paraboloid,T+F,4042,0.5,3.9040277,0.15966451,0.052735265
paraboloid,T+F+K,4042,0.0,0.025851235,0.011541513,0.019272096
paraboloid,T+F+K,4042,0.1,0.18659864,0.029407151,0.01365636
paraboloid,T+F+K,4042,0.2,0.46115828,0.0410738,0.015290112
paraboloid,T+F+K,4042,0.3,1.0362878,0.06283296,0.022438582
paraboloid,T+F+K,4042,0.4,1.9645039,0.08918815,0.032811675
paraboloid,T+F+K,4042,0.5,3.8329418,0.15568766,0.057490345
paraboloid,baseline,5042,0.0,0.34718236,0.49518836,0.5807459
paraboloid,baseline,5042,0.1,0.80358684,0.5587992,0.18880495
paraboloid,baseline,5042,0.2,1.1402242,0.600225,0.17677078
paraboloid,baseline,5042,0.3,1.6275212,0.60960686,0.1601098
