surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final,diff_loss_final
paraboloid,baseline,42,0.0058012669906020164,0.9820162963867187,2.016834424889606,2.788998273463031,2.0461351282166023,0.9399048787818117,1.5567399365818912,0.2375379204750061,0.7649999856948853,0.23999999463558197,1.1389553546905518,0.024096613749861717,1.6487586498260498
paraboloid,T+F,42,0.018033325672149658,0.8755815124511719,1.96978875865107,2.758352641186683,1.6748191001920478,1.2414309960520473,1.9917056112490004,0.20387014746665955,0.7649999856948853,0.23999999463558197,0.08683760464191437,0.01574750617146492,0.2948871850967407
paraboloid,T+F+K,42,0.012192453257739544,0.915673828125,1.9620102592136548,2.532589582056781,1.711237941999779,0.974063432432154,2.007722532948413,0.17781317234039307,0.7649999856948853,0.23999999463558197,0.0461634062230587,0.021027803421020508,0.23823390901088715
paraboloid,T+F+K+S,42,0.012192453257739544,0.9248295593261718,2.0019163048785664,2.5941277796926063,1.7486538773535183,0.9930423348146241,2.1685862705617907,0.19701769948005676,0.7649999856948853,0.23999999463558197,0.29210007190704346,0.6386246085166931,0.23823390901088715
paraboloid,baseline,1042,0.010783392935991287,1.006064486863026,1.9634835379464286,2.8043785095214844,1.9235757893967953,1.1260527598065178,2.256805124085954,0.3155096173286438,0.7199999690055847,0.26499998569488525,0.8302447199821472,0.005545978434383869,2.2730700969696045
paraboloid,T+F,1042,0.011286805383861065,0.8074686635079695,1.6542578125,2.319011688232422,1.2977259352283055,0.7573913406003298,1.4982129775185278,0.23648394644260406,0.7199999690055847,0.26499998569488525,0.11653192341327667,0.015384024940431118,0.19552189111709595
paraboloid,T+F+K,1042,0.0038394671864807606,0.8139573293714667,1.7620793805803572,2.5787569681803384,1.546262549316113,0.9910876409675992,2.1215929476527142,0.3257410526275635,0.7199999690055847,0.26499998569488525,0.058066725730895996,0.01138424500823021,0.19494929909706116
paraboloid,T+F+K+S,1042,0.0038394671864807606,0.8157678345339981,1.6376705496651787,2.1913640764024525,1.1288384144716748,0.7864157995277162,1.3242628522308117,0.23650914430618286,0.7199999690055847,0.26499998569488525,0.19181959331035614,0.2069917917251587,0.19494929909706116
paraboloid,baseline,2042,0.0008204104378819466,1.068914288851484,3.316728193681319,5.187445573746019,4.7496959640208685,2.9601266710798284,5.002669151504847,0.45366019010543823,0.7849999666213989,0.23499999940395355,0.6793772578239441,7.919920921325684,1.724509835243225
paraboloid,T+F,2042,0.009301172569394112,0.742969915495446,1.843580308851305,2.458037941319168,1.5507405344161795,1.1821852545491371,2.30059751559968,0.1478690207004547,0.7849999666213989,0.23499999940395355,0.09155279397964478,0.06774318218231201,0.14972655475139618
paraboloid,T+F+K,2042,0.0320354700088501,0.8104102359944253,1.9921423943488152,2.4131592185633957,1.6333936527467168,1.2238352624400943,1.7903503210629816,0.1737036108970642,0.7849999666213989,0.23499999940395355,0.13890597224235535,0.056022725999355316,0.2280011922121048
paraboloid,T+F+K+S,2042,0.0320354700088501,0.8075196539337312,1.9103782569969094,2.2651584892515926,1.5370445953384795,1.0708233444243043,1.5733501895976187,0.17623503506183624,0.7849999666213989,0.23499999940395355,0.27657851576805115,0.8309334516525269,0.2280011922121048
paraboloid,baseline,3042,0.0020442295353859663,0.9737216186523437,2.2730115807574727,2.7850026380295723,1.95278524455134,0.9745507265795307,1.4404729130827152,0.24111206829547882,0.7450000047683716,0.23999999463558197,0.26328742504119873,0.11774566769599915,0.38117948174476624
paraboloid,T+F,3042,0.009119627997279167,1.0442330169677734,2.190918134606403,2.8704330137111995,1.6481332569595708,1.382124659251587,2.2457584860374484,0.22638380527496338,0.7450000047683716,0.23999999463558197,0.08901441097259521,0.04025117680430412,0.04420693591237068
paraboloid,T+F+K,3042,0.05578131973743439,0.5926797103881836,1.3356943545134172,1.8796542378880035,1.4214574008028773,0.6839203290172007,1.1678646772067198,0.25490081310272217,0.7450000047683716,0.23999999463558197,0.07730328291654587,0.018586136400699615,0.06704684346914291
paraboloid,T+F+K+S,3042,0.05578131973743439,0.5954758453369141,1.3895495870838994,2.0440350218907297,1.538126990287653,0.6878994029160199,1.3002595909030727,0.31293246150016785,0.7450000047683716,0.23999999463558197,0.2975430488586426,0.5110625624656677,0.06704684346914291
paraboloid,baseline,4042,0.0014358684420585632,1.0357028198242189,2.171319814828726,2.8473988583213403,1.8505583687864857,1.1066348405698392,2.3551465888571705,0.22060614824295044,0.7599999904632568,0.29999998211860657,0.307158887386322,0.07094156742095947,0.31479182839393616
paraboloid,T+F,4042,0.011931064538657665,0.9869035339355469,2.0825171837439904,2.481958088121916,1.1041311341358053,0.9515024849551016,1.9725681403755466,0.17889061570167542,0.7599999904632568,0.29999998211860657,0.09521027654409409,0.03605450689792633,0.07021630555391312
paraboloid,T+F+K,4042,0.017529133707284927,1.0370820617675782,2.1126497708834133,2.443358170358758,1.46978810497599,1.0255560170027627,1.8523247723067797,0.2561292350292206,0.7599999904632568,0.29999998211860657,0.05258200317621231,0.024439720436930656,0.02224920690059662
paraboloid,T+F+K+S,4042,0.017529133707284927,1.0287344360351562,2.0968347905756355,2.3613608510870683,1.1659580962233416,0.8989610894395517,1.7662518745721845,0.19052794575691223,0.7599999904632568,0.29999998211860657,0.10406600683927536,0.18992677330970764,0.02224920690059662
paraboloid,baseline,5042,0.04308914393186569,1.197869873046875,2.2355418871807795,2.904156853170956,2.2602023449494646,1.4168042481499217,2.0180935688558423,0.2648080885410309,0.7649999856948853,0.26499998569488525,0.8693660497665405,0.02719355933368206,0.7816930413246155
paraboloid,T+F,5042,0.01481475681066513,1.114667205810547,2.1521905058173725,2.8230903974545547,2.092967671734689,1.3257378693816821,2.0130710760034156,0.24934084713459015,0.7649999856948853,0.26499998569488525,0.17936313152313232,0.015080425888299942,0.21075965464115143
paraboloid,T+F+K,5042,0.00584770692512393,0.5302349090576172,1.1199801865444388,1.789077659058415,1.382027022824561,0.5194781480544977,1.2104319147655846,0.208682119846344,0.7649999856948853,0.26499998569488525,0.05981789156794548,0.004098275676369667,0.01107581052929163
paraboloid,T+F+K+S,5042,0.00584770692512393,0.5311879348754883,1.1490591725995463,1.8395268060023489,1.4115041414937006,0.5385043374624487,1.107959878103432,0.21606625616550446,0.7649999856948853,0.26499998569488525,0.10363530367612839,0.06661124527454376,0.01107581052929163
paraboloid,baseline,6042,0.0034039225429296494,1.149122543334961,2.2871140834263395,2.757626468188142,1.8786944181581153,1.0376901521614188,1.7262863328525684,0.2143368273973465,0.7299999594688416,0.3050000071525574,0.8980332612991333,0.02134190872311592,1.0429517030715942
