surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss
paraboloid,201,rotation,ATLAS,42,0.0011700061868079267,0.22388416528701782,0.26204079389572144,1.5642354488372803,,,,
paraboloid,201,rotation,baseline,42,0.00011581671771718495,0.10964437574148178,2.111178398132324,4.158583164215088,1.2205528020858765,1.3387333154678345,0.022044009529054165,0.0003152964054606855
paraboloid,201,rotation,T,42,6.235848685995264e-05,0.005180093925446272,0.250009149312973,0.11456724256277084,1.126060128211975,1.198197603225708,0.019759940914809704,2.224357103841612e-05
paraboloid,201,rotation,F,42,0.005876964004478644,1.9992539882659912,12.275547981262207,56.81377029418945,0.9854198098182678,0.9855353236198425,0.00011348303451086394,0.002149155829101801
paraboloid,201,rotation,C,42,0.0030963305217116626,1.1624131202697754,7.9864654541015625,41.310302734375,0.13031888008117676,0.13198551535606384,0.0833815187215805,0.0019506855751387775
paraboloid,201,rotation,T+F,42,0.0010383907538741382,0.02803344652056694,0.4849094748497009,1.0663464069366455,1.386197805404663,1.5139507055282593,0.002070145506877452,5.269470057100989e-05
paraboloid,201,rotation,ATLAS,1042,0.0018038580666727094,0.2701716125011444,0.20162852108478546,1.2877357006072998,,,,
paraboloid,201,rotation,baseline,1042,0.00015533176153453428,0.19569610059261322,2.7805442810058594,6.7117509841918945,1.0811100006103516,1.3160241842269897,0.015412610955536366,0.0002929090551333502
paraboloid,201,rotation,T,1042,0.00011912415462050271,0.015418422408401966,0.5205749869346619,0.20889362692832947,1.030129075050354,1.1313978433609009,0.011264833621680737,3.134940288873622e-05
paraboloid,201,rotation,F,1042,0.0055542140457760635,1.9904019832611084,11.933204650878906,60.509727478027344,0.9440171122550964,0.9442916512489319,2.8185436349303927e-05,0.0021111718378961086
paraboloid,201,rotation,C,1042,0.005583328987235453,1.9462354183197021,11.79102611541748,60.242950439453125,0.022186050191521645,0.02218608744442463,4.262564523571655e-09,0.002110521076247096
paraboloid,201,rotation,T+F,1042,0.00046314161956606813,0.04345700889825821,0.5069178342819214,1.1588020324707031,1.3514324426651,1.451718807220459,0.013959216419607401,4.917422847938724e-05
paraboloid,201,rotation,ATLAS,2042,0.0009299507040289504,0.22839559614658356,0.20678268373012543,1.170862078666687,,,,
paraboloid,201,rotation,baseline,2042,0.00011104387022666077,0.11669570952653885,2.039555549621582,3.535043716430664,1.2563501596450806,1.3342024087905884,0.02799356449395418,0.0004862835048697889
paraboloid,201,rotation,T,2042,0.00017377561820087147,0.005501665640622377,0.4733239412307739,0.16781997680664062,1.0964773893356323,1.2074520587921143,0.006622774060815573,7.885664308560081e-05
paraboloid,201,rotation,F,2042,0.00635895918850875,1.9989253282546997,11.483139038085938,55.8859977722168,0.9571694731712341,0.9571776390075684,4.370358510641381e-05,0.0027319974033161998
paraboloid,201,rotation,C,2042,0.0038888647188594686,1.2632474899291992,9.322809219360352,42.358985900878906,0.7271372079849243,0.7278456091880798,0.1411609761416912,0.0024555939016863704
paraboloid,201,rotation,T+F,2042,0.0001353322625605028,0.025332501158118248,0.4238666296005249,0.6584279537200928,1.3875846862792969,1.5619999170303345,0.0022894045105203986,8.035121572902426e-05
paraboloid,201,rotation,ATLAS,3042,0.0008886222963902488,0.1566063016653061,0.20821930468082428,1.5564825534820557,,,,
paraboloid,201,rotation,baseline,3042,6.697499262752817e-05,0.09032870084047318,1.3738614320755005,2.027299642562866,1.2863788604736328,1.3896925449371338,0.05699697695672512,0.00031819174182601273
paraboloid,201,rotation,T,3042,0.0001443666846153155,0.0052182963117957115,0.45011162757873535,0.07738383114337921,1.0815043449401855,1.1179769039154053,0.015486055985093117,2.949407098640222e-05
paraboloid,201,rotation,F,3042,0.006021064312303837,1.9948229789733887,11.049141883850098,41.27265930175781,0.9414762258529663,0.9417697787284851,6.618852967221756e-05,0.0029166199965402484
paraboloid,201,rotation,C,3042,0.006027346226706433,1.9367181062698364,10.6925048828125,41.239349365234375,0.016437366604804993,0.016437366604804993,1.2327984466597997e-10,0.0029146746965125203
paraboloid,201,rotation,T+F,3042,0.0015373772649622675,0.017265986651182175,0.25420671701431274,0.4274302124977112,1.3053843975067139,1.4262127876281738,0.006297036074101925,7.902702600404155e-05
paraboloid,201,rotation,ATLAS,4042,0.0015081601652932998,0.22253425419330597,0.18012933433055878,1.3308675289154053,,,,
paraboloid,201,rotation,baseline,4042,0.00044865791329103913,0.3050689101219177,4.1870551109313965,11.895097732543945,1.1520280838012695,1.2170116901397705,0.04459904879331589,0.0011555970122572035
