N,D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,E_mu,E_Sigma,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
20,201,99,paraboloid,baseline,42,0.09817607700824738,0.0007479102932848036,0.00017469793965574354,0.0025748290232758026,True,2.0871968269348145,5.718977928161621,1.4568353271484376,2.7768332439920176,3.475130766824959,1.9324050691118015,0.17385144531726837,0.7649999856948853
20,201,99,paraboloid,K(Phat),42,0.17927286028862,0.0006060628802515566,0.00023353782307822257,0.0025748290232758026,True,1.797051191329956,9.007168769836426,1.6182142639160155,2.851435122282609,3.4981793172998366,1.9358916899015943,0.21268615126609802,0.7649999856948853
20,201,99,paraboloid,baseline,1042,0.11061125248670578,0.0004397598677314818,0.00016331775987055153,0.001415959341609063,True,1.5578593015670776,3.278698444366455,1.17301250821981,2.0026218959263393,2.7531325022379556,1.8219812198916152,0.18497483432292938,0.7199999690055847
20,201,99,paraboloid,K(Phat),1042,0.0744805857539177,0.00041987030999735,0.00014565823948942125,0.001415959341609063,True,0.8019102811813354,2.9281277656555176,1.2107436597047738,2.00509521484375,2.7063509623209634,1.7625268191618508,0.1896229386329651,0.7199999690055847
20,201,99,paraboloid,baseline,2042,0.1085200160741806,0.0004078904166817665,0.00015591664123348892,0.004638217278380892,True,0.8383885622024536,2.006255865097046,0.6619291832698649,1.6015987186641483,2.0891986045108477,1.9556190078880176,0.22452418506145477,0.7849999666213989
20,201,99,paraboloid,K(Phat),2042,0.12747453153133392,0.00027721162769012153,0.00019761218572966754,0.004638217278380892,True,0.6696536540985107,2.297855854034424,0.958310151219967,2.3187281011225105,2.9163878617013337,2.0460665431932425,0.24262960255146027,0.7849999666213989
20,201,99,paraboloid,baseline,3042,0.05041589215397835,0.00020147768373135477,0.000105314924439881,0.0016994000370822737,True,0.7569735050201416,1.1850969791412354,0.7087030792236328,1.54975061831267,2.4498655588034817,2.4998154381856805,0.2947162687778473,0.7450000047683716
20,201,99,paraboloid,K(Phat),3042,0.07319753617048264,0.0002752759901341051,8.463901758659631e-05,0.0016994000370822737,True,0.4329620599746704,1.210793137550354,0.9325416564941407,1.552350251570992,2.3015998993944002,2.3827271937418266,0.30329379439353943,0.7450000047683716
20,201,99,paraboloid,baseline,4042,0.05864609032869339,0.00037733704084530473,0.0003487277717795223,0.0013455173269433169,True,1.2875018119812012,2.0539090633392334,1.1071976470947265,2.155554467505151,2.505129763954564,1.9416853054441978,0.20703326165676117,0.7599999904632568
20,201,99,paraboloid,K(Phat),4042,0.0815545916557312,0.00015103272744454443,0.00015574856661260128,0.0013455173269433169,True,0.7122379541397095,1.8725240230560303,1.1343720245361328,2.1495210417024384,2.4306841398540295,1.7603424371106582,0.1893552541732788,0.7599999904632568
20,201,99,paraboloid,baseline,5042,0.05371537804603577,0.00015924721083138138,0.00013278225378599018,0.0006905750403949871,True,1.138023018836975,2.3864102363586426,1.2025260162353515,2.2930496379893315,2.8037643931270426,1.936995382188642,0.21707136929035187,0.7649999856948853
20,201,99,paraboloid,K(Phat),5042,0.0883486345410347,0.00017458021466154605,7.246458699228242e-05,0.0006905750403949871,True,0.7559017539024353,1.6537952423095703,1.235782928466797,2.2603976341985885,2.6950460197099675,1.7627452283868175,0.2145136296749115,0.7649999856948853
20,201,99,paraboloid,baseline,6042,0.034784186631441116,0.0001234994997503236,3.9921880670590326e-05,0.00043739489654996504,True,1.457233190536499,1.6102874279022217,0.6018319320678711,1.358700910295759,1.8429456736943493,2.123143529326197,0.23966851830482483,0.7299999594688416
20,201,99,paraboloid,K(Phat),6042,0.23657521605491638,7.9750367149245e-05,7.212311902549118e-05,0.00043739489654996504,True,1.1434563398361206,2.3906850814819336,0.7786943054199219,1.4130610874720981,1.9683235900042808,2.0208446218633833,0.2496299296617508,0.7299999594688416
20,201,99,paraboloid,baseline,7042,0.13200132548809052,0.0006293119513429701,0.00030212890123948455,0.0021706610473234264,True,0.6716541051864624,1.3780691623687744,1.2560861865479742,2.5458502000378025,3.21401957592933,2.494349516113993,0.20600898563861847,0.7649999856948853
