time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,distance,W2,MMD
0.1,1.0,0.22684432983398437,0.2885799970043488,paraboloid,baseline,learned_latent,0.0,,
0.2,0.9799999594688416,0.4222753485854791,0.37154435843795136,paraboloid,baseline,learned_latent,0.0,,
0.5,0.9149999618530273,0.451704973731536,0.30437588870008925,paraboloid,baseline,learned_latent,0.0,,
1.0,0.8050000071525574,0.6745305979473991,0.352355968401601,paraboloid,baseline,learned_latent,0.0,1.4811548575590894,0.1640545129776001
2.0,0.5249999761581421,,,paraboloid,baseline,learned_latent,0.0,2.4930958284342473,0.2102656066417694
3.0,0.32999998331069946,,,paraboloid,baseline,learned_latent,0.0,2.4127110084798624,0.2328827828168869
4.0,0.22499999403953552,,,paraboloid,baseline,learned_latent,0.0,1.7308505506096135,0.11654895544052124
5.0,0.1599999964237213,,,paraboloid,baseline,learned_latent,0.0,1.2551345155299274,0.15970604121685028
0.1,1.0,0.2244517135620117,0.2855362303953102,paraboloid,baseline,learned_ambient,0.0,,
0.2,0.9799999594688416,0.4207051335548868,0.3701627846896724,paraboloid,baseline,learned_ambient,0.0,,
0.5,0.9149999618530273,0.55978351864007,0.3772032983347219,paraboloid,baseline,learned_ambient,0.0,,
1.0,0.8050000071525574,0.8610266454471565,0.4497763013261756,paraboloid,baseline,learned_ambient,0.0,1.1770978212260972,0.1327204704284668
2.0,0.5249999761581421,,,paraboloid,baseline,learned_ambient,0.0,2.4535160917534764,0.13254520297050476
3.0,0.32999998331069946,,,paraboloid,baseline,learned_ambient,0.0,3.2754790354294143,0.179419606924057
4.0,0.22499999403953552,,,paraboloid,baseline,learned_ambient,0.0,4.914585715609804,0.2542715072631836
5.0,0.1599999964237213,,,paraboloid,baseline,learned_ambient,0.0,5.531355130088688,0.2425401657819748
0.1,1.0,0.21160812377929689,0.2691972586267257,paraboloid,T,learned_latent,0.0,,
0.2,0.9799999594688416,0.3989819896464445,0.35104939909007776,paraboloid,T,learned_latent,0.0,,
0.5,0.9149999618530273,0.4310023406815659,0.2904256718562038,paraboloid,T,learned_latent,0.0,,
