surface,config,seed,distance,reconstruction,tangent,curvature
quartic_dome,T,2042,0.1,0.057195663,0.37356156,3.8312752
quartic_dome,T,2042,0.2,0.106934234,0.7105559,3.5161505
quartic_dome,T,2042,0.3,0.18741304,0.89456874,1.9499122
quartic_dome,T,2042,0.4,0.4078042,0.9472822,1.2134652
quartic_dome,T,2042,0.5,0.86185926,0.9367028,0.7765486
quartic_dome,K,2042,0.0,0.014679626,0.06796882,0.53142565
quartic_dome,K,2042,0.1,0.0436797,0.3998285,4.05427
quartic_dome,K,2042,0.2,0.075128786,0.6701274,2.958539
quartic_dome,K,2042,0.3,0.14823115,0.8690126,1.528544
quartic_dome,K,2042,0.4,0.3489499,0.9411154,0.8293668
quartic_dome,K,2042,0.5,0.81355625,0.9224734,0.579915
quartic_dome,T+K,2042,0.0,0.028833764,0.03419733,0.34067762
quartic_dome,T+K,2042,0.1,0.0676312,0.34194058,3.20078
quartic_dome,T+K,2042,0.2,0.1120542,0.6812363,3.2044845
quartic_dome,T+K,2042,0.3,0.18331942,0.881907,1.9761107
quartic_dome,T+K,2042,0.4,0.38065642,0.95232546,1.340353
quartic_dome,T+K,2042,0.5,0.81058145,0.950323,0.889796
quartic_dome,T+F,2042,0.0,0.0018823752,0.03011388,0.49244416
quartic_dome,T+F,2042,0.1,0.0063779647,0.3237941,4.114756
quartic_dome,T+F,2042,0.2,0.026403703,0.5792587,3.2214282
quartic_dome,T+F,2042,0.3,0.08517846,0.7526684,1.5694458
quartic_dome,T+F,2042,0.4,0.27699617,0.8342675,0.8630074
quartic_dome,T+F,2042,0.5,0.8091303,0.84497035,0.63755167
quartic_dome,T+F+K,2042,0.0,0.0008124656,0.027341397,0.45661908
quartic_dome,T+F+K,2042,0.1,0.005956619,0.30505446,3.8490171
quartic_dome,T+F+K,2042,0.2,0.026157403,0.5383096,2.9411323
quartic_dome,T+F+K,2042,0.3,0.08426039,0.70734864,1.4714961
quartic_dome,T+F+K,2042,0.4,0.27223563,0.7913651,0.83312964
quartic_dome,T+F+K,2042,0.5,0.8054094,0.8097689,0.6304341
quartic_dome,baseline,3042,0.0,0.019105911,0.085810944,0.86143637
quartic_dome,baseline,3042,0.1,0.04836232,0.5595222,5.654588
quartic_dome,baseline,3042,0.2,0.09140697,0.8800156,3.9235315
quartic_dome,baseline,3042,0.3,0.1947664,0.9623141,1.7798918
quartic_dome,baseline,3042,0.4,0.40997344,0.9324034,0.7531849
quartic_dome,baseline,3042,0.5,0.88173866,0.8649333,0.48301965
quartic_dome,T,3042,0.0,0.013292897,0.034932103,0.4129458
quartic_dome,T,3042,0.1,0.047545012,0.20693186,2.7945607
quartic_dome,T,3042,0.2,0.07580305,0.5009502,2.547417
quartic_dome,T,3042,0.3,0.14441799,0.73135495,1.6224385
quartic_dome,T,3042,0.4,0.3070132,0.8433165,1.0339807
quartic_dome,T,3042,0.5,0.7208694,0.9114172,0.912047
quartic_dome,K,3042,0.0,0.055994958,0.26405543,0.95573133
quartic_dome,K,3042,0.1,0.15528668,0.54174066,4.938083
quartic_dome,K,3042,0.2,0.20396969,0.7802761,3.5736384
quartic_dome,K,3042,0.3,0.29002523,0.8754109,1.7399887
quartic_dome,K,3042,0.4,0.41655082,0.90488046,0.81362265
quartic_dome,K,3042,0.5,0.7760416,0.9044376,0.56074446
quartic_dome,T+K,3042,0.0,0.05806503,0.059205826,0.43970636
quartic_dome,T+K,3042,0.1,0.06783304,0.18845905,2.6105783
quartic_dome,T+K,3042,0.2,0.090397,0.4465251,2.3327835
quartic_dome,T+K,3042,0.3,0.15946996,0.6800129,1.5505064
quartic_dome,T+K,3042,0.4,0.31499588,0.8055887,0.95528096
quartic_dome,T+K,3042,0.5,0.6893854,0.88417166,0.90139186
quartic_dome,T+F,3042,0.0,0.004548643,0.03570149,0.5530409
quartic_dome,T+F,3042,0.1,0.0068408796,0.25153977,4.335806
