W2@1.0,MFPT_gt_r0.5,MFPT_lr_r0.5,MFPT_err_r0.5,exit_frac_r0.5,MFPT_gt_r1.0,MFPT_lr_r1.0,MFPT_err_r1.0,exit_frac_r1.0,MFPT_gt_r2.0,MFPT_lr_r2.0,MFPT_err_r2.0,exit_frac_r2.0,MFPT_gt_r3.0,MFPT_lr_r3.0,MFPT_err_r3.0,exit_frac_r3.0,surface,seed,condition,recon_per_dim
3.164384822235791,0.0759200006723404,0.07788000255823135,0.02581667371619294,1.0,0.2596599757671356,0.290880024433136,0.12023435099600666,1.0,0.7777105569839478,0.9648199081420898,0.24058995917938156,0.722,0.9196341037750244,1.2254347801208496,0.3325242888345896,0.184,quartic_dome,42,baseline,0.0002448789182290509
3.1177131384766446,0.0759200006723404,0.07744000852108002,0.020021178020002337,1.0,0.2596599757671356,0.28046002984046936,0.08010496809099041,1.0,0.7777105569839478,0.9117661714553833,0.17237211616532358,0.804,0.9196341037750244,1.1650433540344238,0.26685531697010156,0.23,quartic_dome,42,T,0.0003670656784849973
3.4283778335055803,0.0759200006723404,,,0.002,0.2596599757671356,,,0.0,0.7777105569839478,,,0.0,0.9196341037750244,,,0.0,quartic_dome,42,F,0.005426536152018837
3.2075037560547104,0.0759200006723404,0.0740399956703186,0.02476297399068285,1.0,0.2596599757671356,0.2590000033378601,0.0025416794687964516,1.0,0.7777105569839478,0.8190950155258179,0.05321318859597827,0.884,0.9196341037750244,1.1242965459823608,0.2225476864844545,0.526,quartic_dome,42,T+F,0.0010501737173516951
3.3287862554489727,0.08164000511169434,0.08142000436782837,0.0026947664146392035,1.0,0.2726200222969055,0.29989996552467346,0.10006580953932229,1.0,0.7700435519218445,0.9455555081367493,0.22792471383841723,0.63,0.9258397817611694,1.21999990940094,0.31772249738524666,0.126,quartic_dome,1042,baseline,0.00014235773378640265
3.520679142618938,0.08164000511169434,0.0800199955701828,0.0198433297412849,1.0,0.2726200222969055,0.29058000445365906,0.06587917499762233,1.0,0.7700435519218445,0.7791666984558105,0.011847572142116992,0.72,0.9258397817611694,1.091506838798523,0.17893706913545562,0.292,quartic_dome,1042,T,0.005581774521822953
3.5757436356855155,0.08164000511169434,1.4377241134643555,16.610534339106895,0.29,0.2726200222969055,1.586399793624878,4.819087608675927,0.05,0.7700435519218445,,,0.0,0.9258397817611694,,,0.0,quartic_dome,1042,F,0.005180581885190745
3.4253073350625183,0.08164000511169434,0.07784000039100647,0.04654586578588471,1.0,0.2726200222969055,0.25172001123428345,0.07666352194726272,1.0,0.7700435519218445,0.7506207227706909,0.025223026805014898,0.87,0.9258397817611694,1.0302542448043823,0.11277811247707624,0.472,quartic_dome,1042,T+F,0.0005345376050887417
3.161040837490721,0.07541999965906143,0.07725999504327774,0.02439665065677629,1.0,0.2514600157737732,0.28012001514434814,0.11397437991238739,1.0,0.7875324487686157,0.9531373381614685,0.21028325836197898,0.714,0.9273989796638489,1.2873809337615967,0.3881629826983735,0.084,quartic_dome,2042,baseline,7.175162100969855e-05
3.161977202813152,0.07541999965906143,0.07552000135183334,0.001325930697745592,1.0,0.2514600157737732,0.2740800082683563,0.08995462926771339,1.0,0.7875324487686157,0.8542892336845398,0.08476702772095912,0.802,0.9273989796638489,1.1376190185546875,0.22667702197282594,0.336,quartic_dome,2042,T,0.00017951469664549946
