surface,config,seed,distance,reconstruction,tangent,cov_tangent,drift_tangent,normal_drift_learned,normal_drift_true
paraboloid,baseline,42,0.0,0.10455109179019928,0.4171277582645416,19.920591354370117,3.4359850883483887,6.62859582901001,2.731569528579712
paraboloid,baseline,42,0.1,0.5127096176147461,0.5511271357536316,94.21868896484375,7.660928249359131,10.870482444763184,2.870952844619751
paraboloid,baseline,42,0.2,0.8828984498977661,0.5665541291236877,150.1335906982422,8.96712875366211,12.343107223510742,2.9934229850769043
paraboloid,baseline,42,0.3,1.3891798257827759,0.5515971183776855,257.7888488769531,10.873248100280762,14.760844230651855,3.255439043045044
paraboloid,baseline,42,0.4,2.478588342666626,0.5764815211296082,400.0946960449219,15.981593132019043,21.291170120239258,3.70939564704895
paraboloid,baseline,42,0.5,3.6766088008880615,0.6016204357147217,610.4288330078125,19.468502044677734,25.199569702148438,3.848813533782959
paraboloid,T,42,0.0,0.0930745080113411,0.015199456363916397,0.2860866189002991,0.1740076094865799,3.179457664489746,2.731569528579712
paraboloid,T,42,0.1,0.6245409250259399,0.06040145829319954,4.8781304359436035,1.3707085847854614,5.609993934631348,2.870952844619751
paraboloid,T,42,0.2,1.0156866312026978,0.08818662166595459,15.09476375579834,2.194864511489868,6.765466690063477,2.9934229850769043
paraboloid,T,42,0.3,1.6254197359085083,0.12353311479091644,41.86299514770508,4.159493446350098,9.16688060760498,3.255439043045044
paraboloid,T,42,0.4,3.10052752494812,0.19791005551815033,107.08165740966797,9.315387725830078,14.606583595275879,3.70939564704895
paraboloid,T,42,0.5,4.217329025268555,0.2242354452610016,182.79086303710938,10.631149291992188,15.657737731933594,3.848813533782959
paraboloid,K,42,0.0,0.12321779131889343,0.13499858975410461,5.469959259033203,1.3195693492889404,4.677389144897461,2.731569528579712
paraboloid,K,42,0.1,0.6215100288391113,0.20581932365894318,39.524131774902344,3.6039657592773438,7.067071437835693,2.870952844619751
paraboloid,K,42,0.2,1.0063681602478027,0.2056576907634735,77.70877075195312,4.561500072479248,8.551216125488281,2.9934229850769043
paraboloid,K,42,0.3,1.594697117805481,0.21911250054836273,171.87513732910156,6.413235187530518,11.209284782409668,3.255439043045044
paraboloid,K,42,0.4,3.0191433429718018,0.2609834671020508,386.8916320800781,12.022955894470215,18.022279739379883,3.70939564704895
paraboloid,K,42,0.5,4.246511459350586,0.2821546196937561,591.1550903320312,14.732524871826172,21.266647338867188,3.848813533782959
paraboloid,T+K,42,0.0,0.06788865476846695,0.015450550243258476,0.224195197224617,0.15648405253887177,3.175713300704956,2.731569528579712
paraboloid,T+K,42,0.1,0.5052851438522339,0.048962585628032684,3.2012314796447754,1.4050086736679077,5.560606956481934,2.870952844619751
paraboloid,T+K,42,0.2,0.843863844871521,0.07799627631902695,9.677910804748535,2.385148763656616,6.74554967880249,2.9934229850769043
paraboloid,T+K,42,0.3,1.3941227197647095,0.11613979190587997,28.06618309020996,4.612517833709717,8.97230339050293,3.255439043045044
paraboloid,T+K,42,0.4,2.743547201156616,0.19193440675735474,76.3604736328125,9.544380187988281,13.20524787902832,3.70939564704895
paraboloid,T+K,42,0.5,3.729069471359253,0.21674463152885437,129.56944274902344,10.382623672485352,13.596362113952637,3.848813533782959
paraboloid,T+F,42,0.0,0.011890532448887825,0.0074631161987781525,0.9680931568145752,0.10069812834262848,3.169664144515991,2.731569528579712
paraboloid,T+F,42,0.1,0.1550813913345337,0.02803048864006996,15.194271087646484,0.6657102108001709,5.604161262512207,2.870952844619751
paraboloid,T+F,42,0.2,0.34212908148765564,0.04047451168298721,36.963191986083984,1.0800220966339111,6.78624963760376,2.9934229850769043
paraboloid,T+F,42,0.3,0.7149205803871155,0.054697729647159576,82.5546646118164,1.8476064205169678,8.683533668518066,3.255439043045044
paraboloid,T+F,42,0.4,1.8697625398635864,0.0984010100364685,163.80813598632812,4.642995357513428,13.562969207763672,3.70939564704895
paraboloid,T+F,42,0.5,2.904247760772705,0.14012281596660614,258.56146240234375,7.167572021484375,16.334768295288086,3.848813533782959
paraboloid,T+F+K,42,0.0,0.01342643704265356,0.004865370690822601,0.16478592157363892,0.050273675471544266,3.0322790145874023,2.731569528579712
paraboloid,T+F+K,42,0.1,0.14161819219589233,0.01527378335595131,1.6940778493881226,0.342861533164978,4.4052228927612305,2.870952844619751
paraboloid,T+F+K,42,0.2,0.32999908924102783,0.025164863094687462,4.280684471130371,0.6437505483627319,5.260291576385498,2.9934229850769043
paraboloid,T+F+K,42,0.3,0.7290403246879578,0.04802221432328224,11.582131385803223,1.6034021377563477,6.9793901443481445,3.255439043045044
paraboloid,T+F+K,42,0.4,1.9281883239746094,0.12017138302326202,30.61652946472168,5.591710090637207,11.734910011291504,3.70939564704895
paraboloid,T+F+K,42,0.5,2.9035634994506836,0.15958887338638306,66.1601791381836,8.029077529907227,13.614998817443848,3.848813533782959
paraboloid,baseline,1042,0.0,0.14522601664066315,0.4137587547302246,64.10553741455078,3.6871237754821777,6.786367416381836,2.7577669620513916
paraboloid,baseline,1042,0.1,0.7312958836555481,0.5557356476783752,302.0638732910156,8.23963451385498,11.896191596984863,2.8828494548797607
paraboloid,baseline,1042,0.2,1.365553617477417,0.5734217166900635,637.2578125,11.51455307006836,16.154407501220703,3.094160556793213
paraboloid,baseline,1042,0.3,2.270212411880493,0.5965259075164795,1209.7242431640625,15.285229682922363,20.52115249633789,3.2548229694366455
paraboloid,baseline,1042,0.4,3.6645829677581787,0.6169279217720032,2038.062744140625,20.14026641845703,26.26835060119629,3.6068503856658936
paraboloid,baseline,1042,0.5,5.359472751617432,0.625886082649231,3154.916748046875,24.939451217651367,31.235218048095703,3.7114546298980713
paraboloid,T,1042,0.0,0.04549066349864006,0.012064281851053238,0.7808936238288879,0.0819012001156807,2.8563232421875,2.7577669620513916
paraboloid,T,1042,0.1,0.4399572014808655,0.06333733350038528,11.586613655090332,0.5209513306617737,3.9175615310668945,2.8828494548797607
paraboloid,T,1042,0.2,1.0916577577590942,0.12851396203041077,43.70167541503906,1.3155606985092163,5.194077491760254,3.094160556793213
paraboloid,T,1042,0.3,1.9803663492202759,0.19459255039691925,117.47710418701172,2.447796583175659,6.6974687576293945,3.2548229694366455
paraboloid,T,1042,0.4,3.495037078857422,0.3064500689506531,290.6084899902344,4.761032581329346,9.330647468566895,3.6068503856658936
paraboloid,T,1042,0.5,5.370870590209961,0.3872999846935272,590.7804565429688,7.509359359741211,11.941448211669922,3.7114546298980713
paraboloid,K,1042,0.0,0.3423701226711273,0.6879640817642212,24.978879928588867,3.0879995822906494,0.3501721918582916,2.7577669620513916
paraboloid,K,1042,0.1,0.8038352727890015,0.5907766222953796,76.0604019165039,3.407700538635254,0.5109275579452515,2.8828494548797607
paraboloid,K,1042,0.2,1.149067759513855,0.5804789662361145,129.44935607910156,3.8930680751800537,0.5584345459938049,3.094160556793213
paraboloid,K,1042,0.3,1.5773228406906128,0.5899650454521179,183.10072326660156,4.172044277191162,0.6084111332893372,3.2548229694366455
paraboloid,K,1042,0.4,2.363023042678833,0.5886479616165161,257.1107482910156,4.744640350341797,0.7217384576797485,3.6068503856658936
paraboloid,K,1042,0.5,3.409681797027588,0.559298038482666,334.1759033203125,4.746632099151611,0.6593635678291321,3.7114546298980713
paraboloid,T+K,1042,0.0,0.04400017485022545,0.010393268428742886,0.8661618828773499,0.07645785808563232,2.8792545795440674,2.7577669620513916
paraboloid,T+K,1042,0.1,0.44013845920562744,0.0553286112844944,11.298036575317383,0.48262935876846313,3.935722827911377,2.8828494548797607
paraboloid,T+K,1042,0.2,1.095157504081726,0.11414632201194763,41.299583435058594,1.20613694190979,5.174963474273682,3.094160556793213
paraboloid,T+K,1042,0.3,1.9985038042068481,0.1772099733352661,108.3306884765625,2.2428550720214844,6.585856914520264,3.2548229694366455
paraboloid,T+K,1042,0.4,3.528127670288086,0.28915244340896606,267.9176940917969,4.405357360839844,9.041357040405273,3.6068503856658936
paraboloid,T+K,1042,0.5,5.414616584777832,0.373104989528656,545.3304443359375,7.072643756866455,11.589871406555176,3.7114546298980713
paraboloid,T+F,1042,0.0,0.01818426512181759,0.008274232037365437,0.5675486922264099,0.07551022619009018,3.1748838424682617,2.7577669620513916
paraboloid,T+F,1042,0.1,0.11977365612983704,0.023140836507081985,4.69826078414917,0.3472079336643219,4.634646415710449,2.8828494548797607
paraboloid,T+F,1042,0.2,0.32224687933921814,0.03476831689476967,14.061870574951172,0.5954138040542603,5.603442668914795,3.094160556793213
paraboloid,T+F,1042,0.3,0.7084677219390869,0.0451267808675766,38.523319244384766,0.9392099380493164,6.717384338378906,3.2548229694366455
paraboloid,T+F,1042,0.4,1.5305887460708618,0.05544733628630638,94.35670471191406,1.5341925621032715,8.619043350219727,3.6068503856658936
paraboloid,T+F,1042,0.5,2.829707384109497,0.07053966075181961,235.533447265625,2.441281795501709,10.647127151489258,3.7114546298980713
paraboloid,T+F+K,1042,0.0,0.012861689552664757,0.003835915122181177,0.13405799865722656,0.020004507154226303,2.902191638946533,2.7577669620513916
paraboloid,T+F+K,1042,0.1,0.09041708707809448,0.010635203681886196,0.7118768095970154,0.0767492949962616,3.480470895767212,2.8828494548797607
paraboloid,T+F+K,1042,0.2,0.2745293378829956,0.018885966390371323,2.389702558517456,0.171286478638649,4.134768962860107,3.094160556793213
paraboloid,T+F+K,1042,0.3,0.6366932392120361,0.026553940027952194,9.600231170654297,0.3243158459663391,4.915381908416748,3.2548229694366455
paraboloid,T+F+K,1042,0.4,1.4207063913345337,0.03510662168264389,38.66107177734375,0.6531075239181519,6.385725498199463,3.6068503856658936
paraboloid,T+F+K,1042,0.5,2.695382833480835,0.0525357685983181,149.14016723632812,1.4330874681472778,8.393648147583008,3.7114546298980713
paraboloid,baseline,2042,0.0,0.04580652713775635,0.054358016699552536,9.31027889251709,0.3860394358634949,3.7896833419799805,2.7902584075927734
paraboloid,baseline,2042,0.1,0.39919954538345337,0.10085534304380417,60.97825241088867,1.4081751108169556,6.825943470001221,2.959735870361328
paraboloid,baseline,2042,0.2,0.855934739112854,0.13050752878189087,131.06048583984375,1.664061427116394,7.344267845153809,2.958683729171753
paraboloid,baseline,2042,0.3,1.513597011566162,0.15863727033138275,188.5696258544922,2.1095471382141113,8.702435493469238,3.2749381065368652
paraboloid,baseline,2042,0.4,2.83760142326355,0.23527537286281586,393.53155517578125,3.3385796546936035,11.18427848815918,3.613997459411621
paraboloid,baseline,2042,0.5,4.540463447570801,0.23741760849952698,834.9542236328125,6.020308494567871,15.49976634979248,3.867738962173462
paraboloid,T,2042,0.0,0.06674431264400482,0.015245254151523113,0.43017393350601196,0.0766725018620491,2.9629263877868652,2.7902584075927734
paraboloid,T,2042,0.1,0.35635706782341003,0.023425405845046043,5.633623123168945,0.3078148066997528,4.358354568481445,2.959735870361328
paraboloid,T,2042,0.2,0.8346272706985474,0.045009952038526535,47.75979232788086,0.5460031032562256,4.833049297332764,2.958683729171753
paraboloid,T,2042,0.3,1.5685768127441406,0.09035822004079819,169.67149353027344,1.1327385902404785,5.987936973571777,3.2749381065368652
paraboloid,T,2042,0.4,2.9115829467773438,0.15803799033164978,420.0114440917969,2.1187877655029297,7.495157718658447,3.613997459411621
