time,ensemble_survival,MTE,RPD,surface,config,seed,sim_mode,W2,MMD,drift_coeff_error,cov_coeff_error
0.1,1.0,0.4250484848022461,0.6207724985516493,quartic_dome,baseline,42,learned_latent,,,,
0.2,0.9799999594688416,0.8850700222716039,0.7026337708207864,quartic_dome,baseline,42,learned_latent,,,,
0.5,0.9149999618530273,0.8032098155204064,0.5590758259325244,quartic_dome,baseline,42,learned_latent,,,,
1.0,0.8050000071525574,1.2357281039220205,0.6105404310141895,quartic_dome,baseline,42,learned_latent,3.799105463424963,0.17304903268814087,,
2.0,0.5249999761581421,,,quartic_dome,baseline,42,learned_latent,6.494383268899332,0.22458921372890472,,
3.0,0.32999998331069946,,,quartic_dome,baseline,42,learned_latent,6.893850772536872,0.24242831766605377,,
4.0,0.22499999403953552,,,quartic_dome,baseline,42,learned_latent,4.600632902275585,0.13078829646110535,,
5.0,0.1599999964237213,,,quartic_dome,baseline,42,learned_latent,1.5993721125779021,0.17865456640720367,,
0.1,0.9950000047683716,0.8493032790907663,1.24038583229999,quartic_dome,baseline,42,end_to_end,,,2.172433614730835,2.381300449371338
0.2,0.9399999976158142,1.3829670358211437,1.0979010912671738,quartic_dome,baseline,42,end_to_end,,,2.683216094970703,2.199136734008789
0.5,0.824999988079071,1.4521066376657197,1.0107417789324034,quartic_dome,baseline,42,end_to_end,,,2.6658692359924316,2.2994182109832764
1.0,0.6499999761581421,2.1186117318960336,1.0467497792096407,quartic_dome,baseline,42,end_to_end,3.807844985049954,0.21018309891223907,2.820850372314453,2.5110056400299072
2.0,0.3499999940395355,,,quartic_dome,baseline,42,end_to_end,6.4990570614243435,0.2355308085680008,,
3.0,0.17999999225139618,,,quartic_dome,baseline,42,end_to_end,6.8876649604941695,0.27420175075531006,,
4.0,0.10499999672174454,,,quartic_dome,baseline,42,end_to_end,4.611452294416149,0.1944500058889389,,
5.0,0.06499999761581421,,,quartic_dome,baseline,42,end_to_end,1.6260905301846869,0.18336471915245056,,
0.1,1.0,0.3452920150756836,0.5042902035709907,quartic_dome,T+F,42,learned_latent,,,,
0.2,0.9799999594688416,0.8040797175193319,0.6383377018137735,quartic_dome,T+F,42,learned_latent,,,,
0.5,0.9149999618530273,0.7647501627604166,0.5323059063966954,quartic_dome,T+F,42,learned_latent,,,,
1.0,0.8050000071525574,1.2532314513781055,0.6191883700439096,quartic_dome,T+F,42,learned_latent,3.780215932149831,0.16343459486961365,,
2.0,0.5249999761581421,,,quartic_dome,T+F,42,learned_latent,6.461240355829297,0.21383318305015564,,
3.0,0.32999998331069946,,,quartic_dome,T+F,42,learned_latent,6.881287037395508,0.24157094955444336,,
4.0,0.22499999403953552,,,quartic_dome,T+F,42,learned_latent,4.561018094195141,0.12343668937683105,,
5.0,0.1599999964237213,,,quartic_dome,T+F,42,learned_latent,1.625987188380406,0.1675281524658203,,
0.1,0.9950000047683716,0.875499399463136,1.2786445996579812,quartic_dome,T+F,42,end_to_end,,,0.2198379933834076,0.041814420372247696
0.2,0.9649999737739563,1.1274100980610426,0.8950211718039317,quartic_dome,T+F,42,end_to_end,,,0.1333143413066864,0.039874929934740067
0.5,0.8949999809265137,1.5349663249607193,1.0684164328221202,quartic_dome,T+F,42,end_to_end,,,0.281527042388916,0.03439202159643173
1.0,0.7649999856948853,2.0185720406326593,0.9973228251502376,quartic_dome,T+F,42,end_to_end,3.759445384559568,0.19215619564056396,0.22996976971626282,0.0373389758169651
2.0,0.4899999797344208,,,quartic_dome,T+F,42,end_to_end,6.444564009238163,0.22273039817810059,,
3.0,0.3050000071525574,,,quartic_dome,T+F,42,end_to_end,6.863646456754499,0.25311166048049927,,
4.0,0.19999998807907104,,,quartic_dome,T+F,42,end_to_end,4.566956466397061,0.1752871870994568,,
