surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,W2@1.0,gt_w0_escape,lr_w0_escape,w0_escape_err,pairwise_mfpt_err,gt_mfpt_01,gt_mfpt_02,gt_mfpt_10,gt_mfpt_12,gt_mfpt_20,gt_mfpt_21,lr_mfpt_01,lr_mfpt_02,lr_mfpt_10,lr_mfpt_12,lr_mfpt_20,lr_mfpt_21,its_t2_err,gt_t2,lr_t2,stat_l1_err,gt_stat_0,gt_stat_1,gt_stat_2,lr_stat_0,lr_stat_1,lr_stat_2,exit_frac
paraboloid,baseline,42,1.176250357688828e-05,0.012473253533244133,0.0012309683952480555,1.1067779064178467,0.05492034606107744,20.343767123287673,20.04238905325444,0.014814270543248803,0.24225189110196046,19.1114444732666,18.2982177734375,3.6130712032318115,2.8109874725341797,1.3772152662277222,0.9936907291412354,18.684314727783203,17.96216583251953,5.237906455993652,4.352875709533691,1.0881431102752686,0.790313720703125,0.5885872541411318,63.91069183473765,101.52771045200593,0.08219582587480545,0.8418223857879639,0.11508448421955109,0.043093133717775345,0.8164771199226379,0.1561823934316635,0.027340484783053398,0.0215
paraboloid,T,42,4.557860930534926e-06,9.765380673343316e-05,6.293361366260797e-06,1.0204976797103882,0.05700359876046937,20.343767123287673,20.812608695652173,0.023045956509589287,0.041644368245427145,19.1114444732666,18.2982177734375,3.6130712032318115,2.8109874725341797,1.3772152662277222,0.9936907291412354,18.80486488342285,18.769161224365234,3.3136210441589355,2.788645029067993,1.2597277164459229,1.0254405736923218,0.15518136599872498,63.91069183473765,53.9929433738995,0.05500735715031624,0.8418223857879639,0.11508448421955109,0.043093133717775345,0.8693260550498962,0.09509170055389404,0.03558222949504852,0.03
paraboloid,T+F,42,3.286316066144288e-07,0.0004656825913116336,2.5663730411906727e-05,1.2200660705566406,0.0533512838772252,20.343767123287673,20.842282518641262,0.024504576381182357,0.06405702297747219,19.1114444732666,18.2982177734375,3.6130712032318115,2.8109874725341797,1.3772152662277222,0.9936907291412354,19.355087280273438,18.787954330444336,3.9358575344085693,3.1529793739318848,1.239503026008606,0.9600690603256226,0.08609803525233824,63.91069183473765,58.40810683614908,0.03854752704501152,0.8418223857879639,0.11508448421955109,0.043093133717775345,0.8610961437225342,0.10656508803367615,0.032338760793209076,0.0445
paraboloid,baseline,1042,9.671339119615203e-06,0.013397075235843658,0.0006643323577009141,1.1539933681488037,0.05724705924681186,19.95955174927114,20.4854675994109,0.02634908121916944,0.053988867032116916,18.549346923828125,17.75870132446289,3.1654279232025146,2.7536115646362305,1.3238048553466797,0.9854490756988525,19.520706176757812,18.200847625732422,3.6035778522491455,2.792541742324829,1.3982934951782227,1.0227441787719727,0.010319291713509265,74.39748411371977,73.62975477239912,0.015496183186769485,0.8423219919204712,0.11518801003694534,0.04249001666903496,0.850070059299469,0.10856711864471436,0.04136279225349426,0.02
paraboloid,T,1042,3.078348857922141e-06,0.0001860261836554855,7.835536962375045e-06,1.0017139911651611,0.04967458989108949,19.95955174927114,20.37828442437923,0.020979062073544975,0.07858445214128336,18.549346923828125,17.75870132446289,3.1654279232025146,2.7536115646362305,1.3238048553466797,0.9854490756988525,17.900279998779297,19.00356674194336,3.008730888366699,2.329301595687866,1.4432053565979004,1.0570189952850342,0.20448331584778812,74.39748411371977,59.18443987141321,0.05380765348672867,0.8423219919204712,0.11518801003694534,0.04249001666903496,0.8681016564369202,0.08828417211771011,0.04361416772007942,0.041
paraboloid,T+F,1042,2.3251779814679388e-07,0.00045633810805156827,2.2214615455595776e-05,1.1557221412658691,0.08418451175894537,19.95955174927114,15.274720840243228,0.23471623851467435,0.17457324719827952,18.549346923828125,17.75870132446289,3.1654279232025146,2.7536115646362305,1.3238048553466797,0.9854490756988525,13.411080360412598,12.99748420715332,3.828566551208496,3.3558614253997803,1.4209706783294678,0.9861608743667603,0.3109682626965872,74.39748411371977,97.53274049756016,0.46415457129478455,0.8423219919204712,0.11518801003694534,0.04249001666903496,0.6102446913719177,0.3023105263710022,0.08744477480649948,0.0335
paraboloid,baseline,2042,1.4440192237750374e-05,0.017237652093172073,0.0008821700466796756,1.0204228162765503,0.04663677781179024,20.364708737864078,19.83324595219738,0.02609724462587325,0.07609090623553154,18.58698272705078,18.35426139831543,3.608071804046631,2.727385997772217,1.30294668674469,1.0128852128982544,17.990121841430664,18.000938415527344,3.0200557708740234,2.426147222518921,1.4162431955337524,1.05826997756958,0.07658654954388137,68.43853004728257,63.19705917510595,0.031937453895807266,0.8432919979095459,0.11446651816368103,0.04224146530032158,0.85812908411026,0.09849779307842255,0.04337310791015625,0.0345
paraboloid,T,2042,1.3315556729635732e-05,0.0003944871132262051,1.7863263565232046e-05,1.0548195838928223,0.04732618566338664,20.364708737864078,20.622173745173747,0.012642705114213825,0.055248365790310845,18.58698272705078,18.35426139831543,3.608071804046631,2.727385997772217,1.30294668674469,1.0128852128982544,18.807592391967773,18.766740798950195,3.190983295440674,2.492154598236084,1.3880988359451294,1.0432188510894775,0.07257388159870483,68.43853004728257,63.47168027084168,0.07556736469268799,0.8432919979095459,0.11446651816368103,0.04224146530032158,0.8810756802558899,0.0829782783985138,0.03594601899385452,0.0195
paraboloid,T+F,2042,1.5100778744619509e-07,0.00024349847808480263,1.2907687050756067e-05,1.237159252166748,0.06572435668740756,20.364708737864078,21.611904306220094,0.061242985814823216,0.08677268660245278,18.58698272705078,18.35426139831543,3.608071804046631,2.727385997772217,1.30294668674469,1.0128852128982544,19.660320281982422,20.54914093017578,3.2563657760620117,2.4746005535125732,1.4272974729537964,1.0713341236114502,0.145680652014689,68.43853004728257,58.46836036706756,0.1237393245100975,0.8432919979095459,0.11446651816368103,0.04224146530032158,0.9051616787910461,0.06623272597789764,0.028605613857507706,0.041
paraboloid,baseline,3042,1.5885964702730153e-05,0.010851975530385971,0.0006321549299173057,1.0620298385620117,0.07821417258902054,20.60285136129507,22.443136456211814,0.08932186436941156,0.27201364146288104,18.03252601623535,18.90855598449707,3.491745710372925,2.7431836128234863,1.3483980894088745,0.9899583458900452,21.87664031982422,21.03115463256836,4.894625663757324,4.254015922546387,1.1384042501449585,0.7935661673545837,1.6108861378462156,66.79341713103352,174.39000688679536,0.04716169461607933,0.8444609642028809,0.11373279243707657,0.04180626571178436,0.8680418133735657,0.11115778237581253,0.020800430327653885,0.029
