surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,W2@1.0,pairwise_mfpt_err,gt_mfpt_01,gt_mfpt_02,gt_mfpt_10,gt_mfpt_12,gt_mfpt_20,gt_mfpt_21,lr_mfpt_01,lr_mfpt_02,lr_mfpt_10,lr_mfpt_12,lr_mfpt_20,lr_mfpt_21,its_t2_err,gt_t2,lr_t2,stat_l1_err,gt_stat_0,gt_stat_1,gt_stat_2,lr_stat_0,lr_stat_1,lr_stat_2,exit_frac
paraboloid,baseline,42,2.1987265261652116e-05,0.026447594165802002,0.002817708533257246,0.9764315485954285,0.2610871216111246,1.0147242101268985,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,5.082916736602783,5.115927219390869,1.9879167079925537,0.8047530651092529,4.004293441772461,2.8704819679260254,0.8746726218539399,70.52450704885045,8.83865156347576,0.8066561222076416,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.5453523397445679,0.01917276717722416,0.43547487258911133,0.006
paraboloid,T,42,2.2850703151727263e-05,0.0017534433864057064,5.540551137528382e-05,0.9243638515472412,0.3207123542972351,1.4866268024152494,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,3.572499990463257,3.534796953201294,2.086470603942871,0.7161515355110168,5.263327598571777,4.315625190734863,0.9309306873236926,70.52450704885045,4.8710792286995055,1.2562658786773682,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.3064001500606537,0.033320095390081406,0.6602797508239746,0.004
paraboloid,T+F,42,4.503234446350358e-07,0.0005508025642484426,4.745616024592891e-05,1.167691946029663,0.2919178592654982,1.5213538750513953,8.867076873779297,9.68563461303711,3.466315746307373,2.4663333892822266,1.3153570890426636,0.9425926208496094,4.5,3.583463668823242,2.3955554962158203,0.8899350762367249,5.280622959136963,4.753430366516113,0.9239560566905607,70.52450704885045,5.362961615948927,1.2450218200683594,0.8875066041946411,0.08034655451774597,0.032146815210580826,0.3257519006729126,0.019590340554714203,0.6546577215194702,0.006
paraboloid,baseline,1042,1.4525295806710016e-05,0.03748994320631027,0.004786268807947636,1.0059199333190918,0.09283565707582903,0.4403197733645146,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,9.79272747039795,9.251999855041504,6.0,4.469347953796387,0.8592857122421265,0.7117058634757996,3.8769975735767774,72.82376271630596,355.16131406615517,0.06660567224025726,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.9137834310531616,0.07797441631555557,0.008242170326411724,0.032
paraboloid,T,1042,1.7770677169954236e-05,0.0017834356985986233,5.900489122723229e-05,0.9500409364700317,0.09822782316667886,0.4653003832550134,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,8.974772453308105,9.01465892791748,5.945555686950684,5.078650951385498,1.2687499523162842,0.7816336750984192,3.060352069669702,72.82376271630596,295.6901156662882,0.046736717224121094,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.8845915198326111,0.10661254823207855,0.008795948699116707,0.044
paraboloid,T+F,1042,2.122706064255908e-07,0.0006250205915421247,4.48953069280833e-05,1.1556538343429565,0.10639888205765549,0.3794422247373446,9.427499771118164,9.3267240524292,2.521250009536743,2.5445101261138916,1.0799314975738525,0.9548134207725525,9.651558876037598,8.16480541229248,5.408371925354004,4.323945999145508,1.1414515972137451,0.7381645441055298,3.263757931244893,72.82376271630596,310.5028958647457,0.2469940334558487,0.8804805874824524,0.0873551145195961,0.032164301723241806,0.7641211152076721,0.21085213124752045,0.025026746094226837,0.02
paraboloid,baseline,2042,2.1253539175218478e-05,0.036039020866155624,0.0026433069724589586,0.9722055196762085,0.16976811961462238,0.19779226713238415,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,8.442770004272461,8.56088638305664,2.8373584747314453,2.0713953971862793,1.836367130279541,1.0710976123809814,0.9273426750595355,112.36287420872644,8.163985862627976,0.06457988917827606,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.9092603325843811,0.05024668946862221,0.040492985397577286,0.12
paraboloid,T,2042,1.4643102820793336e-05,0.0013449511025100946,6.25049724476412e-05,0.9411119818687439,0.10068949699670984,0.17935057539068214,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,9.939117431640625,9.517007827758789,2.955909013748169,1.6051613092422485,1.3201500177383423,1.2963635921478271,0.9056832530061735,112.36287420872644,10.597700778243613,0.11351446062326431,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.9448745846748352,0.029907967895269394,0.025217439979314804,0.016
paraboloid,T+F,2042,6.995123840169981e-07,0.001565731130540371,7.87543976912275e-05,1.2000726461410522,0.28103176466170315,0.17551533081576942,9.131385803222656,9.68202018737793,3.2043333053588867,2.6533102989196777,1.2473880052566528,0.9004337787628174,8.578039169311523,8.688162803649902,3.0614771842956543,2.24122953414917,1.9131097793579102,1.041136384010315,0.8956744718028276,112.36287420872644,11.72231620157782,0.040252260863780975,0.8881173729896545,0.08253664523363113,0.029346007853746414,0.8816854357719421,0.06884242594242096,0.04947211220860481,0.362
paraboloid,baseline,3042,3.0148393389853563e-05,0.03245832026004791,0.0027548326179385185,0.9442612528800964,0.11774944003998582,0.23444217368686995,9.179830551147461,8.269000053405762,3.0096969604492188,2.337270736694336,1.3015151023864746,1.0086947679519653,9.811301231384277,9.63577938079834,5.001153945922852,2.999964475631714,1.0431666374206543,1.0378086566925049,0.17414832476773642,73.28307534534241,86.0452001505616,0.013643879443407059,0.8885259032249451,0.07988253980875015,0.03159155696630478,0.8953478336334229,0.07892801612615585,0.025724131613969803,0.082
