N,D,K_pairs,surface,seed,condition,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0,ae_loss,recon_per_dim,phase1_converged
20,11,4,hyperbolic_paraboloid,8042,baseline,0.1432,0.1521,0.003149,0.00661,1.1418,2.1514,2.37,1.2882,0.1353,0.795,,,
20,11,4,hyperbolic_paraboloid,8042,K(Phat),0.0596,0.0842,0.002447,0.005654,1.124,2.1299,2.3353,1.2729,0.1298,0.795,,,
20,11,4,hyperbolic_paraboloid,9042,baseline,0.175,0.2745,0.004617,0.008383,0.4946,1.0915,1.5016,1.3249,0.113,0.76,,,
20,11,4,hyperbolic_paraboloid,9042,K(Phat),0.1455,0.1632,0.005173,0.008693,0.4849,1.0906,1.4893,1.3495,0.1112,0.76,,,
20,201,99,paraboloid,42,baseline,1.9865,6.8208,0.000608,0.000206,1.4745,2.8176,3.6071,1.9539,0.1964,0.765,,,
20,201,99,paraboloid,42,K(Phat),2.3308,6.9142,0.000771,0.000191,1.5295,2.8446,3.5432,2.0158,0.1937,0.765,,,
20,201,99,paraboloid,1042,baseline,1.5579,3.2787,0.00044,0.000163,1.173,2.0026,2.7531,1.822,0.185,0.72,,,
20,201,99,paraboloid,1042,K(Phat),1.4947,3.1906,0.00033,0.0001,1.1794,2.0548,2.814,1.8429,0.2072,0.72,,,
20,201,99,paraboloid,2042,baseline,0.8384,2.0063,0.000408,0.000156,0.6619,1.6016,2.0892,1.9556,0.2245,0.785,,,
20,201,99,paraboloid,2042,K(Phat),0.924,1.6787,0.000397,0.000164,0.6363,1.672,2.1934,1.9203,0.2174,0.785,,,
20,201,99,paraboloid,3042,baseline,0.757,1.1851,0.000201,0.000105,0.7087,1.5498,2.4499,2.4998,0.2947,0.745,,,
20,201,99,paraboloid,3042,K(Phat),0.7911,1.2653,0.000421,0.000117,0.722,1.4769,2.3873,2.4839,0.2973,0.745,,,
20,201,99,paraboloid,4042,baseline,1.2875,2.0539,0.000377,0.000349,1.1072,2.1556,2.5051,1.9417,0.207,0.76,,,
20,201,99,paraboloid,4042,K(Phat),1.1728,1.7114,0.000268,0.000287,1.104,2.1812,2.4523,1.7221,0.1646,0.76,,,
20,201,99,paraboloid,5042,baseline,1.138,2.3864,0.000159,0.000133,1.2025,2.293,2.8038,1.937,0.2171,0.765,,,
20,201,99,paraboloid,5042,K(Phat),1.1002,2.3124,0.000194,0.000119,1.2109,2.2884,2.7636,1.9348,0.2231,0.765,,,
20,201,99,paraboloid,6042,baseline,1.4572,1.6103,0.000123,4e-05,0.6018,1.3587,1.8429,2.1231,0.2397,0.73,,,
20,201,99,paraboloid,6042,K(Phat),1.2864,1.8691,0.000189,4.2e-05,0.6069,1.3426,1.8756,2.0858,0.236,0.73,,,
20,201,99,paraboloid,7042,baseline,0.6717,1.3781,0.000629,0.000302,1.2561,2.5459,3.214,2.4943,0.206,0.765,,,
20,201,99,paraboloid,7042,K(Phat),0.5496,2.1913,0.000557,0.000266,1.2224,2.4039,2.9614,2.3099,0.2089,0.765,,,
20,201,99,paraboloid,8042,baseline,1.137,1.7478,0.000233,0.000451,0.7837,1.6406,2.1629,1.9975,0.1444,0.795,,,
20,201,99,paraboloid,8042,K(Phat),0.9274,1.6836,0.000261,0.000283,0.8326,1.7349,2.2596,1.9074,0.1473,0.795,,,
20,201,99,paraboloid,9042,baseline,1.1299,1.1609,0.000146,0.000155,1.6495,2.7626,3.4191,2.1408,0.2582,0.76,,,
20,201,99,paraboloid,9042,K(Phat),0.8056,1.5603,7.5e-05,0.000127,1.6874,2.7019,3.2225,2.0656,0.2378,0.76,,,
20,201,99,hyperbolic_paraboloid,42,baseline,1.8318,6.5707,0.001138,0.000261,1.3014,2.5595,3.1174,2.042,0.209,0.765,,,
20,201,99,hyperbolic_paraboloid,42,K(Phat),1.6648,4.4967,0.000342,0.000198,1.2467,2.5963,3.1668,2.2434,0.2214,0.765,,,
20,201,99,hyperbolic_paraboloid,1042,baseline,0.7785,1.3207,0.000374,7.3e-05,1.3107,2.1455,2.7058,1.4294,0.1266,0.72,,,
20,201,99,hyperbolic_paraboloid,1042,K(Phat),0.7613,1.893,0.000287,6.5e-05,1.1641,1.9681,2.51,1.3908,0.1576,0.72,,,
20,201,99,hyperbolic_paraboloid,2042,baseline,0.7813,1.8509,0.000335,6.9e-05,0.6281,1.4136,1.6938,1.4908,0.1334,0.785,,,
20,201,99,hyperbolic_paraboloid,2042,K(Phat),0.7563,1.9691,0.000303,8e-05,0.5581,1.482,1.8015,1.4961,0.1536,0.785,,,
20,201,99,hyperbolic_paraboloid,3042,baseline,0.4835,0.9571,0.00035,0.000148,1.4447,2.6739,3.12,1.8594,0.1386,0.745,,,
20,201,99,hyperbolic_paraboloid,3042,K(Phat),0.5612,1.2838,0.00029,0.000185,1.7041,2.8588,3.2783,1.9776,0.2683,0.745,,,
20,201,99,hyperbolic_paraboloid,4042,baseline,0.5719,0.9224,0.000223,3.6e-05,1.1643,2.1689,2.4129,1.712,0.157,0.76,,,
20,201,99,hyperbolic_paraboloid,4042,K(Phat),0.5768,0.6634,0.000254,2.6e-05,1.1919,2.2,2.4381,1.8403,0.1835,0.76,,,
20,201,99,hyperbolic_paraboloid,5042,baseline,0.8647,2.2581,0.000283,9.5e-05,1.1981,2.2814,2.8247,1.584,0.1294,0.765,,,
20,201,99,hyperbolic_paraboloid,5042,K(Phat),0.8527,2.1022,0.00022,7.8e-05,1.1919,2.3002,2.8994,1.6959,0.1607,0.765,,,
20,201,99,hyperbolic_paraboloid,6042,baseline,0.8681,0.9287,0.000302,3.6e-05,1.1959,2.3832,2.6939,1.4651,0.1494,0.73,,,
20,201,99,hyperbolic_paraboloid,6042,K(Phat),0.8166,0.9735,0.000245,3.8e-05,1.2546,2.432,2.7614,1.5117,0.1639,0.73,,,
20,201,99,hyperbolic_paraboloid,7042,baseline,0.888,4.8932,0.001039,0.000399,1.1455,2.312,2.4811,1.8217,0.1885,0.765,,,
20,201,99,hyperbolic_paraboloid,7042,K(Phat),0.6198,1.4583,0.00075,0.000196,1.0739,2.2092,2.432,1.4745,0.1451,0.765,,,
20,201,99,hyperbolic_paraboloid,8042,baseline,0.9503,2.1491,0.00012,0.000148,1.118,1.82,2.1915,1.3968,0.203,0.795,,,
20,201,99,hyperbolic_paraboloid,8042,K(Phat),0.8162,1.8233,7.6e-05,0.000135,1.0581,1.865,2.2686,1.4187,0.1914,0.795,,,
20,201,99,hyperbolic_paraboloid,9042,baseline,0.8677,1.8108,6.4e-05,8.6e-05,1.5487,2.4856,2.9125,1.5694,0.1506,0.76,,,
