surface,ae_reg,lambda_K,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
sinusoidal,T+F,0.0,7.372681007143997e-05,0.0003175439790264511,0.0015857334489867622,0.2904766082763672,0.7326773767885955,1.1428993574154922,1.3048233418547375,0.1782199889421463,0.7649999856948853
sinusoidal,T+F,0.01,7.372681007143997e-05,0.0003175439790264511,0.0011435089395418468,0.2900395965576172,0.731011266293733,1.1391083960439645,1.303304642584451,0.17703579366207123,0.7649999856948853
sinusoidal,T+F,0.1,7.372681007143997e-05,0.0003175439790264511,0.001352274884647202,0.2904912757873535,0.7329916746720023,1.1392602858200571,1.3071711345249755,0.17586904764175415,0.7649999856948853
sinusoidal,T+F,1.0,7.372681007143997e-05,0.0003175439790264511,0.002431129898122024,0.29009963989257814,0.7334589750870414,1.1363955229715583,1.3093651679368168,0.1765688806772232,0.7649999856948853
