surface,config,seed,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
paraboloid,T+F,42,0.008697204291820526,0.8662412261962891,2.2203253041143003,3.2884088653364993,2.120077434823133,1.5141387051661332,2.499998332668161,0.31780263781547546,0.7649999856948853,0.23999999463558197,0.08791765570640564,0.020658355206251144
paraboloid,T+F+S,42,0.008697204291820526,0.8702628326416015,2.062253205672554,2.849173552070568,1.7074839765403946,1.2998983737584595,2.0827780412935377,0.2605167031288147,0.7649999856948853,0.23999999463558197,0.2721600830554962,0.5069698095321655
paraboloid,T+F,1042,0.011286805383861065,0.8074686635079695,1.6542578125,2.319011688232422,1.2977259352283055,0.7573913406003298,1.4982129775185278,0.23648394644260406,0.7199999690055847,0.26499998569488525,0.11653192341327667,0.015384024940431118
paraboloid,T+F+S,1042,0.011286805383861065,0.8093131367285648,1.6052335030691964,2.085359149509006,1.1645057884902013,0.6739526243464898,1.0692867101422345,0.18199074268341064,0.7199999690055847,0.26499998569488525,0.17881551384925842,0.18360592424869537
paraboloid,T+F,2042,0.009301172569394112,0.742969915495446,1.843580308851305,2.458037941319168,1.5507405344161795,1.1821852545491371,2.30059751559968,0.1478690207004547,0.7849999666213989,0.23499999940395355,0.09155279397964478,0.06774318218231201
paraboloid,T+F+S,2042,0.009301172569394112,0.7382094033399419,1.7316141652536916,2.2224056948522093,1.3475496387894497,0.8826090607037014,1.7137517882017548,0.13174141943454742,0.7849999666213989,0.23499999940395355,0.18488316237926483,0.4769343137741089
paraboloid,T+F,3042,0.009119627997279167,1.0442330169677734,2.190918134606403,2.8704330137111995,1.6481332569595708,1.382124659251587,2.2457584860374484,0.22638380527496338,0.7450000047683716,0.23999999463558197,0.08901441097259521,0.04025117680430412
paraboloid,T+F+S,3042,0.009119627997279167,1.0359840393066406,2.022097380264946,2.457699769295302,1.1899728311283952,1.0613800417694854,1.5560201125993924,0.17665357887744904,0.7450000047683716,0.23999999463558197,0.20606887340545654,0.4638136625289917
paraboloid,T+F,4042,0.011931064538657665,0.9869035339355469,2.0825171837439904,2.481958088121916,1.1041311341358053,0.9515024849551016,1.9725681403755466,0.17889061570167542,0.7599999904632568,0.29999998211860657,0.09521027654409409,0.03605450689792633
paraboloid,T+F+S,4042,0.011931064538657665,0.9810128021240234,2.0222325587010648,2.2562731692665503,0.8272591209236764,0.7177596661870733,1.6229483373494087,0.08791638910770416,0.7599999904632568,0.29999998211860657,0.1695205569267273,0.3247108459472656
