surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,W2@1.0,gt_w0_escape,lr_w0_escape,w0_escape_err,pairwise_mfpt_err,gt_mfpt_01,gt_mfpt_02,gt_mfpt_10,gt_mfpt_12,gt_mfpt_20,gt_mfpt_21,lr_mfpt_01,lr_mfpt_02,lr_mfpt_10,lr_mfpt_12,lr_mfpt_20,lr_mfpt_21,its_t2_err,gt_t2,lr_t2,stat_l1_err,gt_stat_0,gt_stat_1,gt_stat_2,lr_stat_0,lr_stat_1,lr_stat_2,exit_frac
paraboloid,baseline,42,2.2943687639129697e-06,0.041015032678842545,0.004776615649461746,1.0370244979858398,0.056936384757516716,20.040483284883724,21.274098639455786,0.06155616793446108,0.04230879495780906,18.924734115600586,18.169296264648438,3.5656089782714844,2.780275583267212,1.4037837982177734,0.9848977327346802,19.46208381652832,19.57627296447754,3.446237325668335,2.5367462635040283,1.370876669883728,0.9883542656898499,0.01798011466952274,65.71618245717235,64.53459796094911,0.0993659496307373,0.8403120636940002,0.11631482094526291,0.04337313398718834,0.8899950385093689,0.07727434486150742,0.03273063898086548,0.079
paraboloid,T,42,4.4002866781367667e-07,0.0002804709947668016,1.2263857570360415e-05,0.8870020508766174,0.04630673678700005,20.040483284883724,19.33516803840878,0.03519452282904537,0.045931287897639735,18.924734115600586,18.169296264648438,3.5656089782714844,2.780275583267212,1.4037837982177734,0.9848977327346802,16.97991180419922,17.560626983642578,3.402648687362671,2.659217357635498,1.3786754608154297,1.0166019201278687,0.12683960846530803,65.71618245717235,57.38076760446987,0.030576474964618683,0.8403120636940002,0.11631482094526291,0.04337313398718834,0.8250238299369812,0.12567387521266937,0.049302320927381516,0.0295
paraboloid,T+F,42,1.4864004941643285e-07,0.00440068356692791,0.00027033695369027555,1.2463014125823975,0.05107891287302486,20.040483284883724,20.082626188734455,0.0021028886006216785,0.06503576704218138,18.924734115600586,18.169296264648438,3.5656089782714844,2.780275583267212,1.4037837982177734,0.9848977327346802,18.05265235900879,17.893733978271484,3.819798231124878,3.122511386871338,1.2761558294296265,0.9418910145759583,0.1862697404810532,65.71618245717235,77.95711870887538,0.03213194012641907,0.8403120636940002,0.11631482094526291,0.04337313398718834,0.8282662630081177,0.13238078355789185,0.03935295715928078,0.0635
paraboloid,baseline,1042,2.9353578968798343e-06,0.05076545476913452,0.0041472106240689754,1.0157032012939453,0.06617099919015428,20.013090096798216,17.380870835768555,0.13152487938135926,0.15289752014677135,18.87572479248047,17.72051239013672,3.2831761837005615,2.7695066928863525,1.302673101425171,0.9857653379440308,15.176072120666504,14.99606990814209,3.099630355834961,2.36777400970459,1.5457592010498047,1.1632752418518066,0.2211025383709727,73.98790372215996,57.62899040044325,0.12694038450717926,0.842616081237793,0.11544220894575119,0.04194168746471405,0.7791458964347839,0.14445017278194427,0.07640392333269119,0.021
paraboloid,T,1042,1.2935342241671696e-06,0.0005656955763697624,2.6029341825051233e-05,0.9007605910301208,0.0451209138594694,20.013090096798216,19.797566807313643,0.01076911603566172,0.061948092676739584,18.87572479248047,17.72051239013672,3.2831761837005615,2.7695066928863525,1.302673101425171,0.9857653379440308,17.265552520751953,17.994247436523438,3.2713935375213623,2.451000690460205,1.4211310148239136,1.0463006496429443,0.25364835730079754,73.98790372215996,55.22099348290452,0.02334841713309288,0.842616081237793,0.11544220894575119,0.04194168746471405,0.8485181927680969,0.10376802086830139,0.04771380499005318,0.028
paraboloid,T+F,1042,1.2059609250186373e-07,0.004322702530771494,0.00022194263874553144,1.1997370719909668,0.056401160108271814,20.013090096798216,21.46915625,0.07275568870969773,0.045967051946357085,18.87572479248047,17.72051239013672,3.2831761837005615,2.7695066928863525,1.302673101425171,0.9857653379440308,19.628795623779297,20.394357681274414,3.4346799850463867,2.8261191844940186,1.2851958274841309,0.9907068610191345,0.012581833845684377,73.98790372215996,74.91880723338267,0.06462115794420242,0.842616081237793,0.11544220894575119,0.04194168746471405,0.8749266862869263,0.09197469055652618,0.033098652958869934,0.023
paraboloid,baseline,2042,3.852362255681658e-06,0.04988757520914078,0.004120281897485256,1.036113977432251,0.043407167094067424,20.55067758749069,20.93450479233227,0.018677107030048393,0.08331350038576647,18.592330932617188,18.488624572753906,3.5473251342773438,2.7439332008361816,1.3062660694122314,0.9867983460426331,19.118959426879883,19.28065299987793,3.2676548957824707,2.5373923778533936,1.4615478515625,1.1404736042022705,0.023897222622168597,68.82994602493395,67.18510148170425,0.046606678515672684,0.8453883528709412,0.11326214671134949,0.04134947434067726,0.8683326840400696,0.08995881676673889,0.04170849174261093,0.02
paraboloid,T,2042,1.249709357716032e-06,0.0005534813972190022,1.4279261449701153e-05,0.9212207198143005,0.0521005509210112,20.55067758749069,18.073854166666667,0.12052271319421985,0.07921147139091424,18.592330932617188,18.488624572753906,3.5473251342773438,2.7439332008361816,1.3062660694122314,0.9867983460426331,16.571989059448242,15.602474212646484,3.378213882446289,2.683366537094116,1.4109952449798584,1.0465776920318604,0.1467495792764946,68.82994602493395,58.72918040415106,0.13177840411663055,0.8453883528709412,0.11326214671134949,0.04134947434067726,0.7794991731643677,0.15814530849456787,0.062355536967515945,0.057
paraboloid,T+F,2042,1.2200541110287667e-07,0.003639443777501583,0.0002233005507150665,1.187062382698059,0.16473280712337865,20.55067758749069,11.680652059134108,0.43161718101965724,0.22895498751265886,18.592330932617188,18.488624572753906,3.5473251342773438,2.7439332008361816,1.3062660694122314,0.9867983460426331,10.293595314025879,9.853580474853516,3.909466505050659,2.8362977504730225,1.6225249767303467,1.0681815147399902,0.6544296581808952,68.82994602493395,23.785587975226957,0.4064244329929352,0.8453883528709412,0.11326214671134949,0.04134947434067726,0.6421761512756348,0.25895652174949646,0.09886734187602997,0.039
paraboloid,baseline,3042,6.02278663818516e-06,0.06296668201684952,0.004728403873741627,1.0497905015945435,0.05630621644081643,20.42622246696035,19.83346238130022,0.02901956475892338,0.07289704497545162,18.625883102416992,18.651227951049805,3.506350040435791,2.7712461948394775,1.337001085281372,0.9975137114524841,17.870790481567383,17.77122688293457,3.335745096206665,2.5700838565826416,1.4775334596633911,1.1205122470855713,0.4506138604779635,66.43527928591695,36.49862161495823,0.04675953462719917,0.8426864147186279,0.11494092643260956,0.04237266629934311,0.8652668595314026,0.09156116843223572,0.043171998113393784,0.058
