surface,D,N,seed,ae_condition,drift_method,E_mu,E_Sigma,rcMTE@0.1,rcMTE@0.5,rcMTE@1.0,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,11,20,42,baseline,enc-pull,1.9106613397598267,3.16347599029541,0.4958387315273285,0.7057116031646729,0.8312171101570129,0.9662123512319042,1.2980087395001174,1.3915357317243304,0.8497288206226168,0.3760446774169399,0.40064224534862614,0.4931770848642631,0.7124176865389739,0.23890429735183716,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,baseline,dec-side,1.9106613397598267,3.16347599029541,0.5609278082847595,0.961972713470459,1.1612844467163086,1.037628377731765,1.7264678496167176,2.064610508510045,1.264599374112904,0.5796248226905166,0.7822399824352962,1.0110687128158427,1.4762998882265495,0.2673858106136322,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,T+F,enc-pull,0.8797991871833801,0.7425588369369507,0.1891855001449585,0.3872741758823395,0.5663997530937195,0.44709193308263157,0.7238435673534422,0.8698485783168248,0.6448789852463797,0.2710316157960639,0.30039556318963323,0.5664826114846102,0.7156108598587256,0.26586005091667175,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,T+F,dec-side,0.8797991871833801,0.7425588369369507,0.18925662338733673,0.4259757399559021,0.7851270437240601,0.4555119979620511,0.9584604134236959,1.4011156354631698,1.2441151173404932,0.2836222117787234,0.34051417546580137,0.7045507040450142,1.1039484061957938,0.42084959149360657,0.2800000011920929,0.04200000315904617
paraboloid,11,20,1042,baseline,enc-pull,4.32138729095459,4.855674743652344,0.5039501786231995,0.635352611541748,0.6536939740180969,0.8923939320451698,1.2856558760745818,1.2848631583604238,1.0190192724357041,0.34995559527817954,0.39574724243888015,0.486724460653404,0.5648880568909346,0.3570738434791565,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,baseline,dec-side,4.32138729095459,4.855674743652344,0.5559919476509094,0.912945032119751,0.8516049385070801,0.9581464669752228,1.7379620066362687,1.9618255820050337,1.3379659290749097,0.5191463437965843,0.7494687091128122,1.0713044645319891,1.190297011135728,0.23606088757514954,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,T+F,enc-pull,0.3883237838745117,0.5206108093261719,0.5538145303726196,0.8895233869552612,0.9777686595916748,0.9287680305192093,1.5610140548762779,1.6282856576394715,0.7026574949511025,0.48727258263262596,0.7012880518574547,0.8764957691639739,0.8892118742318244,0.19430987536907196,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,T+F,dec-side,0.3883237838745117,0.5206108093261719,0.572573184967041,1.068724274635315,1.251105785369873,0.9604808238142052,1.8963383671076324,2.2844533216233223,1.6513748510632096,0.5780745403323134,0.9023248155493606,1.3873706492569433,1.609988733236726,0.36532068252563477,0.2980000078678131,0.06200000271201134
paraboloid,11,20,2042,baseline,enc-pull,1.8714717626571655,2.375119686126709,0.7256484031677246,1.161817193031311,0.9490317106246948,1.2564789621453536,1.7566313970656622,1.617064282410127,0.657382052184822,0.5581136489563052,0.639896964409052,0.7380216930326722,0.39463827991625816,0.14336024224758148,0.26600000262260437,0.04800000041723251
paraboloid,11,20,2042,baseline,dec-side,1.8714717626571655,2.375119686126709,0.8037003874778748,1.6508033275604248,1.9103634357452393,1.3914216694078947,2.530247279575893,2.7770619786771618,2.046719524874441,0.9337906158216559,1.3370966898891767,2.0578001373629573,2.705977348031002,0.38582390546798706,0.26600000262260437,0.04800000041723251
