surface,condition,seed,recon_per_dim,E_mu,E_Sigma,sigma_min_p5,W2@1.0,pairwise_mfpt_err,gt_mfpt_01,gt_mfpt_02,gt_mfpt_10,gt_mfpt_12,gt_mfpt_20,gt_mfpt_21,lr_mfpt_01,lr_mfpt_02,lr_mfpt_10,lr_mfpt_12,lr_mfpt_20,lr_mfpt_21,its_t2_err,gt_t2,lr_t2,stat_l1_err,gt_stat_0,gt_stat_1,gt_stat_2,lr_stat_0,lr_stat_1,lr_stat_2,exit_frac
paraboloid,baseline,42,4.5370956782293925e-06,0.006796666886657476,0.0005279319593682885,1.1147979497909546,0.04853932230394985,0.14385469418158875,9.996721267700195,9.024639129638672,3.3044557571411133,2.5072107315063477,1.3492474555969238,0.9628243446350098,9.560018539428711,9.316089630126953,2.361496686935425,1.8133233785629272,1.4650882482528687,1.0968265533447266,0.5287468041106929,78.05711745648628,36.784666063276184,0.07230828702449799,0.8825652599334717,0.08419602364301682,0.03323870897293091,0.9170541763305664,0.048041876405477524,0.034903932362794876,0.005
paraboloid,T,42,1.3684836879044517e-06,4.168645682511851e-05,2.402978680038359e-06,0.9940415024757385,0.0395000028187715,0.139420942779789,9.996721267700195,9.024639129638672,3.3044557571411133,2.5072107315063477,1.3492474555969238,0.9628243446350098,9.47659683227539,9.21611499786377,2.660585880279541,1.8123921155929565,1.5184135437011719,1.1225799322128296,0.4084802144463077,78.05711745648628,46.172329378800136,0.07340148091316223,0.8825652599334717,0.08419602364301682,0.03323870897293091,0.9186298847198486,0.047495294362306595,0.033874839544296265,0.0155
paraboloid,T+F,42,3.852084711814479e-08,7.360271411016583e-05,2.758895334409317e-06,1.1945719718933105,0.0432177124781551,0.10147311015764737,9.996721267700195,9.024639129638672,3.3044557571411133,2.5072107315063477,1.3492474555969238,0.9628243446350098,9.28419303894043,9.356003761291504,2.8055455684661865,1.9865052700042725,1.3934540748596191,1.0681732892990112,0.4738210589015378,78.05711745648628,41.07201140845224,0.04870250076055527,0.8825652599334717,0.08419602364301682,0.03323870897293091,0.9033368825912476,0.059844788163900375,0.03681835159659386,0.015
paraboloid,baseline,1042,4.077359335497022e-06,0.008469512686133385,0.0004078042693436146,1.1607398986816406,0.04225204968982551,0.08770275009981295,9.132862091064453,9.251504898071289,2.9698667526245117,2.4027230739593506,1.2220666408538818,0.9721304774284363,9.555510520935059,8.994424819946289,3.577993392944336,2.7912771701812744,1.246232509613037,0.90807044506073,0.1689834684794851,75.30825742074364,88.03410796484683,0.017958156764507294,0.886082112789154,0.08187396824359894,0.03204389289021492,0.8818257451057434,0.09085306525230408,0.02732120081782341,0.006
paraboloid,T,1042,9.617555075568485e-07,5.542375583900139e-05,2.5475446818745695e-06,0.9927508234977722,0.056432297734035936,0.07017985455332974,9.132862091064453,9.251504898071289,2.9698667526245117,2.4027230739593506,1.2220666408538818,0.9721304774284363,9.879473686218262,9.45443344116211,3.171677350997925,2.6812562942504883,1.1650904417037964,0.8876572847366333,0.07216635792596957,75.30825742074364,69.8735347609372,0.012524403631687164,0.886082112789154,0.08187396824359894,0.03204389289021492,0.888042151927948,0.08617613464593887,0.025781694799661636,0.02
paraboloid,T+F,1042,1.0128093725308479e-07,9.866277105174959e-05,4.40646726929117e-06,1.1984797716140747,0.04141244805928893,0.0553527664116632,9.132862091064453,9.251504898071289,2.9698667526245117,2.4027230739593506,1.2220666408538818,0.9721304774284363,9.060341835021973,9.043853759765625,3.1815922260284424,2.639249563217163,1.173383355140686,0.8825371861457825,0.0308607909692493,75.30825742074364,72.98418503022366,0.06267300248146057,0.886082112789154,0.08187396824359894,0.03204389289021492,0.854745626449585,0.11098621040582657,0.03426817059516907,0.0095
paraboloid,baseline,2042,6.799997539598156e-06,0.01194877177476883,0.0005689057288691401,1.0896669626235962,0.03942008721965663,0.08204616288270214,9.50062084197998,8.777570724487305,3.338029146194458,2.466219425201416,1.2060668468475342,0.9688190817832947,9.379648208618164,9.696771621704102,2.949889659881592,2.2092480659484863,1.2762211561203003,1.062000036239624,0.07574991585789255,68.0750739569666,73.23175508122664,0.02513359859585762,0.8832424283027649,0.08475496619939804,0.032002635300159454,0.8930310010910034,0.07218815386295319,0.034780848771333694,0.005
paraboloid,T,2042,1.8765265188201077e-06,6.478358409367502e-05,3.3580449780856725e-06,1.100951075553894,0.05373837578186959,0.03778148640099076,9.50062084197998,8.777570724487305,3.338029146194458,2.466219425201416,1.2060668468475342,0.9688190817832947,9.21090316772461,9.142358779907227,3.1489362716674805,2.368407726287842,1.2417123317718506,0.9966933727264404,0.11967911136054563,68.0750739569666,59.92790959999342,0.017308000475168228,0.8832424283027649,0.08475496619939804,0.032002635300159454,0.8918964266777039,0.0761721283197403,0.031931471079587936,0.0105
paraboloid,T+F,2042,4.480833385142349e-08,0.00010327875497750938,4.449191692401655e-06,1.2119989395141602,0.06187821611080126,0.05473143227882313,9.50062084197998,8.777570724487305,3.338029146194458,2.466219425201416,1.2060668468475342,0.9688190817832947,9.601937294006348,9.453439712524414,3.054386615753174,2.377772569656372,1.3004629611968994,1.0091420412063599,0.01344476997359197,68.0750739569666,68.99032766725328,0.008969392627477646,0.8832424283027649,0.08475496619939804,0.032002635300159454,0.8787577152252197,0.08535222709178925,0.03589005395770073,0.0185
paraboloid,baseline,3042,1.9625433858230035e-06,0.002068058354780078,8.975445234682411e-05,1.1372135877609253,0.03180445700186869,0.23907758874315935,9.63394546508789,9.079757690429688,3.2728424072265625,2.4198837280273438,1.2531707286834717,0.9658156633377075,9.139778137207031,9.513833045959473,2.2212586402893066,1.4579355716705322,1.644575834274292,1.2596246004104614,0.48498985266544287,63.68921803247403,32.80059356252718,0.09147951006889343,0.8892464637756348,0.07953422516584396,0.03121931478381157,0.9294257760047913,0.03379447013139725,0.03677976131439209,0.011
paraboloid,T,3042,1.0122466846951284e-06,3.44472864526324e-05,2.3676502678426914e-06,1.0408563613891602,0.03553237116109183,0.21655501288690862,9.63394546508789,9.079757690429688,3.2728424072265625,2.4198837280273438,1.2531707286834717,0.9658156633377075,9.342631340026855,9.147250175476074,2.3036696910858154,1.6766773462295532,1.66071617603302,1.287622094154358,0.36533734590224465,63.68921803247403,40.42116815390059,0.07209473848342896,0.8892464637756348,0.07953422516584396,0.03121931478381157,0.9145699739456177,0.043486859649419785,0.04194317385554314,0.01
paraboloid,T+F,3042,4.403959895750053e-08,4.770150189870037e-05,2.9372504286584444e-06,1.2612274885177612,0.04561919110042176,0.19855947034182944,9.63394546508789,9.079757690429688,3.2728424072265625,2.4198837280273438,1.2531707286834717,0.9658156633377075,9.023309707641602,9.550905227661133,2.363823413848877,1.8011500835418701,1.5690773725509644,1.2464468479156494,0.3920072632552381,63.68921803247403,38.722581972697725,0.08488363027572632,0.8892464637756348,0.07953422516584396,0.03121931478381157,0.9305530786514282,0.03709240257740021,0.03235451132059097,0.011
paraboloid,baseline,4042,3.6343414897353132e-06,0.004221722483634949,0.0003782929270528257,1.0686357021331787,0.04072409428314702,0.05469860948794613,9.83237075805664,9.93442440032959,3.4461257457733154,2.506392240524292,1.3390980958938599,0.9641360640525818,9.595328330993652,9.205777168273926,3.2019364833831787,2.616114377975464,1.249819278717041,0.9164780974388123,0.25454578758477453,64.06001527205908,80.36622231217804,0.01888016052544117,0.8917169570922852,0.07729548960924149,0.03098757565021515,0.884149968624115,0.0867355614900589,0.02911447547376156,0.0105
