N,D,K_pairs,surface,condition,seed,ae_loss,drift_loss,diff_loss,recon_per_dim,phase1_converged,E_mu,E_Sigma,rcMTE@0.1,rcMTE@0.5,rcMTE@1.0,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
20,11,4,paraboloid,baseline,42,0.018492702394723892,0.0744728296995163,0.016858186572790146,0.005979393016208302,True,0.8651995658874512,1.196821928024292,0.1970387101173401,0.3953172266483307,0.5724243521690369,0.4734633006072522,0.7783196241335761,0.9278170994349888,0.7079362059213332,0.27586168468272654,0.29516679505918897,0.5699475589731337,0.7376998761367741,0.28350454568862915,0.2800000011920929,0.04200000315904617
20,11,4,paraboloid,K,42,0.020448055118322372,0.06703604757785797,0.012596169486641884,0.005979393016208302,True,0.5032092928886414,0.574068009853363,0.1999421864748001,0.3625689446926117,0.522476315498352,0.4572302599526726,0.7449678119860197,0.87691285269601,0.6660927442210249,0.27537117539808276,0.27977778944628645,0.5543347884180263,0.6688563144791455,0.2843872606754303,0.2800000011920929,0.04200000315904617
20,11,4,paraboloid,K+S,42,0.020448055118322372,0.06703604757785797,0.012596169486641884,0.005979393016208302,True,0.5032092928886414,0.574068009853363,0.1999421864748001,0.3625689446926117,0.522476315498352,0.4572302599526726,0.7449678119860197,0.87691285269601,0.6660927442210249,0.27537117539808276,0.27977778944628645,0.5543347884180263,0.6688563144791455,0.2843872606754303,0.2800000011920929,0.04200000315904617
20,11,4,paraboloid,baseline,1042,0.0096893897280097,0.03555870056152344,0.012910407967865467,0.001304254105145281,True,0.3937823176383972,0.4742778539657593,0.5511743426322937,0.9063082337379456,0.9992185831069946,0.9299373499269209,1.584185518739835,1.6738762567507341,0.7594525501093401,0.4598683571727484,0.6862669114301951,0.8997511628105448,0.9471275865853014,0.2070174366235733,0.2980000078678131,0.06200000271201134
20,11,4,paraboloid,K,1042,0.00609094463288784,0.03169531375169754,0.011410677805542946,0.001304254105145281,True,0.2116180807352066,0.30735957622528076,0.5556754469871521,0.9325835108757019,1.0585800409317017,0.9386368987289463,1.6485808985827137,1.784906374528104,0.9702697386468196,0.4947709340042935,0.7486310203435841,1.0290375096797164,1.175328785878785,0.2571546137332916,0.2980000078678131,0.06200000271201134
20,11,4,paraboloid,K+S,1042,0.00609094463288784,0.03169531375169754,0.011410677805542946,0.001304254105145281,True,0.2116180807352066,0.30735957622528076,0.5556754469871521,0.9325835108757019,1.0585800409317017,0.9386368987289463,1.6485808985827137,1.784906374528104,0.9702697386468196,0.4947709340042935,0.7486310203435841,1.0290375096797164,1.175328785878785,0.2571546137332916,0.2980000078678131,0.06200000271201134
20,11,4,paraboloid,baseline,2042,0.00505155511200428,0.02644016034901142,0.010305431671440601,0.0011636363342404366,True,0.17850983142852783,0.18563446402549744,0.7942730784416199,1.4398444890975952,1.3259955644607544,1.3496012102093613,2.238280765593998,2.0940698609316257,1.3013357692699483,0.8766671576845687,1.214083580870994,1.645871515164046,1.626306913036284,0.3241316080093384,0.26600000262260437,0.04800000041723251
20,11,4,paraboloid,K,2042,0.004225222859531641,0.021925032138824463,0.00981629453599453,0.0011636363342404366,True,0.10175817459821701,0.08847840130329132,0.7888922095298767,1.4541783332824707,1.3855228424072266,1.3534860443650631,2.2881857251364086,2.2009405838815788,1.4559333095745683,0.8714956248853187,1.2280503006894958,1.7726885241786912,1.8366974333285098,0.361187219619751,0.26600000262260437,0.04800000041723251
20,11,4,paraboloid,K+S,2042,0.004225222859531641,0.021925032138824463,0.00981629453599453,0.0011636363342404366,True,0.10175817459821701,0.08847840130329132,0.7888922095298767,1.4541783332824707,1.3855228424072266,1.3534860443650631,2.2881857251364086,2.2009405838815788,1.4559333095745683,0.8714956248853187,1.2280503006894958,1.7726885241786912,1.8366974333285098,0.361187219619751,0.26600000262260437,0.04800000041723251
20,11,4,paraboloid,baseline,3042,0.020200150087475777,0.03618301823735237,0.046448130160570145,0.00120466160164638,True,0.14762812852859497,0.17917579412460327,0.4445342421531677,0.6823089122772217,0.8774851560592651,0.8419102163378257,1.2738665680387127,1.4723876504337086,1.0604115216806238,0.5077465303692721,0.5880019133720685,0.9927871997413377,1.5200718735341212,0.2920754551887512,0.2720000147819519,0.05000000074505806
20,11,4,paraboloid,K,3042,0.010143714025616646,0.04508480802178383,0.04310514032840729,0.00120466160164638,True,0.10588966310024261,0.21260139346122742,0.4350150525569916,0.7316808700561523,0.9876133799552917,0.8297742348816866,1.344208333029676,1.7537058661965763,1.529268599667138,0.5349476544044912,0.6354124906109015,1.2492695471474455,2.080959269977883,0.3491325378417969,0.2720000147819519,0.05000000074505806
20,11,4,paraboloid,K+S,3042,0.010143714025616646,0.04508480802178383,0.04310514032840729,0.00120466160164638,True,0.10588966310024261,0.21260139346122742,0.4350150525569916,0.7316808700561523,0.9876133799552917,0.8297742348816866,1.344208333029676,1.7537058661965763,1.529268599667138,0.5349476544044912,0.6354124906109015,1.2492695471474455,2.080959269977883,0.3491325378417969,0.2720000147819519,0.05000000074505806
20,11,4,paraboloid,baseline,4042,0.015090554021298885,0.019867539405822754,0.04683542996644974,0.0032473958351395345,True,0.38575929403305054,0.42909345030784607,0.48503634333610535,0.8487915396690369,1.276747465133667,0.8185005767226478,1.4867826519590435,1.7911254666375775,1.4724969024709682,0.39918793811992437,0.5701505461224536,1.0445812238394478,1.9936446551690796,0.29591333866119385,0.28200000524520874,0.06000000238418579
20,11,4,paraboloid,K,4042,0.017883289605379105,0.03854026272892952,0.025999784469604492,0.0032473958351395345,True,0.25998738408088684,0.4110622704029083,0.537597119808197,0.9306464195251465,1.3839277029037476,0.9196915036944143,1.6639718720407197,2.045378123614805,1.7822936618396137,0.4243915568537818,0.6558176098798839,1.1536838271296068,2.1786140843272137,0.3317694067955017,0.28200000524520874,0.06000000238418579
20,11,4,paraboloid,K+S,4042,0.017883289605379105,0.03854026272892952,0.025999784469604492,0.0032473958351395345,True,0.25998738408088684,0.4110622704029083,0.537597119808197,0.9306464195251465,1.3839277029037476,0.9196915036944143,1.6639718720407197,2.045378123614805,1.7822936618396137,0.4243915568537818,0.6558176098798839,1.1536838271296068,2.1786140843272137,0.3317694067955017,0.28200000524520874,0.06000000238418579
20,11,4,paraboloid,baseline,5042,0.005601267796009779,0.019939564168453217,0.010034468956291676,0.0028800049966031856,True,0.2846517562866211,0.24707530438899994,0.7649580836296082,1.2033321857452393,1.0680140256881714,1.277787361564217,1.8926076290792204,1.7276093239007995,0.7403072173013098,0.6261678088487498,0.8096782575037501,0.8670871720557214,0.9619447213570864,0.25493940711021423,0.2580000162124634,0.06599999964237213
