surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss,E_drift,E_b,E_Lambda
paraboloid,11,rotation,ATLAS,42,0.00979001210494475,0.16958503425121307,0.1099257543683052,0.7910395860671997,,,0.016082128509879112,0.5869405269622803,,0.1099257543683052,2.770146369934082
paraboloid,11,rotation,baseline,42,0.0005932907912541519,0.03810412809252739,0.6557208895683289,1.0919486284255981,1.438917875289917,1.5896949768066406,0.6851014569401741,0.09530504420399666,1.3362475633621216,3.9643449783325195,3.8852627277374268
paraboloid,11,rotation,T,42,0.023943050341172653,0.05364767462015152,48.20277786254883,0.95233154296875,0.25572896003723145,0.49504855275154114,0.18412552028894424,0.15380561351776123,1.5261051654815674,169.36898803710938,8.724340438842773
paraboloid,11,rotation,F,42,0.024350201541727238,0.665092408657074,8.779940605163574,36.020931243896484,1.8006902933120728,1.8892357349395752,0.006834594067186117,1.3195408880710602,0.034572236239910126,8.908560752868652,36.23183822631836
paraboloid,11,rotation,C,42,0.001369105228646235,0.05352572351694107,0.5300745368003845,1.7689718008041382,2.172650098800659,2.3790738582611084,0.28664931654930115,0.1366926208138466,2.1936206817626953,1.6956843137741089,5.812621593475342
paraboloid,11,rotation,T+F,42,0.003794547847726128,0.011523090302944183,0.07185221463441849,0.3214399814605713,1.6362606287002563,1.8152471780776978,0.06708706170320511,0.03709322400391102,0.06715835630893707,0.36628952622413635,1.3741681575775146
paraboloid,11,rotation,ATLAS,1042,0.004521838304671374,0.19744163751602173,0.13365881145000458,1.149248480796814,,,0.013927631080150604,0.5368291139602661,,0.13365881145000458,4.126818656921387
paraboloid,11,rotation,baseline,1042,0.0005317369729957798,0.03398938104510307,0.5442305207252502,0.9762353897094727,1.4425395727157593,1.5717072486877441,2.69816717505455,0.13469742983579636,1.3969745635986328,7.984153747558594,6.28309440612793
paraboloid,11,rotation,T,1042,0.00020847664299336347,0.0005751013522967696,0.02939777448773384,0.011241946369409561,1.2314335107803345,1.4643819332122803,1.295836329460144,0.056668175384402275,2.169769525527954,6.12769079208374,2.8716814517974854
paraboloid,11,rotation,F,1042,0.028903871774673462,0.701612114906311,8.967743873596191,43.019229888916016,1.9330217838287354,2.116347551345825,0.004655944416299462,1.5517632067203522,0.024063849821686745,9.118414878845215,43.323638916015625
paraboloid,11,rotation,C,1042,0.0013549291444095697,0.05504908785223961,0.7098057270050049,2.3510777950286865,2.1866540908813477,2.439253091812134,0.7164240181446075,0.1624513417482376,1.2997145652770996,2.6295807361602783,6.666746139526367
paraboloid,11,rotation,T+F,1042,0.0009212399070913142,0.008515353314578533,0.08017302304506302,0.27182507514953613,1.8452787399291992,2.0237488746643066,0.4751089597120881,0.05131086893379688,0.06067097932100296,0.4558555483818054,2.717087745666504
paraboloid,11,rotation,ATLAS,2042,0.00434729355302724,0.20010775327682495,0.10311947762966156,0.8562301397323608,,,0.01667403057217598,0.4842999577522278,,0.10311947762966156,2.5662693977355957
paraboloid,11,rotation,baseline,2042,0.000719534233212471,0.031022336333990097,0.5558670163154602,1.0562145709991455,1.3501691818237305,1.478298544883728,1.1249035596847534,0.09678028151392937,0.9788918495178223,2.1098856925964355,3.516115665435791
paraboloid,11,rotation,T,2042,0.0005910115909170021,0.0015236662002280354,0.038673143833875656,0.03863723576068878,1.138197898864746,1.4416253566741943,0.32044459879398346,0.022862478159368038,2.088233709335327,4.8168158531188965,1.4435638189315796
paraboloid,11,rotation,F,2042,0.017809877341443844,0.4925312399864197,6.251370906829834,30.23321533203125,1.8858414888381958,2.004288911819458,0.040922680869698524,1.1624889969825745,0.0532119944691658,6.73773717880249,30.63608169555664
