surface,seed,condition,E_mu,E_Sigma,drift_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,42,baseline,3.071467638015747,5.7199625968933105,3.0657267570495605,0.8302099826872216,1.236535438021323,1.2676156180245535,0.6928530841354397,0.5104691950296658,0.7300421294101395,0.8249235426238974,1.2929748850020948,0.2251887172460556,0.2800000011920929,0.04200000315904617
paraboloid,42,T+F (dec),0.11713729798793793,0.09051136672496796,0.44734129309654236,0.4268991856904232,1.0207407098067434,1.5329456874302456,1.3251780668056758,0.20873855758642293,0.3588981726874849,0.6285579004055768,1.0348863655155214,0.45214250683784485,0.2800000011920929,0.04200000315904617
paraboloid,42,T+F (enc),0.11713729798793793,0.09051136672496796,0.5973451137542725,0.42101636177181934,0.8240560660684916,0.9828602382114955,0.6173131101181286,0.16844036797758724,0.2698718819207888,0.5461691273119631,0.7450817463744331,0.3249853849411011,0.2800000011920929,0.04200000315904617
paraboloid,1042,baseline,2.7034053802490234,10.344493865966797,1.1381522417068481,0.7907672703664393,1.2138792130140568,1.4042669718697567,0.9599737631283303,0.34384069902195913,0.5494186567330064,0.6458703179504913,0.9626840762899302,0.2154117375612259,0.2980000078678131,0.06200000271201134
paraboloid,1042,T+F (dec),0.04910260811448097,0.062044717371463776,0.1513679325580597,0.8186245856678035,1.3693575380460037,1.6392483295210256,0.9504961893064349,0.4725850418797755,0.6274513007349228,0.7845871724324318,1.204055402411021,0.2981018126010895,0.2980000078678131,0.06200000271201134
paraboloid,1042,T+F (enc),0.04910260811448097,0.062044717371463776,0.5182822942733765,0.7808201711268096,1.115178331566566,1.214907652579698,0.8119319891762514,0.36764004167172,0.4523788200590183,0.33997774748603493,0.7622649529146868,0.1804775595664978,0.2980000078678131,0.06200000271201134
paraboloid,2042,baseline,0.6596967577934265,0.33781418204307556,3.2509384155273438,0.8050838269685444,1.2533925374348958,1.1511817874765038,0.6587494560121949,0.39901679184537214,0.5891615658776108,0.8681606014008932,0.38806169943272034,0.2327445149421692,0.26600000262260437,0.04800000041723251
paraboloid,2042,T+F (dec),0.05445057898759842,0.03325977176427841,0.45414090156555176,0.787001091137267,1.33108641609313,1.4403937777182214,1.0094488204110237,0.7046668496852745,0.9543228953189901,1.0873505289620573,1.1989742466252764,0.32056212425231934,0.26600000262260437,0.04800000041723251
paraboloid,2042,T+F (enc),0.05445057898759842,0.03325977176427841,0.7362107038497925,0.7537856520267955,1.1757238478887648,1.203528726907601,0.6476415546338481,0.5983996906378565,0.7570964548235032,0.5824804013645751,0.7716981758558674,0.19531279802322388,0.26600000262260437,0.04800000041723251
paraboloid,3042,baseline,0.2586650252342224,0.2100289911031723,6.451461315155029,0.9246196873700804,1.334958887811917,1.289996203254251,0.5507706746525426,0.3866185783423183,0.5624195590969452,0.4839525468368142,0.5240508155196898,0.17752063274383545,0.2720000147819519,0.05000000074505806
paraboloid,3042,T+F (dec),0.071581169962883,0.03644804656505585,0.4385438561439514,1.0514296977853035,2.049772803463153,2.5175628662109375,2.355421662801929,0.7539038630545226,1.185888074289853,1.9426222484821256,2.5648666189638547,0.4153421223163605,0.2720000147819519,0.05000000074505806
paraboloid,3042,T+F (enc),0.071581169962883,0.03644804656505585,0.4157181978225708,1.0190611033640522,1.6593868198679453,1.6918913897346048,1.2382701264004956,0.6579227217887136,0.9817614055922317,1.2939883431014416,1.1583717507449756,0.2823445796966553,0.2720000147819519,0.05000000074505806
paraboloid,4042,baseline,0.755115270614624,0.6465664505958557,2.193511724472046,1.0763341940923266,1.6346796209161931,1.6532658786638408,1.018522387282604,0.4637571792198732,0.8080314115695173,0.8429535600993108,0.9888507547808253,0.26462996006011963,0.28200000524520874,0.06000000238418579
paraboloid,4042,T+F (dec),0.08776608854532242,0.07615158706903458,0.3065893352031708,1.079818692486612,1.8441016457297585,2.2239189418495124,1.6789107004566197,0.5753439718378186,0.9462460541548255,1.2227539930505473,2.1171461609233337,0.3827017843723297,0.28200000524520874,0.06000000238418579
paraboloid,4042,T+F (enc),0.08776608854532242,0.07615158706903458,0.25285762548446655,1.0596680217089207,1.696420380563447,1.9275858994071364,1.3363931977550305,0.5150070323948495,0.8190260898149289,1.0084938639954653,1.9644114318279633,0.3161095976829529,0.28200000524520874,0.06000000238418579
paraboloid,5042,baseline,1.832313060760498,2.777921199798584,1.3138068914413452,0.9601251287774726,1.3476927359605628,1.3850958772407946,1.2281380536941944,0.6338980006564344,0.6696314859412942,0.8075215159653738,1.3739995876916713,0.5080612897872925,0.2580000162124634,0.06599999964237213
paraboloid,5042,T+F (dec),0.37211933732032776,0.6019513607025146,0.16735084354877472,0.964533208490728,1.7105069881875576,1.866573836452277,1.7802899220184174,0.7144763007235267,0.8862353146934993,1.1494303850862078,1.69532827011208,0.3770299553871155,0.2580000162124634,0.06599999964237213
paraboloid,5042,T+F (enc),0.37211933732032776,0.6019513607025146,0.11898975074291229,0.9060352367359203,1.4151485203816883,1.4097072394319283,1.2301119129135956,0.5294063926680062,0.5798863155961784,0.6287267870655506,1.282281615722118,0.3049948513507843,0.2580000162124634,0.06599999964237213
paraboloid,6042,baseline,1.9647536277770996,1.5192251205444336,1.8365117311477661,0.8187288796849188,1.1800058920552412,1.0964680839987362,0.9994624056597602,0.4854450407495332,0.5504714253631999,0.6221464918339902,0.6670836704753864,0.3388478457927704,0.2720000147819519,0.06000000238418579
paraboloid,6042,T+F (dec),0.10333014279603958,0.13985459506511688,0.5340849757194519,0.7355743273764455,1.2862133116234007,1.2693657594568588,0.8418723236800659,0.33405333025494194,0.39967088005409834,0.5002294915282838,0.7054488703453329,0.2658006548881531,0.2720000147819519,0.06000000238418579
paraboloid,6042,T+F (enc),0.10333014279603958,0.13985459506511688,0.588752269744873,0.734688040443454,1.2455821600485975,1.216696122113396,0.8337752778801358,0.30987711286238445,0.3601056077039845,0.4704346088771893,0.6304194320792236,0.248581200838089,0.2720000147819519,0.06000000238418579
paraboloid,7042,baseline,1.0530272722244263,1.1409159898757935,1.6830334663391113,0.8556165653178345,1.2825549897693453,1.3429529401991103,0.6857126817594833,0.43513291023271455,0.5559018231483149,0.5178282989394282,0.5941727538641898,0.16262368857860565,0.2880000174045563,0.058000002056360245
paraboloid,7042,T+F (dec),0.042311787605285645,0.046848759055137634,0.1441386491060257,0.8808541991111991,1.5950724283854167,1.854983647664388,1.2223929294781068,0.5733314118417581,0.8374780644497722,0.9650309326775215,1.45478436983829,0.3864399790763855,0.2880000174045563,0.058000002056360245
paraboloid,7042,T+F (enc),0.042311787605285645,0.046848759055137634,0.2289031594991684,0.8618945151173596,1.4327765943366528,1.496650801764594,0.7453267082179172,0.5255776057786267,0.7305841375945394,0.7389012416762514,1.0203793732970803,0.2746531069278717,0.2880000174045563,0.058000002056360245
paraboloid,8042,baseline,0.5231580138206482,1.0148890018463135,1.327428936958313,0.7677297592163086,1.1008878209284232,1.4555630154079862,1.1197601072659642,0.359392756013356,0.4852563490022917,0.7705940080318279,1.5369449090915153,0.2441132813692093,0.27000001072883606,0.058000002056360245
paraboloid,8042,T+F (dec),0.0922112688422203,0.04778461530804634,0.24095594882965088,0.7095821925571987,1.2486359528980808,1.554771253797743,0.9167082208376144,0.3291038356493067,0.48341962837321967,0.8366866374255253,1.586189773406795,0.3067133128643036,0.27000001072883606,0.058000002056360245
paraboloid,8042,T+F (enc),0.0922112688422203,0.04778461530804634,0.3027021586894989,0.7035707746233258,1.1144961281930756,1.3508243136935765,0.6886322906502935,0.29984096771443935,0.4264889979090099,0.6559877258760453,1.2284923212156074,0.2498440146446228,0.27000001072883606,0.058000002056360245
paraboloid,9042,baseline,0.9120296239852905,2.375515937805176,2.417351722717285,0.8630570062981828,1.2476492919921875,1.5863502448332225,1.0500249134314077,0.4231331168397833,0.4553106595581094,0.8020007711656775,1.0052032237919557,0.319326788187027,0.28200000524520874,0.04400000348687172
paraboloid,9042,T+F (dec),0.07578541338443756,0.13411450386047363,0.28810063004493713,0.7831929076610683,1.3845350341796876,2.0288655166084886,1.5908618237938503,0.445411310341689,0.5987479086239966,1.1946922705045269,1.4668507525111532,0.3780381977558136,0.28200000524520874,0.04400000348687172
paraboloid,9042,T+F (enc),0.07578541338443756,0.13411450386047363,0.2642354965209961,0.7838602612197136,1.368325439453125,1.9189457453734486,1.4561379664787895,0.43843592710476736,0.5836581653896564,1.1394483297297084,1.3188015446118073,0.3354351818561554,0.28200000524520874,0.04400000348687172
hyperbolic_paraboloid,42,baseline,0.13485290110111237,1.313427209854126,0.8403680920600891,0.6469277294813126,1.0801694482789004,1.0267376491001674,0.6071986087960218,0.30020397691083894,0.3249638288313699,0.4362521521044025,0.48111279763546466,0.22631770372390747,0.2800000011920929,0.04200000315904617
