surface,D,N,seed,ae_condition,drift_method,E_mu,E_Sigma,rcMTE@0.1,rcMTE@0.5,rcMTE@1.0,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,11,20,42,baseline,enc-pull,1.9106613397598267,3.16347599029541,0.5240764617919922,0.7769343256950378,0.7942700982093811,1.0056005533129175,1.4193218489338582,1.3665045601981027,0.9681871471073178,0.491255771003117,0.6275848944842819,0.7511037368776247,0.9263079989780476,0.3035350441932678,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,baseline,dec-side,1.9106613397598267,3.16347599029541,0.5609278082847595,0.961972713470459,1.1612844467163086,1.037628377731765,1.7264678496167176,2.064610508510045,1.264599374112904,0.5796248226905166,0.7822399824352962,1.0110687128158427,1.4762998882265495,0.2673858106136322,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,T+F,enc-pull,0.8797991871833801,0.7425588369369507,0.1935235559940338,0.42155227065086365,0.6558612585067749,0.45306498436195014,0.8197630688660127,1.071652330671038,0.782200157028722,0.27149941457344945,0.31630122738323396,0.5954613077944544,0.8637440515018533,0.30942779779434204,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,T+F,dec-side,0.8797991871833801,0.7425588369369507,0.18925662338733673,0.4259757399559021,0.7851270437240601,0.4555119979620511,0.9584604134236959,1.4011156354631698,1.2441151173404932,0.2836222117787234,0.34051417546580137,0.7045507040450142,1.1039484061957938,0.42084959149360657,0.2800000011920929,0.04200000315904617
paraboloid,11,20,1042,baseline,enc-pull,4.32138729095459,4.855674743652344,0.514512300491333,0.6233901381492615,0.6861154437065125,0.9118124233322313,1.303276884511501,1.3371790943529782,1.1121628934896297,0.39069958560352547,0.4584994409277238,0.5143550622634511,0.7310704307639257,0.3899713158607483,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,baseline,dec-side,4.32138729095459,4.855674743652344,0.5559919476509094,0.912945032119751,0.8516049385070801,0.9581464669752228,1.7379620066362687,1.9618255820050337,1.3379659290749097,0.5191463437965843,0.7494687091128122,1.0713044645319891,1.190297011135728,0.23606088757514954,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,T+F,enc-pull,0.3883237838745117,0.5206108093261719,0.5572958588600159,0.8937182426452637,0.9949129819869995,0.9359607314213878,1.5966674350894516,1.6908196570889262,0.8062251978743309,0.5055377750574558,0.7328083693054874,0.9326524494889342,1.0548855913419095,0.22243556380271912,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,T+F,dec-side,0.3883237838745117,0.5206108093261719,0.572573184967041,1.068724274635315,1.251105785369873,0.9604808238142052,1.8963383671076324,2.2844533216233223,1.6513748510632096,0.5780745403323134,0.9023248155493606,1.3873706492569433,1.609988733236726,0.36532068252563477,0.2980000078678131,0.06200000271201134
paraboloid,11,20,2042,baseline,enc-pull,1.8714717626571655,2.375119686126709,0.7364709973335266,1.2303602695465088,0.9839789271354675,1.2792041176243831,1.8689290606786335,1.6610398830327773,0.6499303998082647,0.6088116185468276,0.7634736348532059,0.894655319762599,0.5649182054684208,0.11217299103736877,0.26600000262260437,0.04800000041723251
paraboloid,11,20,2042,baseline,dec-side,1.8714717626571655,2.375119686126709,0.8037003874778748,1.6508033275604248,1.9103634357452393,1.3914216694078947,2.530247279575893,2.7770619786771618,2.046719524874441,0.9337906158216559,1.3370966898891767,2.0578001373629573,2.705977348031002,0.38582390546798706,0.26600000262260437,0.04800000041723251
paraboloid,11,20,2042,T+F,enc-pull,0.18222998082637787,0.13639113306999207,0.7969841361045837,1.4727777242660522,1.2715438604354858,1.3549020332202577,2.2744012257409474,2.119727113193139,1.303603765528801,0.8643290885632695,1.2227452411489985,1.6967216794929731,1.5334316998482123,0.32372787594795227,0.26600000262260437,0.04800000041723251
paraboloid,11,20,2042,T+F,dec-side,0.18222998082637787,0.13639113306999207,0.8219936490058899,1.6406053304672241,1.7426927089691162,1.4036000569661458,2.6185961526537698,2.732371853706532,2.144059652726561,0.9763194040033664,1.442548708008696,2.239616576735038,2.6943983932838753,0.4405529797077179,0.26600000262260437,0.04800000041723251
paraboloid,11,20,3042,baseline,enc-pull,1.7477253675460815,1.920710802078247,0.4302421510219574,0.7098590731620789,0.82878577709198,0.8533876677045801,1.2193760658378032,1.3924423666561352,0.825092461427231,0.38078311012534627,0.4280432310865609,0.6482926302045123,1.0883681460465182,0.2292325794696808,0.2720000147819519,0.05000000074505806
paraboloid,11,20,3042,baseline,dec-side,1.7477253675460815,1.920710802078247,0.4769507944583893,1.007226586341858,1.6152220964431763,0.894796637896688,1.5733308934453707,2.3781893113080192,1.7816297132065255,0.5644229871510515,0.7091839705709244,1.263140674888202,2.2105064958685325,0.35357698798179626,0.2720000147819519,0.05000000074505806
paraboloid,11,20,3042,T+F,enc-pull,0.1530991643667221,0.14784970879554749,0.4396651089191437,0.7028880715370178,0.959873378276825,0.8318800831052522,1.291272746982859,1.5494878432329964,1.1823755659412085,0.5091843996808646,0.592206304921521,1.069048311823588,1.6348527067956842,0.2983214557170868,0.2720000147819519,0.05000000074505806
paraboloid,11,20,3042,T+F,dec-side,0.1530991643667221,0.14784970879554749,0.4549369812011719,0.8354126214981079,1.2681182622909546,0.8526333218931887,1.533521282139109,2.2321932175580192,2.0624651438441766,0.59223631330298,0.7465925363550454,1.481338756602916,2.6812381637418694,0.4283972978591919,0.2720000147819519,0.05000000074505806
