surface,D,dynamics,condition,seed,recon,tangent,E_mu,E_Sigma,sigma_min_p5,sigma_min_median,stage2_loss,stage3_loss,E_drift,E_b,E_Lambda
paraboloid,11,mb,ATLAS,42,6.664150119335814e-05,0.0010281313443556428,0.4647495746612549,0.00022002130572218448,,,0.26223570108413696,1.610636718396563e-05,,0.4647495746612549,0.0007214488578028977
paraboloid,11,mb,baseline,42,5.509999027708545e-06,0.0024702982045710087,0.008616202510893345,0.0005341536598280072,1.1835366487503052,1.2286527156829834,0.0004166977263854018,1.8009460161140722e-05,0.010338522493839264,0.029325714334845543,0.0011483090929687023
paraboloid,11,mb,T,42,2.3234088902509855e-06,1.1064676982641686e-05,6.603851215913892e-05,3.495076725812396e-06,1.0762457847595215,1.1798146963119507,0.0005230319428457213,4.258290938910899e-07,0.010826503857970238,0.017411500215530396,2.1347395886550657e-05
paraboloid,11,mb,F,42,5.8563219764354557e-05,0.015314199030399323,0.04930685833096504,0.0038220735732465982,1.3688384294509888,1.476796269416809,0.0009587230160832405,0.00012148448513471521,0.013515819795429707,0.08782000839710236,0.005475872196257114
paraboloid,11,mb,C,42,0.001436521045186303,0.25853270292282104,0.7055338025093079,0.05951085686683655,9.102028846740723,10.005285263061523,0.6185702426092965,0.000917648572275149,2.1228764057159424,3.9508728981018066,0.06214875727891922
paraboloid,11,mb,T+F,42,4.4901215997842053e-08,1.4578306945622899e-05,7.785320485709235e-05,3.796018290813663e-06,1.2363646030426025,1.3025391101837158,0.000519875786267221,1.3275130023820176e-07,0.010436353273689747,0.010958801954984665,7.994505722308531e-06
paraboloid,11,mb,ATLAS,1042,7.632969539951195e-05,0.001219423720613122,0.4287761449813843,0.0002359676727792248,,,0.22166964411735535,1.5824860383872874e-05,,0.4287761449813843,0.000846933457069099
paraboloid,11,mb,baseline,1042,3.775554928738116e-06,0.001622524461708963,0.00548444502055645,0.00022695928055327386,1.168425440788269,1.222938895225525,0.00036775547570349384,1.3067264002789411e-05,0.013230955228209496,0.029810050502419472,0.0006092702969908714
paraboloid,11,mb,T,1042,6.467974923328835e-07,8.014209925022442e-06,3.942607872886583e-05,1.921819603012409e-06,1.032353162765503,1.1016836166381836,0.00025606054779408235,5.561704361818036e-07,0.009240941144526005,0.015901334583759308,3.5080145607935265e-05
paraboloid,11,mb,F,1042,5.0703423436392434e-05,0.01624772511422634,0.051480259746313095,0.0031025982461869717,1.3089264631271362,1.4550204277038574,0.0006483020926160472,0.00010815765251339014,0.012819929979741573,0.09327470511198044,0.0047981226816773415
paraboloid,11,mb,C,1042,0.002809523181481795,0.4239279627799988,1.8896740674972534,0.1985267996788025,14.156496047973633,14.238036155700684,0.7135680871350425,0.001889867425364043,3.3328826427459717,6.230210304260254,0.19964224100112915
paraboloid,11,mb,T+F,1042,3.3487832628121724e-08,1.1702313713612966e-05,6.382157152984291e-05,2.590057874840568e-06,1.1414649486541748,1.207827091217041,0.0003346833753831951,1.1818626839093277e-07,0.008299252018332481,0.009416247718036175,9.1548217824311e-06
paraboloid,11,mb,ATLAS,2042,5.613499723205512e-05,0.0011246100766584277,0.39240533113479614,0.00022547179833054543,,,0.07010024785995483,1.581400283612311e-05,,0.39240533113479614,0.0007708418997935951
paraboloid,11,mb,baseline,2042,4.008168285839599e-06,0.0019559375941753387,0.006379473954439163,0.0002652711409609765,1.1540184020996094,1.2306288480758667,0.0002537052849740056,1.7280409597982987e-05,0.009383832104504108,0.02485821396112442,0.0009708477300591767
paraboloid,11,mb,T,2042,2.722727003856562e-06,1.2212943147460464e-05,8.319508924614638e-05,3.193744760210393e-06,1.1082277297973633,1.1793725490570068,0.00024008840097979243,1.2001527076271096e-06,0.005866780411452055,0.013231132179498672,6.929748633410782e-05
paraboloid,11,mb,F,2042,4.3813586340878494e-05,0.012322772294282913,0.04178278148174286,0.002700388664379716,1.3802050352096558,1.4548277854919434,0.00045724243890228014,0.00011653740304089817,0.010207327082753181,0.06424912065267563,0.004383650608360767
