surface,reg,seed,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
sinusoidal,T+F,42,0.028264224529266357,0.03241990506649017,0.5703555941581726,0.30650074005126954,0.7218302021855894,1.1412580901501226,0.8924378360609883,0.18840254843235016,0.7649999856948853
sinusoidal,T+F+K,42,0.020615139976143837,0.024492818862199783,0.37204819917678833,0.3033530807495117,0.7906454335088315,1.2739896088643792,1.023602247673642,0.19307248294353485,0.7649999856948853
sinusoidal,T+F,1042,0.06939765810966492,0.008649257011711597,0.74126797914505,0.8238490119052293,1.4713971819196427,1.991466098361545,0.8414998806410521,0.14454568922519684,0.7199999690055847
sinusoidal,T+F+K,1042,0.04293864965438843,0.00927907507866621,0.8058339953422546,0.8318568857470948,1.4763361467633929,1.9899529351128473,0.8535593615719378,0.15175259113311768,0.7199999690055847
sinusoidal,T+F,2042,0.08524194359779358,0.019253738224506378,1.9794946908950806,0.9128293751472205,1.8677039513221154,2.1125509662992634,0.6150973774234441,0.09954532235860825,0.7849999666213989
sinusoidal,T+F+K,2042,0.10004902631044388,0.023134300485253334,2.3197274208068848,0.9194997662874922,1.8732420533567995,2.1081119221486864,0.6372616054671577,0.1013045385479927,0.7849999666213989
sinusoidal,T+F,3042,0.05304311215877533,0.019705748185515404,1.3127825260162354,1.0804282379150392,1.9918926073157268,2.424397103738465,0.5996838067089187,0.10052014142274857,0.7450000047683716
sinusoidal,T+F+K,3042,0.02037465013563633,0.024150151759386063,0.4686528742313385,1.0829013061523438,2.0204087962274966,2.4833457997981334,0.5802467854606433,0.11285161226987839,0.7450000047683716
sinusoidal,T+F,4042,0.017761044204235077,0.014728310517966747,1.0584102869033813,0.9128703308105469,1.8141477815397493,2.0201580649928044,0.849362725469583,0.13065789639949799,0.7599999904632568
sinusoidal,T+F+K,4042,0.006176684983074665,0.016254505142569542,1.1457980871200562,0.9037789154052734,1.8025098528180803,2.004927785773026,0.8884197281842084,0.11962193250656128,0.7599999904632568
sinusoidal,T+F,5042,0.01915058307349682,0.04087180644273758,0.3538742959499359,0.9619492340087891,1.8723667924122145,2.317956263722937,0.8086685486088679,0.1349322646856308,0.7649999856948853
sinusoidal,T+F+K,5042,0.009716973640024662,0.01792476698756218,0.31265369057655334,0.9476769256591797,1.8205827282321068,2.2477710200291052,0.7614339172545292,0.10905573517084122,0.7649999856948853
sinusoidal,T+F,6042,0.03233187645673752,0.029728258028626442,0.3067532479763031,0.6234513854980469,1.1166295514787947,1.2552561302707619,0.8489230623787622,0.15765738487243652,0.7299999594688416
sinusoidal,T+F+K,6042,0.012579364702105522,0.03482041507959366,0.20097616314888,0.5650699615478516,1.136446010044643,1.3014442757384417,0.9185218260081597,0.1501673310995102,0.7299999594688416
sinusoidal,T+F,7042,0.05194596201181412,0.03827338665723801,0.9679991006851196,0.8067371617609532,1.5551155664587533,1.8008335088592728,0.7797033533249638,0.13057848811149597,0.7649999856948853
sinusoidal,T+F+K,7042,0.057577211409807205,0.03945034369826317,1.0488080978393555,0.8054484458424938,1.544121362829721,1.7858619440614787,0.7867295477155024,0.13030752539634705,0.7649999856948853
sinusoidal,T+F,8042,0.01370422076433897,0.010927094146609306,1.2295360565185547,0.6201045608520508,1.1627586040091007,1.5291830578690055,1.0502060281117749,0.149677112698555,0.7949999570846558
sinusoidal,T+F+K,8042,0.012687202543020248,0.01003177184611559,1.149850845336914,0.6071279525756836,1.1469669747859874,1.5284623439956762,1.0795082646784526,0.15463221073150635,0.7949999570846558
sinusoidal,T+F,9042,0.05494370684027672,0.009278101846575737,1.0801633596420288,0.6939009094238281,1.207881322975367,1.6653054889879728,0.6210363950720198,0.1179024800658226,0.7599999904632568
sinusoidal,T+F+K,9042,0.07216188311576843,0.012769493274390697,1.560914397239685,0.6982728576660157,1.2069833890987876,1.6712433664422286,0.6202058945328582,0.11925113946199417,0.7599999904632568
paraboloid,T+F,42,0.006836053915321827,0.0857435017824173,3.7128663063049316,0.5162507629394532,1.4428118830141814,2.172176585477941,1.7147058730778095,0.18756738305091858,0.7649999856948853
paraboloid,T+F+K,42,0.015079324133694172,0.07849408686161041,2.30351185798645,0.5280849456787109,1.3717737612516985,1.9438785727507149,1.5440193985414354,0.16504809260368347,0.7649999856948853
paraboloid,T+F,1042,0.018429482355713844,0.058822669088840485,2.321934461593628,1.0030059047679805,1.7391120256696428,2.2983466254340277,1.0988626884207513,0.09512591361999512,0.7199999690055847
paraboloid,T+F+K,1042,0.01522457879036665,0.06648875027894974,2.033121347427368,1.0208421256673994,1.7460056849888392,2.2537693447536893,1.130228442515471,0.10583151131868362,0.7199999690055847
paraboloid,T+F,2042,0.012895789928734303,0.21482129395008087,4.518916606903076,0.8389204015683889,1.7881114247081045,2.575923069267516,1.9345778544388668,0.20933346450328827,0.7849999666213989
paraboloid,T+F+K,2042,0.02033189684152603,0.13307346403598785,3.882162570953369,0.814358888559006,1.8447530557821086,2.685317118456409,1.639816621317325,0.17026668787002563,0.7849999666213989
paraboloid,T+F,3042,0.016766510903835297,0.13974301517009735,2.639451742172241,1.3726312255859374,2.565945003343665,3.2744490860292577,1.919022515275701,0.2666458189487457,0.7450000047683716
paraboloid,T+F+K,3042,0.006035108119249344,0.09216123819351196,1.5488032102584839,1.368150634765625,2.5139448746390967,3.1748859994363463,1.7378639535409468,0.2552796006202698,0.7450000047683716
