surface,penalty,distance,reconstruction,tangent,cov_tangent,drift_tangent,normal_drift_learned,normal_drift_true
paraboloid,baseline,0.0,0.001439249375835061,0.0020623011514544487,0.1525566726922989,0.016674505546689034,2.916184902191162,2.779125690460205
paraboloid,baseline,0.1,0.02159123867750168,0.015664592385292053,4.199016094207764,0.20477892458438873,4.353512287139893,3.0355427265167236
paraboloid,baseline,0.2,0.0963837131857872,0.028515763580799103,12.534048080444336,0.41698122024536133,5.021250247955322,3.0042827129364014
paraboloid,baseline,0.30000000000000004,0.2989572286605835,0.044091589748859406,32.822933197021484,0.829372227191925,6.579008102416992,3.3344945907592773
paraboloid,baseline,0.4,0.7461844682693481,0.059701107442379,78.76644134521484,1.3923903703689575,8.251249313354492,3.5669500827789307
paraboloid,baseline,0.5,1.3883347511291504,0.07442622631788254,145.3242950439453,2.1061177253723145,10.199004173278809,3.889617681503296
paraboloid,T,0.0,0.00042530163773335516,0.00019440019968897104,0.013356056995689869,0.001470776624046266,2.7965452671051025,2.779125690460205
paraboloid,T,0.1,0.021131064742803574,0.0024782149121165276,0.9405983686447144,0.028357265517115593,3.470088481903076,3.0355427265167236
paraboloid,T,0.2,0.09507899731397629,0.00617176853120327,3.753028631210327,0.08300264924764633,3.832160234451294,3.0042827129364014
paraboloid,T,0.30000000000000004,0.2956661880016327,0.012298883870244026,12.437012672424316,0.19659344851970673,4.766258239746094,3.3344945907592773
paraboloid,T,0.4,0.745013415813446,0.01990768127143383,33.13842010498047,0.39353713393211365,5.8171162605285645,3.5669500827789307
paraboloid,T,0.5,1.386704683303833,0.029463527724146843,70.05068969726562,0.6728522777557373,7.090121269226074,3.889617681503296
paraboloid,K,0.0,0.0005457774386741221,9.50685644056648e-05,0.004046251066029072,0.000565200112760067,2.781118392944336,2.779125690460205
paraboloid,K,0.1,0.033430054783821106,0.0011806967668235302,0.4534953534603119,0.013357131741940975,3.309194564819336,3.0355427265167236
paraboloid,K,0.2,0.12799300253391266,0.003265455598011613,1.8519245386123657,0.04153051599860191,3.5405614376068115,3.0042827129364014
paraboloid,K,0.30000000000000004,0.36780256032943726,0.0071371025405824184,7.0882344245910645,0.11420617997646332,4.3739705085754395,3.3344945907592773
paraboloid,K,0.4,0.8670337796211243,0.012180296704173088,19.918601989746094,0.23331162333488464,5.219049453735352,3.5669500827789307
paraboloid,K,0.5,1.5701199769973755,0.020245380699634552,43.1523323059082,0.4414537250995636,6.360404014587402,3.889617681503296
paraboloid,T+K,0.0,0.0004744224133901298,0.00010034690058091655,0.0031647197902202606,0.000577226048335433,2.782010316848755,2.779125690460205
paraboloid,T+K,0.1,0.02652413211762905,0.0011008901055902243,0.36067017912864685,0.01058032363653183,3.258852243423462,3.0355427265167236
paraboloid,T+K,0.2,0.1085742712020874,0.0027988406363874674,1.5237609148025513,0.03266151249408722,3.4654085636138916,3.0042827129364014
paraboloid,T+K,0.30000000000000004,0.3173867464065552,0.006313299760222435,6.110689640045166,0.09323093295097351,4.252818584442139,3.3344945907592773
paraboloid,T+K,0.4,0.7674757242202759,0.010722309350967407,17.907033920288086,0.1967393308877945,5.054097652435303,3.5669500827789307
paraboloid,T+K,0.5,1.4212377071380615,0.017430538311600685,39.978904724121094,0.37802594900131226,6.1493754386901855,3.889617681503296
paraboloid,T+F,0.0,0.0001834378344938159,0.00013091786240693182,0.023563146591186523,0.0011842125095427036,2.827486991882324,2.779125690460205
paraboloid,T+F,0.1,0.0013877972960472107,0.0009756196523085237,1.138678789138794,0.017008107155561447,3.4127118587493896,3.0355427265167236
paraboloid,T+F,0.2,0.01129692792892456,0.0022096175234764814,3.435765027999878,0.044087354093790054,3.637923240661621,3.0042827129364014
paraboloid,T+F,0.30000000000000004,0.057074762880802155,0.004396060481667519,11.782764434814453,0.11278830468654633,4.46217679977417,3.3344945907592773
paraboloid,T+F,0.4,0.20563067495822906,0.0077552287839353085,30.065505981445312,0.2225395292043686,5.2824296951293945,3.5669500827789307
paraboloid,T+F,0.5,0.4797513782978058,0.012166932225227356,62.95642852783203,0.4183708727359772,6.458182334899902,3.889617681503296
paraboloid,T+F+K,0.0,8.227201033150777e-05,4.121478559682146e-05,0.001818543765693903,0.0002544948656577617,2.783904790878296,2.779125690460205
paraboloid,T+F+K,0.1,0.002130214124917984,0.00016056989261414856,0.014634452760219574,0.002387724118307233,3.118363618850708,3.0355427265167236
paraboloid,T+F+K,0.2,0.016933565959334373,0.0005103435250930488,0.16436685621738434,0.008725250139832497,3.218327760696411,3.0042827129364014
paraboloid,T+F+K,0.30000000000000004,0.07966270297765732,0.0015019578859210014,1.2185163497924805,0.03269878402352333,3.8405611515045166,3.3344945907592773
paraboloid,T+F+K,0.4,0.27165889739990234,0.0033535270486027002,5.171802520751953,0.08193976432085037,4.490070819854736,3.5669500827789307
paraboloid,T+F+K,0.5,0.617363452911377,0.006579429842531681,14.030482292175293,0.188545361161232,5.431413173675537,3.889617681503296
