seed,config,mte_01,mte_05,mte_1,survival_1
42,T+F+Kf,0.8734492492675782,1.463247218276515,1.6921759287516276,0.7450000047683716
42,T+F+D,0.8710136413574219,1.4774845536932888,1.6945569397973232,0.7599999904632568
123,T+F+Kf,0.6699126737201633,1.177045229464601,1.4322429684037012,0.8349999785423279
123,T+F+D,0.6828821843592965,1.2270162001900051,1.5094737517528045,0.9649999737739563
456,T+F+Kf,0.30801380041873816,0.6089761864324534,0.7140426025390625,0.7199999690055847
456,T+F+D,0.30927742852105033,0.6055913351796156,0.7224541597588118,0.7599999904632568
789,T+F+Kf,0.636140251159668,1.303687951503656,1.6437038845486112,0.6800000071525574
789,T+F+D,0.6368772125244141,1.3056559376902395,1.6332604750147406,0.6699999570846558
1024,T+F+Kf,0.3048898131404091,0.5963656546055586,0.7226520050737194,0.75
1024,T+F+D,0.3048010591286511,0.5949853079659598,0.7423917372449697,0.7949999570846558
