D,seed,condition,ae_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0,E_mu_held,drift_loss_final
3,42,baseline,0.008697204291820526,0.8662412261962891,2.2203253041143003,3.2884088653364993,2.120077434823133,1.5141387051661332,2.499998332668161,0.31780263781547546,0.7649999856948853,0.23999999463558197,0.08791765570640564,0.020658355206251144
3,42,smooth-euc,0.008697204291820526,0.8702628326416015,2.062253205672554,2.849173552070568,1.7074839765403946,1.2998983737584595,2.0827780412935377,0.2605167031288147,0.7649999856948853,0.23999999463558197,0.2721600830554962,0.5069698095321655
3,42,smooth-metric,0.008697204291820526,0.8731747436523437,2.0700890914253565,2.8686964246961804,1.730080757612657,1.3216585692045193,2.1404329562780817,0.26841792464256287,0.7649999856948853,0.23999999463558197,0.3544001281261444,0.5679267048835754
3,1042,baseline,0.011286805383861065,0.8074686635079695,1.6542578125,2.319011688232422,1.2977259352283055,0.7573913406003298,1.4982129775185278,0.23648394644260406,0.7199999690055847,0.26499998569488525,0.11653192341327667,0.015384024940431118
3,1042,smooth-euc,0.011286805383861065,0.8093131367285648,1.6052335030691964,2.085359149509006,1.1645057884902013,0.6739526243464898,1.0692867101422345,0.18199074268341064,0.7199999690055847,0.26499998569488525,0.17881551384925842,0.18360592424869537
3,1042,smooth-metric,0.011286805383861065,0.8098653668734297,1.6193889508928572,2.111788855658637,1.1509992546632997,0.6788913808172149,1.1478152961303734,0.18912532925605774,0.7199999690055847,0.26499998569488525,0.21879218518733978,0.18839244544506073
3,2042,baseline,0.009301172569394112,0.742969915495446,1.843580308851305,2.458037941319168,1.5507405344161795,1.1821852545491371,2.30059751559968,0.1478690207004547,0.7849999666213989,0.23499999940395355,0.09155279397964478,0.06774318218231201
3,2042,smooth-euc,0.009301172569394112,0.7382094033399419,1.7316141652536916,2.2224056948522093,1.3475496387894497,0.8826090607037014,1.7137517882017548,0.13174141943454742,0.7849999666213989,0.23499999940395355,0.18488316237926483,0.4769343137741089
3,2042,smooth-metric,0.009301172569394112,0.7402181194056219,1.729817149403331,2.232131472059116,1.388445737234754,0.8945204288599242,1.7400452362360697,0.14074024558067322,0.7849999666213989,0.23499999940395355,0.18450689315795898,0.5289574861526489
3,3042,baseline,0.009119627997279167,1.0442330169677734,2.190918134606403,2.8704330137111995,1.6481332569595708,1.382124659251587,2.2457584860374484,0.22638380527496338,0.7450000047683716,0.23999999463558197,0.08901441097259521,0.04025117680430412
3,3042,smooth-euc,0.009119627997279167,1.0359840393066406,2.022097380264946,2.457699769295302,1.1899728311283952,1.0613800417694854,1.5560201125993924,0.17665357887744904,0.7450000047683716,0.23999999463558197,0.20606887340545654,0.4638136625289917
3,3042,smooth-metric,0.009119627997279167,1.0381443786621094,2.0305623593537705,2.4872706880505455,1.20352842676623,1.0823199120775278,1.5830653772589276,0.1841733157634735,0.7450000047683716,0.23999999463558197,0.2412276268005371,0.4938754141330719
3,4042,baseline,0.011931064538657665,0.9869035339355469,2.0825171837439904,2.481958088121916,1.1041311341358053,0.9515024849551016,1.9725681403755466,0.17889061570167542,0.7599999904632568,0.29999998211860657,0.09521027654409409,0.03605450689792633
3,4042,smooth-euc,0.011931064538657665,0.9810128021240234,2.0222325587010648,2.2562731692665503,0.8272591209236764,0.7177596661870733,1.6229483373494087,0.08791638910770416,0.7599999904632568,0.29999998211860657,0.1695205569267273,0.3247108459472656
3,4042,smooth-metric,0.011931064538657665,0.9809055328369141,2.0274810791015625,2.2593715065403988,0.8082419941202151,0.7158719891407124,1.6082901719940708,0.08819189667701721,0.7599999904632568,0.29999998211860657,0.19458505511283875,0.35401421785354614
11,42,baseline,0.018612615764141083,1.2197480010986328,2.2520065307617188,2.8042582592933005,1.662879113143117,1.1552654668082114,1.6702758287532407,0.17247839272022247,0.7649999856948853,0.23999999463558197,0.07548108696937561,0.011887525208294392
11,42,smooth-euc,0.018612615764141083,1.2347946929931641,2.3282036159349526,2.7688070060380925,1.6965559468990397,1.1441756353495054,1.48007508095772,0.18860743939876556,0.7649999856948853,0.23999999463558197,0.15735843777656555,0.1272338628768921
11,42,smooth-metric,0.018612615764141083,1.240277557373047,2.3657850182574727,2.8219105838950163,1.7273676807781981,1.1897346777212867,1.5405244209596343,0.19272826611995697,0.7649999856948853,0.23999999463558197,0.16806170344352722,0.14004987478256226
11,1042,baseline,0.009157935157418251,1.1091220414818233,2.083295200892857,2.782821443345812,1.5105891252585957,1.0294512082525216,1.787502094558997,0.2184855341911316,0.7199999690055847,0.26499998569488525,0.04250084236264229,0.005936508532613516
11,1042,smooth-euc,0.009157935157418251,1.1147340554088803,2.0518094308035715,2.65073479546441,1.4313046292547862,0.9452808267630962,1.643398119690347,0.1610262393951416,0.7199999690055847,0.26499998569488525,0.12053732573986053,0.08821392059326172
