surface,config,seed,time,MTE_sde,MTE_ode,E_mu,E_Sigma
paraboloid,T+F,42,0.1,1.1473895232689562,0.18067798614501954,0.17133086919784546,0.11414474993944168
paraboloid,T+F,42,0.2,1.4133973817567567,0.2948946660878707,0.1476907730102539,0.11696137487888336
paraboloid,T+F,42,0.5,1.8013228813227076,0.551595720563616,0.15872812271118164,0.08339733630418777
paraboloid,T+F,42,1.0,2.167701188908067,0.9466506047035331,,
paraboloid,T+F+K,42,0.1,1.1823490687779017,0.3019548034667969,0.0388680174946785,0.04563672095537186
paraboloid,T+F+K,42,0.2,1.4305073291580113,0.4031444431580219,0.043449390679597855,0.04093431681394577
paraboloid,T+F+K,42,0.5,1.7807122468948364,0.642722993738511,0.04225943982601166,0.041773684322834015
paraboloid,T+F+K,42,1.0,2.1278559366861978,0.9213777780532837,,
paraboloid,T+F,1042,0.1,0.9972562789916992,0.22085357666015626,0.039084989577531815,0.04489219933748245
paraboloid,T+F,1042,0.2,1.3436922345842635,0.3986193009608768,0.05941563472151756,0.06517268717288971
paraboloid,T+F,1042,0.5,1.4679689808052128,0.6351714664035373,0.09872032701969147,0.031013954430818558
paraboloid,T+F,1042,1.0,1.7493749269297425,0.7714230116977486,,
paraboloid,T+F+K,1042,0.1,1.032409746622302,0.07364002704620361,0.01747179590165615,0.014936239458620548
paraboloid,T+F+K,1042,0.2,1.3893235672351927,0.22357553482055664,0.02082696370780468,0.009599867276847363
paraboloid,T+F+K,1042,0.5,1.5471503102881277,0.36422114372253417,0.018199549987912178,0.010283169336616993
paraboloid,T+F+K,1042,1.0,1.7481691765062737,0.4911007756772249,,
paraboloid,T+F,2042,0.1,0.5043377216045674,0.22650074005126952,0.060245998203754425,0.07795906066894531
paraboloid,T+F,2042,0.2,0.8140416608537946,0.38810251197036433,0.10420626401901245,0.08930912613868713
paraboloid,T+F,2042,0.5,1.528624737849001,0.5980386668238147,0.05008915811777115,0.05498848110437393
paraboloid,T+F,2042,1.0,2.0555171260127314,0.6625648581463358,,
paraboloid,T+F+K,2042,0.1,0.4809393858298277,0.1326134204864502,0.010808569379150867,0.013101066462695599
paraboloid,T+F+K,2042,0.2,0.7611430307452598,0.2150710052645146,0.014383548870682716,0.019457675516605377
paraboloid,T+F+K,2042,0.5,1.1734823355997415,0.39274624415806364,0.015547959133982658,0.018102481961250305
