W2@1.0,MFPT_gt_r0.5,MFPT_lr_r0.5,MFPT_err_r0.5,exit_frac_r0.5,MFPT_gt_r1.0,MFPT_lr_r1.0,MFPT_err_r1.0,exit_frac_r1.0,MFPT_gt_r2.0,MFPT_lr_r2.0,MFPT_err_r2.0,exit_frac_r2.0,MFPT_gt_r3.0,MFPT_lr_r3.0,MFPT_err_r3.0,exit_frac_r3.0,surface,seed,condition,recon_per_dim
1.0684189126653363,0.07462000101804733,0.07539999485015869,0.01045287887255204,1.0,0.23626002669334412,0.24142001569271088,0.02184029635306956,1.0,0.6002231240272522,0.6571663022041321,0.09487001732758045,0.974,0.7733480930328369,0.9337143301963806,0.20736617651003172,0.84,paraboloid,42,T+F,3.6627673332325436e-05
0.9866185173171054,0.07462000101804733,0.07226000726222992,0.03162682556445735,1.0,0.23626002669334412,0.23246000707149506,0.016084056516176268,1.0,0.6002231240272522,0.6279544830322266,0.046201750473904214,0.968,0.7733480930328369,0.9135279655456543,0.1812636169607329,0.856,paraboloid,42,T+F+K,5.811469798738306e-05
1.7901650955315693,0.07462000101804733,0.15967999398708344,1.1399087618407266,1.0,0.23626002669334412,0.5034826993942261,1.1310532570443077,0.982,0.6002231240272522,0.9244159460067749,0.5401205135255722,0.702,0.7733480930328369,1.0773658752441406,0.3931189395179577,0.41,paraboloid,42,T+K,0.0001625513488596136
1.1128025559090522,0.08272000402212143,0.06686000525951385,0.19173111691781602,1.0,0.250980019569397,0.21125999093055725,0.15825972404889774,1.0,0.5882821679115295,0.5617958903312683,0.04502308420173709,0.98,0.7765548229217529,0.8358333110809326,0.07633522632200906,0.864,paraboloid,1042,T+F,3.052320045588369e-05
1.0549470236301632,0.08272000402212143,0.0662200078368187,0.19946802929180488,1.0,0.250980019569397,0.21187999844551086,0.15578937793920603,1.0,0.5882821679115295,0.5666260123252869,0.03681253107352303,0.984,0.7765548229217529,0.8290660977363586,0.06762082117658401,0.878,paraboloid,1042,T+F+K,7.21426172689958e-05
1.3443412519926878,0.08272000402212143,0.07008000463247299,0.15280462735795058,1.0,0.250980019569397,0.22870001196861267,0.08877203706896593,1.0,0.5882821679115295,0.6979782581329346,0.18646849455056402,0.92,0.7765548229217529,0.9665714502334595,0.24469183849348516,0.63,paraboloid,1042,T+K,0.0002389592965218154
1.0119029166934594,0.07320000231266022,0.07600000500679016,0.03825140171676843,1.0,0.22940000891685486,0.23834000527858734,0.038971211919057724,1.0,0.5792592167854309,0.6403741836547852,0.10550538532387728,0.962,0.7756792902946472,0.8940301537513733,0.15257705721622355,0.794,paraboloid,2042,T+F,0.0011242024431174452
0.9946422101398376,0.07320000231266022,0.07609999924898148,0.03961744323360073,1.0,0.22940000891685486,0.23557113111019135,0.0269011419069874,0.998,0.5792592167854309,0.6248670816421509,0.07873481083273644,0.978,0.7756792902946472,0.8611593842506409,0.110200304462845,0.828,paraboloid,2042,T+F+K,4.876711913807826e-05
1.4210746156496408,0.07320000231266022,0.0771000012755394,0.05327867267300156,1.0,0.22940000891685486,0.2715199887752533,0.1836093209292972,1.0,0.5792592167854309,0.7783777713775635,0.34374689054950336,0.9,0.7756792902946472,1.072700023651123,0.3829169310987411,0.6,paraboloid,2042,T+K,0.00032454879361797464
1.4722766528325695,0.07853999733924866,0.12464000284671783,0.5869621475583079,1.0,0.23291999101638794,0.37468940019607544,0.6086614058374783,0.998,0.5840534567832947,0.7821162939071655,0.3391176523716038,0.86,0.7793377041816711,0.9186984896659851,0.17881950884263598,0.63,paraboloid,3042,T+F,2.8270810038189996e-05
1.2824226168875885,0.07853999733924866,0.1212800070643425,0.544181451146236,1.0,0.23291999101638794,0.35545089840888977,0.5260643659559506,0.998,0.5840534567832947,0.7543518543243408,0.29158015514362945,0.864,0.7793377041816711,0.9146547317504883,0.17363079810299212,0.666,paraboloid,3042,T+F+K,4.696185086769137e-05
1.8309954299123488,0.07853999733924866,0.12964001297950745,0.6506241070971194,1.0,0.23291999101638794,0.41371485590934753,0.7762101660060562,0.996,0.5840534567832947,0.9197402000427246,0.5747534568295211,0.77,0.7793377041816711,1.0920689105987549,0.4012781682947847,0.406,paraboloid,3042,T+K,0.00017725357743488118
1.0976075554312723,0.075360007584095,0.0812000036239624,0.07749463179592292,1.0,0.2389800250530243,0.25036001205444336,0.047618988235079915,1.0,0.56160569190979,0.6354489326477051,0.13148591939445012,0.98,0.7788528203964233,0.9631873369216919,0.23667439045986288,0.822,paraboloid,4042,T+F,8.863124954090877e-05
1.0213967726482596,0.075360007584095,0.09109999984502792,0.208863995181642,1.0,0.2389800250530243,0.27908000349998474,0.16779636054546052,1.0,0.56160569190979,0.6908227801322937,0.23008507585293425,0.948,0.7788528203964233,0.9266491532325745,0.1897615685090865,0.758,paraboloid,4042,T+F+K,0.00029697521081702274
1.1874992725647628,0.075360007584095,0.06874000281095505,0.08784506511298612,1.0,0.2389800250530243,0.2342200130224228,0.019918033021987348,1.0,0.56160569190979,0.6736207008361816,0.1994549032177267,0.928,0.7788528203964233,0.9893851280212402,0.27031077260227343,0.618,paraboloid,4042,T+K,0.0003527921878478744
0.9998110071235643,0.07586000114679337,0.07084000110626221,0.06617453156660486,1.0,0.21748000383377075,0.2127400040626526,0.021795106159466265,1.0,0.5730162262916565,0.5906477570533752,0.03076968845336776,0.988,0.7795206904411316,0.8699776530265808,0.11604177245668684,0.894,paraboloid,5042,T+F,0.00021881946701217782
