time,ensemble_survival,MTE,RPD,surface,penalty,sim_mode,W2,MMD
0.1,0.9699999690055847,1.0470039918250644,0.81831472382535,paraboloid,baseline,learned_latent,,
0.2,0.9300000071525574,1.1995966101205477,0.6999856924373985,paraboloid,baseline,learned_latent,,
0.5,0.7749999761581421,0.9002333118069556,0.4565714388090987,paraboloid,baseline,learned_latent,,
1.0,0.6299999952316284,0.9283777267213852,0.3728600969874817,paraboloid,baseline,learned_latent,1.7975846128843833,0.21070453524589539
2.0,0.3349999785423279,,,paraboloid,baseline,learned_latent,1.9944903678005832,0.22940126061439514
3.0,0.19999998807907104,,,paraboloid,baseline,learned_latent,1.8895836208621968,0.19110986590385437
4.0,0.14999999105930328,,,paraboloid,baseline,learned_latent,1.495570427974693,0.1679016649723053
5.0,0.09999999403953552,,,paraboloid,baseline,learned_latent,1.614789168542049,0.2585422694683075
0.1,0.9699999690055847,0.5091413910855952,0.3979334368229191,paraboloid,baseline,learned_ambient,,
0.2,0.9300000071525574,0.6299105818553637,0.36756388863866696,paraboloid,baseline,learned_ambient,,
0.5,0.7749999761581421,0.7009321643460181,0.35549185148534335,paraboloid,baseline,learned_ambient,,
1.0,0.6299999952316284,0.9835989815848214,0.395038356818063,paraboloid,baseline,learned_ambient,4.140292547902011,0.08541572839021683
2.0,0.3349999785423279,,,paraboloid,baseline,learned_ambient,19.098452228443538,0.18647965788841248
3.0,0.19999998807907104,,,paraboloid,baseline,learned_ambient,55.901949063700805,0.22607237100601196
4.0,0.14999999105930328,,,paraboloid,baseline,learned_ambient,65.90341439193719,0.2985289692878723
5.0,0.09999999403953552,,,paraboloid,baseline,learned_ambient,89.00993808974103,0.32182809710502625
0.1,0.9699999690055847,1.095007198373067,0.8558329482215977,paraboloid,T,learned_latent,,
0.2,0.9300000071525574,1.2230420676610803,0.7136665287223327,paraboloid,T,learned_latent,,
0.5,0.7749999761581421,0.9343150477255544,0.4738566769816705,paraboloid,T,learned_latent,,
1.0,0.6299999952316284,0.988062237936353,0.396830914037191,paraboloid,T,learned_latent,1.8621032015795926,0.22756969928741455
2.0,0.3349999785423279,,,paraboloid,T,learned_latent,2.0310500973270487,0.23797662556171417
3.0,0.19999998807907104,,,paraboloid,T,learned_latent,1.9419329429867547,0.20522832870483398
4.0,0.14999999105930328,,,paraboloid,T,learned_latent,1.5254719955486393,0.17587006092071533
5.0,0.09999999403953552,,,paraboloid,T,learned_latent,1.6890696098818043,0.27127528190612793
0.1,0.9699999690055847,0.48210851924935566,0.3768051534318329,paraboloid,T,learned_ambient,,
0.2,0.9300000071525574,0.7057193222866264,0.41179962023034916,paraboloid,T,learned_ambient,,
0.5,0.7749999761581421,0.8371013026083669,0.42455276998551045,paraboloid,T,learned_ambient,,
1.0,0.6299999952316284,1.1306426033141121,0.45409481356115755,paraboloid,T,learned_ambient,3.7886154369046054,0.0707477256655693
2.0,0.3349999785423279,,,paraboloid,T,learned_ambient,2.003936689498711,0.11822306364774704
3.0,0.19999998807907104,,,paraboloid,T,learned_ambient,18227456.998828765,0.12044473737478256
4.0,0.14999999105930328,,,paraboloid,T,learned_ambient,3.7611764734582485,0.17039896547794342
5.0,0.09999999403953552,,,paraboloid,T,learned_ambient,4.827842586902424,0.16891461610794067
0.1,0.9699999690055847,1.104605920536002,0.8633350931390651,paraboloid,K,learned_latent,,
0.2,0.9300000071525574,1.2433826897733955,0.7255356389997164,paraboloid,K,learned_latent,,
0.5,0.7749999761581421,0.9378668016003024,0.4756580204285538,paraboloid,K,learned_latent,,
1.0,0.6299999952316284,0.9730346921890501,0.3907954696231904,paraboloid,K,learned_latent,1.8520841630423177,0.2264743596315384
2.0,0.3349999785423279,,,paraboloid,K,learned_latent,2.0344596380685225,0.2406122088432312
3.0,0.19999998807907104,,,paraboloid,K,learned_latent,1.9432874787272516,0.20322708785533905
4.0,0.14999999105930328,,,paraboloid,K,learned_latent,1.5415834176086225,0.1769947111606598
5.0,0.09999999403953552,,,paraboloid,K,learned_latent,1.682553893994958,0.27128517627716064
0.1,0.9699999690055847,0.4342420125745006,0.33939377057565095,paraboloid,K,learned_ambient,,
0.2,0.9300000071525574,0.5809817160329511,0.3390130360154369,paraboloid,K,learned_ambient,,
0.5,0.7749999761581421,0.7032884167086694,0.35668687228417795,paraboloid,K,learned_ambient,,
1.0,0.6299999952316284,1.047748262920077,0.420802339054917,paraboloid,K,learned_ambient,5.8812952476323765,0.19174911081790924
2.0,0.3349999785423279,,,paraboloid,K,learned_ambient,10.935016028777035,0.38946545124053955
3.0,0.19999998807907104,,,paraboloid,K,learned_ambient,24.394046965590192,0.5001307129859924
4.0,0.14999999105930328,,,paraboloid,K,learned_ambient,28.637782035491455,0.5593186616897583
5.0,0.09999999403953552,,,paraboloid,K,learned_ambient,33.098719682320656,0.582461953163147
0.1,0.9699999690055847,1.0831224893786244,0.8465441275155953,paraboloid,T+K,learned_latent,,
0.2,0.9300000071525574,1.208295678579679,0.7050617516789409,paraboloid,T+K,learned_latent,,
0.5,0.7749999761581421,0.9245396767893145,0.46889890090882863,paraboloid,T+K,learned_latent,,
1.0,0.6299999952316284,0.9586515880766369,0.3850188493532548,paraboloid,T+K,learned_latent,1.8369055955960067,0.22235649824142456
2.0,0.3349999785423279,,,paraboloid,T+K,learned_latent,2.001805014736528,0.2332019805908203
3.0,0.19999998807907104,,,paraboloid,T+K,learned_latent,1.9049589018946067,0.2006613165140152
4.0,0.14999999105930328,,,paraboloid,T+K,learned_latent,1.5179484514999482,0.17014376819133759
5.0,0.09999999403953552,,,paraboloid,T+K,learned_latent,1.6570997576285884,0.2678873538970947
0.1,0.9699999690055847,0.45499420166015625,0.355613213875765,paraboloid,T+K,learned_ambient,,
0.2,0.9300000071525574,0.6374192596763693,0.3719453340341301,paraboloid,T+K,learned_ambient,,
0.5,0.7749999761581421,0.7582032726657006,0.3845380464936396,paraboloid,T+K,learned_ambient,,
1.0,0.6299999952316284,1.0504967825753349,0.4219062144234597,paraboloid,T+K,learned_ambient,4.92239002904442,0.14531229436397552
2.0,0.3349999785423279,,,paraboloid,T+K,learned_ambient,7.437685623835777,0.32323646545410156
3.0,0.19999998807907104,,,paraboloid,T+K,learned_ambient,17.423019006580994,0.45237842202186584
4.0,0.14999999105930328,,,paraboloid,T+K,learned_ambient,22.221001608526787,0.5325431823730469
5.0,0.09999999403953552,,,paraboloid,T+K,learned_ambient,26.524609577467565,0.5566350817680359
0.1,0.9699999690055847,0.7859644152454495,0.6142920737837972,paraboloid,T+F,learned_latent,,
0.2,0.9300000071525574,0.9291724748508905,0.5421884596163641,paraboloid,T+F,learned_latent,,
0.5,0.7749999761581421,0.6901265790385585,0.35001158146389894,paraboloid,T+F,learned_latent,,
1.0,0.6299999952316284,0.7252490331256201,0.2912784495447622,paraboloid,T+F,learned_latent,1.5624813365673138,0.1562904268503189
2.0,0.3349999785423279,,,paraboloid,T+F,learned_latent,1.6946815796049177,0.166937917470932
3.0,0.19999998807907104,,,paraboloid,T+F,learned_latent,1.6172450499096283,0.14809216558933258
4.0,0.14999999105930328,,,paraboloid,T+F,learned_latent,1.3215922186788254,0.12010478228330612
5.0,0.09999999403953552,,,paraboloid,T+F,learned_latent,1.291048981456388,0.19987410306930542
0.1,0.9699999690055847,0.4342003261920103,0.3393611894385768,paraboloid,T+F,learned_ambient,,
0.2,0.9300000071525574,0.6002305553805444,0.3502450718728801,paraboloid,T+F,learned_ambient,,
0.5,0.7749999761581421,0.6749380788495464,0.3423084279661348,paraboloid,T+F,learned_ambient,,
1.0,0.6299999952316284,0.9017273433624752,0.3621566255038978,paraboloid,T+F,learned_ambient,1.290884180273166,0.04839283600449562
2.0,0.3349999785423279,,,paraboloid,T+F,learned_ambient,2.9757365355006553,0.14448752999305725
