N,D,K_pairs,surface,condition,seed,ae_loss,recon_per_dim,E_mu,E_Sigma,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
20,11,4,paraboloid,no_penalty,42,0.0,0.0003541905051943931,1.9106613397598267,3.16347599029541,0.5073002576828003,0.05233999714255333,1.0056005533129175,1.4193220783893328,1.3665047781808035,0.9681870563016763,0.49125582543594004,0.6275850440471202,0.7511039594018445,0.9263082563638698,0.3035374879837036,0.2800000011920929,0.04200000315904617
20,11,4,paraboloid,T+F,42,0.0,0.0005211983384056525,0.8797991871833801,0.7425588369369507,0.21794956922531128,0.014253593981266022,0.45306495037801015,0.8197630688660127,1.0716524396623883,0.7822002604447235,0.2714994446472505,0.3163012423529777,0.5954613304971536,0.8637439923527371,0.3094295263290405,0.2800000011920929,0.04200000315904617
20,11,4,paraboloid,no_penalty,1042,0.0,0.0005313356576318091,4.32138729095459,4.855674743652344,0.8300272226333618,0.08885269612073898,0.9118124233322313,1.303276884511501,1.3371790943529782,1.1121628515860265,0.39069960674763377,0.45849951676069145,0.514355065810868,0.7310707200661621,0.38997069001197815,0.2980000078678131,0.06200000271201134
20,11,4,paraboloid,T+F,1042,0.0,0.0008019782941449772,0.3883237838745117,0.5206108093261719,0.13225138187408447,0.013478914275765419,0.9359607993892678,1.5966676619859432,1.6908197594969065,0.8062256503885026,0.5055378108421843,0.7328084669899678,0.9326526627354266,1.0548859677275346,0.2224331498146057,0.2980000078678131,0.06200000271201134
20,11,4,paraboloid,no_penalty,2042,0.0,0.0007109634408896619,1.8714717626571655,2.375119686126709,0.5376028418540955,0.10202334821224213,1.27920425147341,1.8689293028816345,1.6610399977605146,0.6499303446447895,0.6088117775978437,0.7634738624355725,0.8946555907971417,0.5649186758679605,0.11217192560434341,0.26600000262260437,0.04800000041723251
20,11,4,paraboloid,T+F,2042,0.0,8.128193439915776e-05,0.18222998082637787,0.13639113306999207,0.13635993003845215,0.009324937127530575,1.3549020332202577,2.2744014679439486,2.1197275721040882,1.303604637530996,0.8643291868262223,1.2227454562547466,1.6967222603239127,1.533433159095886,0.32371777296066284,0.26600000262260437,0.04800000041723251
20,11,4,paraboloid,no_penalty,3042,0.0,0.0005429743535139344,1.7477253675460815,1.920710802078247,0.6373807787895203,0.14484840631484985,0.8533878030375208,1.2193760658378032,1.392442591050092,0.8250924582401744,0.3807831476929634,0.42804325429474765,0.6482926785324492,1.0883684855903955,0.22923283278942108,0.2720000147819519,0.05000000074505806
20,11,4,paraboloid,T+F,3042,0.0,0.000527653843164444,0.1530991643667221,0.14784970879554749,0.12989592552185059,0.04481013864278793,0.8318800831052522,1.291272746982859,1.5494880676269531,1.1823754656753591,0.5091844169204706,0.5922063532722437,1.0690482828739458,1.6348525638774771,0.29831966757774353,0.2720000147819519,0.05000000074505806
20,11,4,paraboloid,no_penalty,4042,0.0,0.0003494771028106863,1.9254050254821777,4.306129455566406,0.6252658367156982,0.09139178693294525,1.0220323674332294,1.3768385684851445,1.3444390263117798,0.47273578604014577,0.3614318977404552,0.4961314750204642,0.569536602453032,0.6706272945145565,0.1663638800382614,0.28200000524520874,0.06000000238418579
20,11,4,paraboloid,T+F,4042,0.0,0.001323549330911853,0.428625226020813,0.6807268857955933,0.291841596364975,0.04567516967654228,0.7978418974969496,1.4238882353811553,1.8665290994847075,1.6744263956669496,0.4353336193553741,0.6169354039337968,1.1240722260429228,2.3301046262834406,0.35050517320632935,0.28200000524520874,0.06000000238418579
