surface,D,N,seed,loss_mode,E_mu,E_Sigma_chart,E_Sigma_diff,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,11,20,42,ambient,0.6863560676574707,1.5584959983825684,0.1331407048485496,0.5457719492752993,1.190508390727796,1.7891547066824778,1.5142942721630812,0.3541012743504332,0.4511341409931006,0.9410657530049458,1.6007246477537387,0.429474800825119,0.2800000011920929,0.04200000315904617
paraboloid,11,20,42,latent,0.6863560676574707,1.5584959983825684,0.12193674390966242,0.5499668248777666,1.153917814555921,1.688934108189174,1.4131177421287513,0.343469258971979,0.43497914258478126,0.8852344051603153,1.5267955282560355,0.4192030131816864,0.2800000011920929,0.04200000315904617
paraboloid,11,20,1042,ambient,0.21940775215625763,0.3434789180755615,0.10881027308377353,0.9535474203742692,1.80878933477579,2.1521094405411074,1.5181070308105695,0.5442065565160316,0.8622635874416402,1.3152784817175116,1.5984776811171788,0.35126617550849915,0.2980000078678131,0.06200000271201134
paraboloid,11,20,1042,latent,0.21940775215625763,0.3434789180755615,0.08407700061798096,0.9463690606947731,1.7934075678148234,2.1441728220690015,1.4924788418325357,0.5411038514712819,0.8281046007151024,1.2624809174281573,1.5325385003427132,0.3531321883201599,0.2980000078678131,0.06200000271201134
paraboloid,11,20,2042,ambient,0.15471503138542175,0.1780742108821869,0.10473540696230801,1.4049626400596218,2.5980418371775795,2.6906733692140508,2.1663255884779278,0.9797145257599286,1.4388344626370015,2.2519697717924942,2.6532612881666697,0.4314330220222473,0.26600000262260437,0.04800000041723251
paraboloid,11,20,2042,latent,0.15471503138542175,0.1780742108821869,0.07623417269099843,1.3920338948567708,2.589110359312996,2.6345887148290648,2.048492756578607,0.971997394170223,1.4444952769377934,2.2630284788107184,2.55972833981257,0.41529232263565063,0.26600000262260437,0.04800000041723251
paraboloid,11,20,3042,ambient,0.10978412628173828,0.21291349828243256,0.21202265132557263,0.8358587362285199,1.4333316176684934,2.0378287820255054,1.8335519958564912,0.561205866264593,0.6706602954995816,1.3602716957990368,2.420304040666232,0.4082012176513672,0.2720000147819519,0.05000000074505806
paraboloid,11,20,3042,latent,0.10978412628173828,0.21291349828243256,0.15496911785819314,0.8880211942211752,1.4299003259459537,1.7782402038574219,1.4313672567541593,0.4936593877967081,0.6386451777371321,0.9904900577033934,1.6899040786337283,0.3686109483242035,0.2720000147819519,0.05000000074505806
paraboloid,11,20,4042,ambient,0.37981629371643066,0.6205891370773315,0.17397016828710382,0.9564549245441296,1.721586747602983,2.1852090172733822,1.8589924389718875,0.46225990450053794,0.7297093820072428,1.2107808093155557,2.352548110921288,0.3356297016143799,0.28200000524520874,0.06000000238418579
paraboloid,11,20,4042,latent,0.37981629371643066,0.6205891370773315,0.11594256487759677,0.8991765417401031,1.6265187118992661,2.0912739638741136,1.7781074434525397,0.4629481224703341,0.7031794237747034,1.1943287554039612,2.420971533320805,0.3952702283859253,0.28200000524520874,0.06000000238418579
