surface,D,N,seed,condition,E_mu_chart,E_Sigma_chart,fit_err_rel,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,sW2@0.1,sW2@0.2,sW2@0.5,sW2@1.0,MMD@1.0,survival@1.0,stopped@1.0
paraboloid,201,20,42,no_q,2.2794082164764404,9.212754249572754,0.8876652121543884,1.3204391921283407,2.264912770206767,2.9216498238699775,2.18718275903307,0.6914393087383746,1.059249829593694,1.8392735195697913,2.859432952436523,0.4048673212528229,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,current,2.2794082164764404,9.212754249572754,0.8444124460220337,1.308459037661818,2.1232655460673167,2.7280691964285713,1.9447116580481145,0.6590138745991609,0.9696062812987551,1.6378508093340185,2.5761570298780674,0.40539079904556274,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,oracle_q,2.2794082164764404,9.212754249572754,0.9066676497459412,1.3118736080178173,2.0730710137159303,2.2833448137555803,1.5198284271843354,0.6595351172807717,0.9525623545686098,1.3858795462660534,2.018569119794427,0.34356945753097534,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,enc_pull,2.2794082164764404,9.212754249572754,0.2632112503051758,1.2860100625086999,1.7925990972303807,1.8882524762834823,0.8809302015470539,0.603486681852663,0.7469774464969314,1.0166035402457936,1.2120619280723668,0.24417944252490997,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,enc_pull_v2,2.2794082164764404,9.212754249572754,0.8006019592285156,1.2934036084963112,2.001645654664004,2.4695000784737724,1.657864411274386,0.6232793857957128,0.8860332863351074,1.3497355744718311,2.328891311056233,0.4068294167518616,0.2800000011920929,0.04200000315904617
paraboloid,201,20,42,direct_1st,2.2794082164764404,9.212754249572754,0.8927384614944458,1.314935153205039,2.117170979205827,2.3811495099748883,1.6818908702686635,0.6690166055873813,0.9732189096646147,1.4759631777176145,2.170351750812313,0.3572852611541748,0.2800000011920929,0.04200000315904617
paraboloid,201,20,1042,no_q,1.9577178955078125,4.485928058624268,1.4868500232696533,0.9204680648837695,1.8047957296265102,2.641624911519505,2.2826765018801742,0.6776725959595632,1.12440549032974,1.5069114911022201,2.66100678122041,0.3702376186847687,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,current,1.9577178955078125,4.485928058624268,1.0639147758483887,0.9024570524559785,1.6016329513606529,2.080442287777894,1.7106719570109103,0.6269752651562014,1.0443201222239884,1.2934733494615998,2.078367080855422,0.28558149933815,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,oracle_q,1.9577178955078125,4.485928058624268,0.9899976849555969,0.8975056603650473,1.563133495004647,2.00090119022651,1.4200145376756967,0.6096045112922299,1.0013593893033048,1.1558851249181785,1.7892222378172062,0.28328773379325867,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,enc_pull,1.9577178955078125,4.485928058624268,0.42751750349998474,0.8603674669839226,1.330555855563139,1.4627069050833683,0.9397726201904137,0.5001752617334098,0.7661245934441122,0.7504095537390142,1.1039769259621786,0.1996685266494751,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,enc_pull_v2,1.9577178955078125,4.485928058624268,1.1489003896713257,0.9064908781667594,1.669370062732342,2.2133408104813337,1.876637372506597,0.6249333225621664,1.0408080718955839,1.3388905782454548,2.3469063496514293,0.29997125267982483,0.2980000078678131,0.06200000271201134
paraboloid,201,20,1042,direct_1st,1.9577178955078125,4.485928058624268,1.074663519859314,0.8977464705639268,1.561424510629647,2.0263378988176384,1.456209549802337,0.6043123325219945,1.0001544486887726,1.1418071336708906,1.8659994197034808,0.26662325859069824,0.2980000078678131,0.06200000271201134
paraboloid,201,20,2042,no_q,1.586820363998413,3.518188238143921,1.266093134880066,0.907101079037315,2.2467772468687994,3.1641733269942436,2.7622009209214244,0.6487823319860649,1.0520338087732086,2.0058995398449,2.8442977047717135,0.522447943687439,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,current,1.586820363998413,3.518188238143921,0.899962842464447,0.8604965879206072,1.7047315325055803,2.1315823892005406,1.620888742898407,0.5373780658681165,0.8078479816967816,1.49182801680317,1.8012980273336536,0.3950756788253784,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,oracle_q,1.586820363998413,3.518188238143921,0.9609818458557129,0.8770967450058251,1.8002377464657737,2.2682623612253288,1.7104114715651086,0.5596438567589797,0.8595610021436043,1.5358996864493115,1.7318902918598125,0.43380361795425415,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,enc_pull,1.586820363998413,3.518188238143921,0.330035537481308,0.8364300644188597,1.232103014749194,1.2546631088830476,0.6432079324724925,0.3836757035758569,0.5378310305773936,0.6616718261268782,0.5253519991794571,0.17439024150371552,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,enc_pull_v2,1.586820363998413,3.518188238143921,0.7402201890945435,0.8479478401050233,1.5892195928664434,1.8774582712273848,1.3541623668885532,0.4861039481422393,0.7217205436436274,1.3304890621762566,1.6295990648349954,0.32219699025154114,0.26600000262260437,0.04800000041723251
paraboloid,201,20,2042,direct_1st,1.586820363998413,3.518188238143921,0.909706711769104,0.870850546318188,1.7473539322141618,2.2679190958352913,1.7194633750429404,0.5473025294520804,0.84531408982378,1.5039533290227258,1.7052390702455722,0.41412094235420227,0.26600000262260437,0.04800000041723251
paraboloid,201,20,3042,no_q,1.358574390411377,3.2267613410949707,1.5508003234863281,0.5947026762359687,1.129596653269298,2.0660368975471046,2.0171691404409158,0.45134775311907027,0.5004161325533354,1.0079572828003465,2.0302335807700973,0.49447354674339294,0.2720000147819519,0.05000000074505806
paraboloid,201,20,3042,current,1.358574390411377,3.2267613410949707,1.0981051921844482,0.5900083148558758,0.8985668011565706,1.3784951602711397,1.4233543255927263,0.4241609276898097,0.4461653645148778,0.8203200483149521,1.5762750671716803,0.4206227660179138,0.2720000147819519,0.05000000074505806
paraboloid,201,20,3042,oracle_q,1.358574390411377,3.2267613410949707,0.9216373562812805,0.5766355256547949,0.8607025715842176,1.2690921110265396,1.2045182225647604,0.3997321250580475,0.40891031037234044,0.7945515557059795,1.5371415782691185,0.37137600779533386,0.2720000147819519,0.05000000074505806
paraboloid,201,20,3042,enc_pull,1.358574390411377,3.2267613410949707,0.3379645049571991,0.5870590040794762,0.791521499406046,0.9505469378303079,0.6673817990292111,0.3834212402776255,0.4044462366932777,0.5651402309250259,0.9402891224737572,0.3106687366962433,0.2720000147819519,0.05000000074505806
paraboloid,201,20,3042,enc_pull_v2,1.358574390411377,3.2267613410949707,0.8498381972312927,0.5808515527560283,0.8282486645143423,1.2231684292063993,1.0521623822069588,0.3930443422661172,0.4077063681095613,0.6117615624543548,1.1541957091844488,0.41529548168182373,0.2720000147819519,0.05000000074505806
paraboloid,201,20,3042,direct_1st,1.358574390411377,3.2267613410949707,0.9860790371894836,0.5701894823569151,0.8238282274844041,1.244749293607824,1.1780574609590049,0.4012305286472232,0.4142395273356606,0.8146185501404086,1.4912907727048328,0.37823647260665894,0.2720000147819519,0.05000000074505806
paraboloid,201,20,4042,no_q,1.6178863048553467,3.2952961921691895,1.5009326934814453,0.9560215219758338,1.7130422881155303,2.08766011988863,1.6598421946704642,0.742429000652081,1.251588160002455,1.13890596221828,1.5778100086509057,0.4117977023124695,0.28200000524520874,0.06000000238418579
paraboloid,201,20,4042,current,1.6178863048553467,3.2952961921691895,0.8156871795654297,0.9233687063618492,1.4143140388257576,1.552399330950798,0.9774535437662253,0.6375667950307146,1.0101180967027392,0.6184490799214459,1.1534937182071998,0.3388840854167938,0.28200000524520874,0.06000000238418579
paraboloid,201,20,4042,oracle_q,1.6178863048553467,3.2952961921691895,0.8322905898094177,0.9501789614331955,1.5048534508907434,1.5990357094622674,1.1019644778264508,0.678180943943606,1.0944111232426248,0.7862517826557539,1.1217582319550015,0.31156113743782043,0.28200000524520874,0.06000000238418579
paraboloid,201,20,4042,enc_pull,1.6178863048553467,3.2952961921691895,0.4178624749183655,0.9287596597071583,1.2451984521114465,1.160298448927859,0.5174143859534446,0.5671075080728978,0.8142743370105151,0.42725868903221914,0.6925880160327376,0.12242332100868225,0.28200000524520874,0.06000000238418579
paraboloid,201,20,4042,enc_pull_v2,1.6178863048553467,3.2952961921691895,0.7264620065689087,0.913186427052264,1.2987783027417732,1.4092203776041667,0.8142085428050235,0.5872122620263607,0.869344531322418,0.4902250725455314,1.206026688429634,0.3137209713459015,0.28200000524520874,0.06000000238418579
paraboloid,201,20,4042,direct_1st,1.6178863048553467,3.2952961921691895,0.8871857523918152,0.9512595882126152,1.5422607190681226,1.6298377936613475,1.0602435270365875,0.6880590273358632,1.1211431885011804,0.8170791520540206,0.9885839830405161,0.29788339138031006,0.28200000524520874,0.06000000238418579
hyperbolic_paraboloid,201,20,42,no_q,1.9692717790603638,8.768616676330566,1.128362774848938,0.9737473383778188,2.073411984551222,2.679766409737723,2.316822445707176,0.6070568463338909,0.8194930172791353,1.6100883764159934,2.8234896268588354,0.3534679114818573,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,201,20,42,current,1.9692717790603638,8.768616676330566,0.7582487463951111,0.9582669060586024,1.976577185150376,2.528861781529018,2.1181814670758463,0.5904870792380413,0.781047991902122,1.4479849438845709,2.6104617579183564,0.34240755438804626,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,201,20,42,oracle_q,1.9692717790603638,8.768616676330566,1.0412517786026,0.9666376942250139,1.9844984470453477,2.4923039027622766,2.0841856613736436,0.600453712394446,0.7872959925208652,1.4779468167411045,2.5210145405160707,0.3490876257419586,0.2800000011920929,0.04200000315904617
hyperbolic_paraboloid,201,20,42,enc_pull,1.9692717790603638,8.768616676330566,0.40071937441825867,0.923308782428835,1.5422082198293585,1.6308772495814732,1.1608340559987056,0.5487508267939722,0.6342335036119799,0.9345445183815354,1.4795072222348458,0.2101127654314041,0.2800000011920929,0.04200000315904617
