N,surface,condition,seed,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
20,sinusoidal,baseline,42,0.07464142888784409,0.08215539157390594,2.229551076889038,0.33129646301269533,0.7694279214610225,1.187649396509906,0.8187654145064025,0.16797088086605072,0.7649999856948853
20,sinusoidal,K(Phat),42,0.1367245763540268,0.07002687454223633,1.4411053657531738,0.2906396102905273,0.7211265563964844,1.1725479824091094,0.8759394775185901,0.18273498117923737,0.7649999856948853
20,sinusoidal,K(Pstar),42,0.009307878091931343,0.023231348022818565,0.12071704119443893,0.31017585754394533,0.8239072716754415,1.3628155078763275,1.1538632716557078,0.19379261136054993,0.7649999856948853
20,sinusoidal,baseline,1042,0.10119407624006271,0.009601100347936153,0.7505189776420593,0.8434786389221498,1.4917072405133929,2.029006110297309,0.8681258096099715,0.16323497891426086,0.7199999690055847
20,sinusoidal,K(Phat),1042,0.10003368556499481,0.009297114796936512,0.8092195391654968,0.8319835566995132,1.4764020647321427,1.9897997114393446,0.853716824382842,0.15176869928836823,0.7199999690055847
20,sinusoidal,K(Pstar),1042,0.10197173804044724,0.006722260266542435,0.5177699327468872,0.8607969044440955,1.53060791015625,2.089277903238932,0.8765704443175466,0.16723115742206573,0.7199999690055847
20,sinusoidal,baseline,2042,0.14348524808883667,0.01931801810860634,2.050816535949707,0.9328749000127591,1.8813067425738323,2.1240741705438895,0.6262596762626655,0.10894636809825897,0.7849999666213989
20,sinusoidal,K(Phat),2042,0.19876164197921753,0.023277347907423973,2.3358428478240967,0.9194651848107727,1.8729818155477336,2.1074714417670184,0.6372326940225538,0.10113140940666199,0.7849999666213989
20,sinusoidal,K(Pstar),2042,0.015601787716150284,0.007077228277921677,0.21945367753505707,0.8337954420540201,1.8291086050180287,2.2002573195536423,1.4598278966421425,0.16510875523090363,0.7849999666213989
20,sinusoidal,baseline,3042,0.06525374203920364,0.01747005060315132,1.4682950973510742,1.0882107543945312,1.9899957076362942,2.4092018076237416,0.5979508629709844,0.09631958603858948,0.7450000047683716
20,sinusoidal,K(Phat),3042,0.062020398676395416,0.030788108706474304,0.5088403820991516,1.0859507751464843,2.0269103672193443,2.498171812735948,0.595438435783309,0.12197554856538773,0.7450000047683716
20,sinusoidal,K(Pstar),3042,0.007692085113376379,0.005003642290830612,0.16197416186332703,1.0786551666259765,2.0505805637525474,2.587656110725147,0.949610858487607,0.14621272683143616,0.7450000047683716
20,sinusoidal,baseline,4042,0.04215170815587044,0.008535034023225307,1.4774000644683838,0.9213316345214844,1.8130984463534512,1.9950700057180304,0.8354846185710533,0.12149620801210403,0.7599999904632568
20,sinusoidal,K(Phat),4042,0.018542608246207237,0.017035165801644325,1.1758638620376587,0.9034239196777344,1.7998197786100618,2.005590740003084,0.8868293140181832,0.11884709447622299,0.7599999904632568
20,sinusoidal,K(Pstar),4042,0.011418558657169342,0.008641012944281101,1.270635962486267,0.9002473449707031,1.8157692374763907,2.0618133544921875,0.958394125456065,0.1386736035346985,0.7599999904632568
20,sinusoidal,baseline,5042,0.0583900548517704,0.02219180203974247,2.064147710800171,0.955186767578125,1.7863300282468078,2.190096587137459,0.7611402433747237,0.11720377951860428,0.7649999856948853
20,sinusoidal,K(Phat),5042,0.0036886113230139017,0.019610872492194176,0.14022743701934814,0.9469747161865234,1.809439218172463,2.250311159620098,0.8755229231784505,0.11391822248697281,0.7649999856948853
20,sinusoidal,K(Pstar),5042,0.003357610199600458,0.01969238743185997,0.09647174179553986,0.9440890502929687,1.8042225171160955,2.255118376289318,0.9467017029878166,0.1272251456975937,0.7649999856948853
20,sinusoidal,baseline,6042,0.08097715675830841,0.052718598395586014,1.225479245185852,0.562885513305664,1.0359736851283483,1.152450979572453,0.7002371897881096,0.14260612428188324,0.7299999594688416
20,sinusoidal,K(Phat),6042,0.03311837464570999,0.04265759512782097,0.3021077811717987,0.5560078430175781,1.1129997907366072,1.2654329064774186,0.8772402883175199,0.14376172423362732,0.7299999594688416
20,sinusoidal,K(Pstar),6042,0.01656283624470234,0.006580721121281385,0.21938090026378632,0.6406657409667968,1.3245818219866072,1.6201599330118257,1.5305989841672534,0.1956954300403595,0.7299999594688416
20,sinusoidal,baseline,7042,0.0676264539361,0.034695692360401154,0.9593719840049744,0.8181935219309437,1.5719622540217575,1.8005103815614787,0.8121515656317525,0.14767460525035858,0.7649999856948853
20,sinusoidal,K(Phat),7042,0.11378622055053711,0.03955063223838806,1.0530065298080444,0.8054720624607412,1.543855728641633,1.7854618247038399,0.7870746714834183,0.13033543527126312,0.7649999856948853
20,sinusoidal,K(Pstar),7042,0.05319703742861748,0.027180207893252373,0.24997985363006592,0.8057849826525204,1.5924843408728158,1.875286226958231,0.7254436803586581,0.13711708784103394,0.7649999856948853
20,sinusoidal,baseline,8042,0.04400770738720894,0.012450194917619228,1.1923158168792725,0.6344136047363281,1.1536000840207363,1.5192144621843062,1.175624619110051,0.15601865947246552,0.7949999570846558
20,sinusoidal,K(Phat),8042,0.019545746967196465,0.009939201176166534,1.150987982749939,0.6046891021728515,1.1461029864372092,1.5328003505490861,1.0753360830143601,0.15587761998176575,0.7949999570846558
20,sinusoidal,K(Pstar),8042,0.006157931871712208,0.011232513934373856,1.0646836757659912,0.5106970977783203,0.9585925163106715,1.4016506746879913,0.9819271552999316,0.15903283655643463,0.7949999570846558
20,sinusoidal,baseline,9042,0.06820688396692276,0.011278437450528145,1.3241766691207886,0.7127053833007813,1.2159638952036373,1.6644255989476253,0.5977314237713124,0.11213790625333786,0.7599999904632568
20,sinusoidal,K(Phat),9042,0.1733391135931015,0.012880943715572357,1.5809526443481445,0.6988116455078125,1.2072261956220116,1.6715884961579974,0.6211262758177131,0.11946836858987808,0.7599999904632568
20,sinusoidal,K(Pstar),9042,0.014487206004559994,0.00778370862826705,0.16617313027381897,0.6666361999511718,1.258543921298668,1.7625383075914884,0.8249530676786057,0.13259510695934296,0.7599999904632568
20,sinusoidal,baseline,10042,0.1424795389175415,0.05711373686790466,2.5478694438934326,0.8665181169606219,1.5567136614510182,2.01298088427411,0.7899525540914416,0.16030095517635345,0.7549999952316284
20,sinusoidal,K(Phat),10042,0.25035661458969116,0.07073889672756195,2.84452748298645,0.8524065114030934,1.541737760050913,1.9798181799073882,0.7808020444658142,0.16036303341388702,0.7549999952316284
20,sinusoidal,K(Pstar),10042,0.010169855318963528,0.008491511456668377,0.2840198576450348,0.8103747127032039,1.5258175281996138,1.9973370886796358,1.1736747865836077,0.19503183662891388,0.7549999952316284
20,sinusoidal,baseline,11042,0.1555926501750946,0.0521913543343544,2.652765989303589,0.5211498260498046,0.7416390039587534,0.9324279198279748,0.8654011747300052,0.1831149160861969,0.7799999713897705
20,sinusoidal,K(Phat),11042,0.22157719731330872,0.05429203063249588,2.8076400756835938,0.8395492553710937,1.5412331857988912,1.7442345252403846,0.8355285184963572,0.13599662482738495,0.7799999713897705
20,sinusoidal,K(Pstar),11042,0.01664775237441063,0.045362770557403564,1.3379383087158203,0.8397625732421875,1.5807733023038475,1.9038817576872997,1.1070557227121836,0.17931227385997772,0.7799999713897705
20,sinusoidal,baseline,12042,0.18926586210727692,0.019278090447187424,5.063685894012451,0.8405580139160156,1.675458423511402,2.011033985712757,0.6503840390822538,0.1219296082854271,0.7299999594688416
20,sinusoidal,K(Phat),12042,0.016589350998401642,0.007412638049572706,0.1978834718465805,0.7600193023681641,1.4911391799514357,1.858920789744756,1.1587733543869572,0.16739396750926971,0.7299999594688416
20,sinusoidal,K(Pstar),12042,0.021155472844839096,0.005827856715768576,0.3000141978263855,0.7729562377929687,1.5279870935388513,1.8877958532882064,1.2697608427007685,0.18920694291591644,0.7299999594688416
20,sinusoidal,baseline,13042,0.09173737466335297,0.04800279065966606,2.6397387981414795,0.6647538757324218,1.1879405146059783,1.659444108794007,0.7247764275910826,0.1530592292547226,0.7899999618530273
20,sinusoidal,K(Phat),13042,0.010638918727636337,0.007761200424283743,0.12519000470638275,0.6521244812011718,1.251812810483186,1.7764369143715388,1.1669959666302636,0.1584237515926361,0.7899999618530273
20,sinusoidal,K(Pstar),13042,0.011142173781991005,0.00508750369772315,0.18042491376399994,0.6359158706665039,1.238946417103643,1.7825220808198181,1.155831323046031,0.166946142911911,0.7899999618530273
20,sinusoidal,baseline,14042,0.1453574001789093,0.03531420975923538,2.2083208560943604,1.1146107582590687,1.9542805215586787,2.287680816650391,0.64854614350177,0.12035711854696274,0.7999999523162842
20,sinusoidal,K(Phat),14042,0.10058453679084778,0.05500675365328789,0.8378412127494812,1.1245817251540908,2.0014087842858355,2.3681415557861327,0.7801868314386641,0.14380483329296112,0.7999999523162842
20,sinusoidal,K(Pstar),14042,0.11948372423648834,0.03178247809410095,0.6705860495567322,1.1224037055394158,2.0177904211956523,2.413629722595215,0.9010967111369367,0.17398475110530853,0.7999999523162842
20,sinusoidal,baseline,15042,0.03408751264214516,0.022412950173020363,0.4611814022064209,0.8674945068359375,1.7000708419285464,2.0105375162760417,0.7105470734767747,0.13705098628997803,0.75
20,sinusoidal,K(Phat),15042,0.0032734759151935577,0.03631364181637764,0.3429832458496094,0.8660443878173828,1.7362724047028617,2.051108194986979,0.7266098217867037,0.12532097101211548,0.75
20,sinusoidal,K(Pstar),15042,0.0012763852719217539,0.03283480927348137,0.38414862751960754,0.8792121887207032,1.7694204951939958,2.0887211100260417,0.7666817663235188,0.128646120429039,0.75
20,sinusoidal,baseline,16042,0.025705428794026375,0.0027227592654526234,1.376067042350769,0.7953507995605469,1.3543297840140716,1.6839551533738228,0.8193283620755023,0.13171516358852386,0.7299999594688416
20,sinusoidal,K(Phat),16042,0.0695243701338768,0.002870190190151334,1.359515905380249,0.7920761108398438,1.3390402989080774,1.6571753514956122,0.8217078708168404,0.12861554324626923,0.7299999594688416
20,sinusoidal,K(Pstar),16042,0.01677526719868183,0.01000068336725235,0.7958475947380066,0.715601806640625,1.2326692280016447,1.5665245578713614,0.6941643613083062,0.08741461485624313,0.7299999594688416
20,sinusoidal,baseline,17042,0.0497070848941803,0.0054663862101733685,0.7064895629882812,0.82263671875,1.569582047001008,2.023063815369898,0.846676361900648,0.17220309376716614,0.73499995470047
20,sinusoidal,K(Phat),17042,0.06697702407836914,0.006249129306524992,0.7623530626296997,0.7984234619140625,1.5438194685084845,1.9867707336840987,0.8444699575113793,0.16928401589393616,0.73499995470047
20,sinusoidal,K(Pstar),17042,0.03295199200510979,0.004495908971875906,0.3319213390350342,0.8195378875732422,1.5805652577389953,2.0332977917729593,0.8313890986401852,0.17944751679897308,0.73499995470047
20,sinusoidal,baseline,18042,0.12391161173582077,0.012653696350753307,3.7999119758605957,0.7599516296386719,1.5755343967013888,1.758333926169288,0.6018332704547223,0.09571807086467743,0.7549999952316284
20,sinusoidal,K(Phat),18042,0.07871194183826447,0.023159435018897057,2.081760883331299,0.6925755310058593,1.2435560438368056,1.4714522203862272,0.6969217113353715,0.10502644628286362,0.7549999952316284
20,sinusoidal,K(Pstar),18042,0.012093407101929188,0.015567903406918049,1.163969874382019,0.7932108306884765,1.4821061876085069,1.8313885619308774,0.8504517849612678,0.1014615073800087,0.7549999952316284
20,sinusoidal,baseline,19042,0.1397705376148224,0.026244807988405228,2.845982313156128,0.3426786804199219,0.7690694942030796,1.057336506090666,0.8099977767480658,0.13541729748249054,0.7599999904632568
20,sinusoidal,K(Phat),19042,0.15555670857429504,0.018396107479929924,1.1599980592727661,0.2942667579650879,0.7006925094959348,1.0000241932116056,0.8057457156648575,0.14121884107589722,0.7599999904632568
20,sinusoidal,K(Pstar),19042,0.03116527944803238,0.010690993629395962,0.23373043537139893,0.31767757415771486,0.7813571663789971,1.178743462813528,1.1785579895455554,0.16391238570213318,0.7599999904632568
20,paraboloid,baseline,42,0.13667847216129303,0.16030357778072357,4.667219638824463,0.8465390014648437,1.8774672798488452,2.569430482153799,1.7712028335010246,0.24967768788337708,0.7649999856948853
20,paraboloid,K(Phat),42,0.02049296535551548,0.09320638328790665,1.8801735639572144,0.5077591705322265,1.354704069054645,1.9429237515318627,1.525173647103606,0.1656792312860489,0.7649999856948853
20,paraboloid,K(Pstar),42,0.02398509718477726,0.07304772734642029,1.9815210103988647,0.5493658065795899,1.465192877728006,2.1026108685661766,1.585820900352754,0.17479786276817322,0.7649999856948853
20,paraboloid,baseline,1042,0.05794195830821991,0.07162833213806152,4.1025214195251465,1.0376536307023398,1.78974365234375,2.471024407280816,1.3297452202852222,0.11759724467992783,0.7199999690055847
20,paraboloid,K(Phat),1042,0.01833599992096424,0.06673489511013031,2.042809009552002,1.0217136402225973,1.7430855887276786,2.248282962375217,1.136871016597534,0.10743408650159836,0.7199999690055847
20,paraboloid,K(Pstar),1042,0.023092305287718773,0.07874726504087448,2.0817456245422363,1.0251765418891332,1.7759945242745536,2.300174077351888,1.0861914228552965,0.09270273894071579,0.7199999690055847
20,paraboloid,baseline,2042,0.07985760271549225,0.542026937007904,7.485976696014404,0.8636488411294755,1.9536873953683036,2.7517517478602707,2.285656359480313,0.24173423647880554,0.7849999666213989
20,paraboloid,K(Phat),2042,0.017950892448425293,0.07657616585493088,3.8417091369628906,0.8182890618865813,1.8500317584027302,2.677363498955016,1.645815371172397,0.16583600640296936,0.7849999666213989
20,paraboloid,K(Pstar),2042,0.012311936356127262,0.19544991850852966,3.998807668685913,0.8324028283507381,1.8711899977463942,2.716539127811505,1.7170592373754197,0.1836252361536026,0.7849999666213989
20,paraboloid,baseline,3042,0.0790732353925705,0.31388843059539795,3.5171666145324707,1.2848501586914063,2.6204767641813858,3.4131037564885696,2.1319753427980324,0.26971563696861267,0.7450000047683716
20,paraboloid,K(Phat),3042,0.010631262324750423,0.08979181200265884,1.5362005233764648,1.3715835571289063,2.5120720241380776,3.1633427767145554,1.7264099155202954,0.25418543815612793,0.7450000047683716
20,paraboloid,K(Pstar),3042,0.036580443382263184,0.07767045497894287,1.5485941171646118,1.3840853881835937,2.4938525324282437,3.0713054477768456,1.7021283527642093,0.2685517966747284,0.7450000047683716
20,paraboloid,baseline,4042,0.04419344663619995,0.07039519399404526,1.9061676263809204,1.3628076171875,2.689055390410371,3.003217998303865,1.4692965761783912,0.21460308134555817,0.7599999904632568
20,paraboloid,K(Phat),4042,0.01588614284992218,0.03887301683425903,0.851254940032959,1.3170013427734375,2.575117509443681,2.798783954821135,1.2615645330057152,0.22648777067661285,0.7599999904632568
20,paraboloid,K(Pstar),4042,0.022068118676543236,0.03766961023211479,1.0172966718673706,1.3270230102539062,2.61082039298592,2.8514042904502466,1.3105428077907804,0.2330053448677063,0.7599999904632568
20,paraboloid,baseline,5042,0.10022823512554169,0.04048440605401993,4.969672679901123,1.244473419189453,2.3714566794774865,3.0613750382965685,2.2535056044740767,0.2775847911834717,0.7649999856948853
20,paraboloid,K(Phat),5042,0.03142730891704559,0.08636067062616348,1.476462960243225,1.139662628173828,1.979674308530746,2.598604488996119,1.9884526677720105,0.26355430483818054,0.7649999856948853
20,paraboloid,K(Pstar),5042,0.01671355590224266,0.0672198161482811,1.663395881652832,1.1077549743652344,1.9475858954973118,2.524373771318423,1.8582724326521256,0.22744841873645782,0.7649999856948853
20,paraboloid,baseline,6042,0.2398400455713272,0.16418704390525818,6.170825481414795,1.142823486328125,2.213452671595982,2.763314025042808,2.151668868638383,0.3057478964328766,0.7299999594688416
20,paraboloid,K(Phat),6042,0.11110620200634003,0.3395037353038788,1.3913516998291016,0.9402523803710937,1.7742923409598215,2.1137059877996576,1.4872996409118626,0.1956716626882553,0.7299999594688416
20,paraboloid,K(Pstar),6042,0.033920109272003174,0.30004042387008667,1.647325873374939,0.93859619140625,1.8802500697544642,2.1406097412109375,1.3217732901354668,0.1609603464603424,0.7299999594688416
20,paraboloid,baseline,7042,0.16143910586833954,0.4187387526035309,6.749083042144775,1.0610966514702418,2.259922806934644,3.068234512229371,2.345782034040032,0.26773601770401,0.7649999856948853
20,paraboloid,K(Phat),7042,0.030740413814783096,0.040215492248535156,1.029937505722046,1.0321548691946059,2.0296132077452955,2.4150340759676268,1.5145194542525084,0.1880447119474411,0.7649999856948853
20,paraboloid,K(Pstar),7042,0.06904296576976776,0.03877391666173935,1.0020545721054077,1.0289424723716238,2.02877446656586,2.4165206609987746,1.5032777161274105,0.19301104545593262,0.7649999856948853
20,paraboloid,baseline,8042,0.10643643885850906,0.05162149667739868,2.4364140033721924,1.0111813354492187,1.7062114959067487,2.3952728847287736,1.3965644903098418,0.21796029806137085,0.7949999570846558
20,paraboloid,K(Phat),8042,0.08841371536254883,0.12527914345264435,1.4576259851455688,0.8233819580078126,1.5292538582010473,1.917700617568298,1.1979527420405225,0.09944168478250504,0.7949999570846558
20,paraboloid,K(Pstar),8042,0.047426506876945496,0.11543359607458115,1.344153881072998,0.8264883422851562,1.5185429999168882,1.91357421875,1.1771422175971302,0.10633102059364319,0.7949999570846558
20,paraboloid,baseline,9042,0.23053917288780212,0.12327013164758682,13.591064453125,0.8781549072265625,1.7048129722720287,2.5836651450709294,1.8285793877114858,0.2355814129114151,0.7599999904632568
20,paraboloid,K(Phat),9042,0.03066990152001381,0.20996050536632538,2.3276753425598145,0.6177004623413086,1.2807670551571038,1.973059001721834,1.3724236242588979,0.25613412261009216,0.7599999904632568
20,paraboloid,K(Pstar),9042,0.02553621679544449,0.26682209968566895,1.8919538259506226,0.8789789581298828,1.6101012516542863,2.2173823306435034,1.169664527315543,0.1769953817129135,0.7599999904632568
20,paraboloid,baseline,10042,0.05378064140677452,0.5122944712638855,6.650395393371582,0.8452200841422033,1.658579622761587,2.2884295128828644,1.435010115310016,0.2106170952320099,0.7549999952316284
20,paraboloid,K(Phat),10042,0.024182584136724472,0.17226414382457733,2.269611120223999,0.9410764135495581,1.774928575151422,2.4320080485564985,1.6309526585340355,0.3111003041267395,0.7549999952316284
20,paraboloid,K(Pstar),10042,0.01647098734974861,0.3054288327693939,2.2252089977264404,0.9428908222853535,1.780866301461552,2.353314532349441,1.5085625252457309,0.30128079652786255,0.7549999952316284
20,paraboloid,baseline,11042,0.2705148458480835,0.2179194539785385,10.070385932922363,1.1600676727294923,2.4749798518355175,3.2518948286007614,2.3792851104387824,0.3133120536804199,0.7799999713897705
20,paraboloid,K(Phat),11042,0.031681228429079056,0.049939192831516266,1.5585577487945557,1.058001251220703,2.1567681425361225,2.574944324982472,1.2478674239599028,0.1427256166934967,0.7799999713897705
20,paraboloid,K(Pstar),11042,0.03250371664762497,0.04220867156982422,1.8518205881118774,1.1784207153320312,2.331089635049143,2.661768595377604,1.2017666229166206,0.10783777385950089,0.7799999713897705
20,paraboloid,baseline,12042,0.23355711996555328,0.5150346755981445,29.9279842376709,0.975843505859375,1.8318781672297297,2.502562222415454,1.61219852020798,0.23479601740837097,0.7299999594688416
20,paraboloid,K(Phat),12042,0.02091173082590103,0.5016455054283142,4.302311420440674,1.003897705078125,2.0502768026815876,2.6952652604612584,1.2430683723414988,0.15069589018821716,0.7299999594688416
20,paraboloid,K(Pstar),12042,0.017525002360343933,0.7352360486984253,4.480039596557617,1.0509416961669922,2.1344561602618244,2.7536539574191994,1.309378753806169,0.18296903371810913,0.7299999594688416
20,paraboloid,baseline,13042,0.21765325963497162,0.15147477388381958,6.941352844238281,1.0810480499267578,1.9741655432659646,2.9007751851142207,2.644095534317775,0.34468594193458557,0.7899999618530273
20,paraboloid,K(Phat),13042,0.05005039647221565,0.3837728500366211,1.813913345336914,0.979564208984375,1.7869695580523948,2.532891575294205,1.8651739468331916,0.25164467096328735,0.7899999618530273
20,paraboloid,K(Pstar),13042,0.027765806764364243,0.34675368666648865,2.8829257488250732,0.7941797637939453,1.3931108557659646,1.9246351024772548,1.461446508008936,0.17037762701511383,0.7899999618530273
20,paraboloid,baseline,14042,0.33122122287750244,0.191689595580101,24.08718490600586,1.2092935380025125,2.431758217189623,3.211473846435547,2.3446515419932807,0.3006533980369568,0.7999999523162842
20,paraboloid,K(Phat),14042,0.025340385735034943,0.1631639301776886,1.8304804563522339,1.2844172338744504,2.2830667910368545,2.6549095153808593,1.3850956353758423,0.16677574813365936,0.7999999523162842
20,paraboloid,K(Pstar),14042,0.03665637597441673,0.48879051208496094,1.8414382934570312,1.284412326525204,2.3214605580205503,2.775488090515137,1.5853802237258527,0.19946512579917908,0.7999999523162842
