surface,penalty,distance,reconstruction_error,n_test_samples
sinusoidal,T,0.2,0.0743177905678749,345
sinusoidal,T,0.3,0.1310570538043975,301
sinusoidal,T,0.4,0.2042786329984665,272
sinusoidal,T,0.5,0.2890715003013611,250
sinusoidal,T+K,0.0,0.0110780149698257,500
sinusoidal,T+K,0.1,0.0403659082949161,342
sinusoidal,T+K,0.2,0.0760307312011718,345
sinusoidal,T+K,0.3,0.1330683231353759,301
sinusoidal,T+K,0.4,0.2085784524679184,272
sinusoidal,T+K,0.5,0.2934267222881317,250
sinusoidal,T+F,0.0,0.0077008586376905,500
sinusoidal,T+F,0.1,0.0100980987772345,342
sinusoidal,T+F,0.2,0.014764979481697,345
sinusoidal,T+F,0.3,0.0313825421035289,301
sinusoidal,T+F,0.4,0.0603549890220165,272
sinusoidal,T+F,0.5,0.1070942357182502,250
sinusoidal,T+F+K,0.0,0.0040245200507342,500
sinusoidal,T+F+K,0.1,0.0076605700887739,342
sinusoidal,T+F+K,0.2,0.0179112702608108,345
sinusoidal,T+F+K,0.3,0.0415082648396492,301
sinusoidal,T+F+K,0.4,0.0781313255429267,272
sinusoidal,T+F+K,0.5,0.1329781860113144,250
sinusoidal,K,0.0,0.0137997763231396,500
sinusoidal,K,0.1,0.0412482172250747,342
sinusoidal,K,0.2,0.0733973160386085,345
sinusoidal,K,0.3,0.1267905086278915,301
sinusoidal,K,0.4,0.1969198286533355,272
sinusoidal,K,0.5,0.2800936102867126,250
