surface,condition,seed,ae_loss,drift_loss,diff_loss,MTE@0.1,MTE@0.5,MTE@1.0,W2@1.0,MMD@1.0,survival@1.0
sinusoidal,T+F,42,0.020736850798130035,0.03610711544752121,0.4968128800392151,0.34666053771972655,0.757877688937717,1.097678426106771,0.7819000121397558,0.16252285242080688,0.75
sinusoidal,T+F+K(Phat)2ph,42,0.013757835142314434,0.015567084774374962,0.14948564767837524,0.3695142364501953,0.8777839660644531,1.2636787923177084,1.053751417030063,0.16792012751102448,0.75
sinusoidal,T+F+K(Pstar)2ph,42,0.011871561408042908,0.012108298018574715,0.17561328411102295,0.3553470611572266,0.8522515190972222,1.2241044108072916,1.0631189733631505,0.1710563600063324,0.75
sinusoidal,T+F+K(Pstar)1ph,42,0.0024494025856256485,0.01645200327038765,0.11581667512655258,0.36463973999023436,0.8771325005425348,1.2890528361002604,1.2408517570565332,0.18575748801231384,0.75
sinusoidal,T+F,1042,0.04320744797587395,0.008311009034514427,0.7411483526229858,0.7974979266449435,1.6579716714580408,1.7680691597156954,0.7672282235386458,0.15185075998306274,0.6650000214576721
sinusoidal,T+F+K(Phat)2ph,1042,0.04270659014582634,0.009128853678703308,0.804747462272644,0.8081488681198964,1.673984999067328,1.7868853117290295,0.7701321034823316,0.15076430141925812,0.6650000214576721
sinusoidal,T+F+K(Pstar)2ph,1042,0.03638656064867973,0.006772971246391535,0.5455573201179504,0.8288249873635757,1.7316275607334095,1.859916285464638,0.8013349233267297,0.1650838404893875,0.6650000214576721
sinusoidal,T+F+K(Pstar)1ph,1042,0.022779110819101334,0.009271694347262383,0.1803954541683197,0.682020561179923,1.5711952809537395,1.9506253120594454,0.8777579352490905,0.1814689189195633,0.6650000214576721
sinusoidal,T+F,2042,0.08464349061250687,0.018970511853694916,1.968806266784668,0.8985999298095703,1.6961344401041667,2.159286972898874,0.7976422047705758,0.16230155527591705,0.8050000071525574
sinusoidal,T+F+K(Phat)2ph,2042,0.09771095216274261,0.022336946800351143,2.30314040184021,0.9047712707519531,1.6900582207573784,2.1338478230541535,0.7720607740516986,0.15227565169334412,0.8050000071525574
sinusoidal,T+F+K(Pstar)2ph,2042,0.016204506158828735,0.005963881500065327,0.28583449125289917,0.8521403503417969,1.739360555013021,2.3667215856706134,1.3674956659633304,0.19530151784420013,0.8050000071525574
sinusoidal,T+F+K(Pstar)1ph,2042,0.019262682646512985,0.005441929213702679,0.36672601103782654,0.8655003356933594,1.7339859008789062,2.355709857822205,1.4591946788010701,0.1764952689409256,0.8050000071525574
sinusoidal,T+F,3042,0.05116948485374451,0.019307976588606834,1.270104169845581,1.0608347883128157,2.0058984170412884,2.330930284633758,0.7931075812013758,0.15058787167072296,0.7850000262260437
sinusoidal,T+F+K(Phat)2ph,3042,0.025176486000418663,0.02462761662900448,0.6285607814788818,1.0653612541429924,2.022586929065555,2.363975573497213,0.7600253997815465,0.1492372304201126,0.7850000262260437
sinusoidal,T+F+K(Pstar)2ph,3042,0.015279799699783325,0.017344070598483086,0.22356896102428436,1.0755281544694997,2.0471939854115746,2.4720789429488454,0.8838926893291474,0.16508635878562927,0.7850000262260437
sinusoidal,T+F+K(Pstar)1ph,3042,0.018954312428832054,0.003957077860832214,0.21561208367347717,1.0676722671046401,2.0440469241009076,2.47172517229797,0.9316361983334317,0.16893507540225983,0.7850000262260437
sinusoidal,T+F,4042,0.007411576341837645,0.018891125917434692,1.0531691312789917,0.9052872467041015,1.5958410442204765,2.087365346412136,0.8286589556207477,0.1702677458524704,0.7300000190734863
sinusoidal,T+F+K(Phat)2ph,4042,0.007238063961267471,0.016176074743270874,0.6866474747657776,0.9188698577880859,1.6419713141509842,2.0843232037269908,0.8773596222764637,0.1840859204530716,0.7300000190734863
sinusoidal,T+F+K(Pstar)2ph,4042,0.0055322726257145405,0.01812644861638546,0.14493513107299805,0.9244322204589843,1.5959290562413675,2.018317026634739,0.8495593654694372,0.18090704083442688,0.7300000190734863
